panel,book,lam,cost,selector,f,sleeve,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,V2_CAGR,V2_Sharpe,V2_MaxDD,beats_SPY,beats_V2,OOS_4b,OOS_4a
u56,EWALL,0.06,0.0,S0_ISsharpe,0.5,BOND2,0.07745234846531757,0.9454225454022838,-0.1923472021443302,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
u56,EWALL,0.06,0.0,S1_IS4b,0.35,TLT,0.09676868432226593,1.0296486997423435,-0.1976188056403978,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
u56,EWALL,0.06,0.0,S2_minSleeveDD,0.05,CASH,0.13124558702990696,1.1365253792924213,-0.21478089620007057,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
u56,EWALL,0.06,0.0,S3_maxSleeveCAGR,0.05,SPY1,0.13683966039550732,1.1228619324460043,-0.22643284803137687,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
u56,EWALL,0.06,0.0,S4_ISsharpe_fpos,0.5,BOND2,0.07745234846531757,0.9454225454022838,-0.1923472021443302,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
u56,EWALL,0.06,5.0,S0_ISsharpe,0.5,BOND2,0.07505203330303489,0.9182376669559301,-0.19374595298036512,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
u56,EWALL,0.06,5.0,S1_IS4b,0.3,TLT,0.10124250921738343,1.0483046038964796,-0.19376385294934306,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
u56,EWALL,0.06,5.0,S2_minSleeveDD,0.05,CASH,0.13078408484137727,1.1329486114653076,-0.2148520579446982,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
u56,EWALL,0.06,5.0,S3_maxSleeveCAGR,0.05,SPY1,0.1362884405909779,1.1188419849600368,-0.22651972722278435,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
u56,EWALL,0.06,5.0,S4_ISsharpe_fpos,0.5,BOND2,0.07505203330303489,0.9182376669559301,-0.19374595298036512,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
u56,EWALL,0.06,10.0,S0_ISsharpe,0.5,BOND2,0.07265676365246532,0.8910284288608277,-0.19514240739210276,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09481988847882805,1.2788365375971447,-0.12054946142590783,True,False,False,False
