PICK_SET,DELTA_0,DELTA_10,SHARE_10,entirely_rebate_rungs,turn_pick,turn_anchor,OUTCOME
P_1214,0.06806815732437879,0.06904477840475634,0.014144749290849655,NONE,3.661543015234389,3.469135014478301,C_MOSTLY_GROSS
P_AXIS,0.020885953943406543,0.021301217528903207,0.019494828637527457,NONE,3.42572858681811,3.469135014478301,C_MOSTLY_GROSS
P_TEXT,0.01910587604932094,0.020495530140524833,0.06780278829949343,NONE,3.3363451339991506,3.5167989692043338,C_MOSTLY_GROSS
