panel,sha,book,cadence,cost_bps,pass4a,pass4b,fail4b
U56,c006b439,EWELIG,W,0.0,False,True,-
U56,c006b439,EWELIG,W,5.0,False,True,-
U56,c006b439,EWELIG,W,10.0,False,True,-
U56,c006b439,EWELIG,W,25.0,False,False,"L1_H1,L5_CAGR"
U56,c006b439,EWELIG,W,50.0,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR"
U56,c006b439,BAND03,W,0.0,True,False,L5_CAGR
U56,c006b439,BAND03,W,5.0,True,False,L5_CAGR
U56,c006b439,BAND03,W,10.0,False,False,L5_CAGR
U56,c006b439,BAND03,W,25.0,False,False,L5_CAGR
U56,c006b439,BAND03,W,50.0,False,False,L5_CAGR
U56,c006b439,TOP20,W,0.0,False,True,-
U56,c006b439,TOP20,W,5.0,False,True,-
U56,c006b439,TOP20,W,10.0,False,True,-
U56,c006b439,TOP20,W,25.0,False,False,L1_H1
U56,c006b439,TOP20,W,50.0,False,False,"L1_H1,L2_H2,L3_OOS,L5_CAGR"
U56,c006b439,EWELIG,M,0.0,False,True,-
U56,c006b439,EWELIG,M,5.0,False,True,-
U56,c006b439,EWELIG,M,10.0,False,True,-
U56,c006b439,EWELIG,M,25.0,False,True,-
U56,c006b439,EWELIG,M,50.0,False,True,-
U56,c006b439,BAND03,M,0.0,False,False,L5_CAGR
U56,c006b439,BAND03,M,5.0,False,False,L5_CAGR
U56,c006b439,BAND03,M,10.0,False,False,L5_CAGR
U56,c006b439,BAND03,M,25.0,False,False,L5_CAGR
U56,c006b439,BAND03,M,50.0,False,False,L5_CAGR
U56,c006b439,TOP20,M,0.0,False,True,-
U56,c006b439,TOP20,M,5.0,False,True,-
U56,c006b439,TOP20,M,10.0,False,True,-
U56,c006b439,TOP20,M,25.0,False,True,-
U56,c006b439,TOP20,M,50.0,False,True,-
U56,c006b439,EWELIG,Q,0.0,False,False,L4_DD
U56,c006b439,EWELIG,Q,5.0,False,False,L4_DD
U56,c006b439,EWELIG,Q,10.0,False,False,L4_DD
U56,c006b439,EWELIG,Q,25.0,False,False,L4_DD
U56,c006b439,EWELIG,Q,50.0,False,False,L4_DD
U56,c006b439,BAND03,Q,0.0,False,False,L5_CAGR
U56,c006b439,BAND03,Q,5.0,False,False,L5_CAGR
U56,c006b439,BAND03,Q,10.0,False,False,L5_CAGR
U56,c006b439,BAND03,Q,25.0,False,False,L5_CAGR
U56,c006b439,BAND03,Q,50.0,False,False,L5_CAGR
U56,c006b439,TOP20,Q,0.0,False,False,L4_DD
U56,c006b439,TOP20,Q,5.0,False,False,L4_DD
U56,c006b439,TOP20,Q,10.0,False,False,L4_DD
