column_class,round_trip_test,n_cols,n_cols_fail,col_share,n_files_fail,file_share
SEED_KEY,LITERAL,3541,98,0.02767579779723242,97,0.018294983025273482
SEED_KEY,SEMANTIC,3541,60,0.016944365998305563,59,0.011127876273104489
ANY_KEY,LITERAL,87836,45644,0.5196502572976911,4701,0.8866465484722746
ANY_KEY,SEMANTIC,87836,7281,0.08289311899448973,1777,0.3351565447001132
