corpus,k,cells,mean,sd,lo,hi,n_pos,t
"168c's own 32 cells (u56+broad, 10/25bps)",-1.0,32,-0.35418746678196733,0.2570207398858386,-1.0671713801378548,-0.0360335156435037,0,-7.795428794860874
"168c's own 32 cells (u56+broad, 10/25bps)",-0.75,32,-0.2940306029177615,0.23166537290135494,-1.018855603271955,-0.0537620746646237,0,-7.1797016738638275
"168c's own 32 cells (u56+broad, 10/25bps)",-0.5,32,-0.20276388247134827,0.16225370848396492,-0.6048106250532586,-0.0245125284362234,0,-7.0692111811729434
"168c's own 32 cells (u56+broad, 10/25bps)",-0.25,32,-0.09826492777063167,0.09405590770106959,-0.3128567514780261,0.0322337266424477,2,-5.909999571765744
"168c's own 32 cells (u56+broad, 10/25bps)",-0.1,32,-0.025580612687661694,0.029730152808878075,-0.1212581538221613,0.0188880193417096,1,-4.867307562025226
"168c's own 32 cells (u56+broad, 10/25bps)",0.0,32,0.0,0.0,0.0,0.0,0,
"168c's own 32 cells (u56+broad, 10/25bps)",0.1,32,0.04596272365274063,0.0527974980429936,-0.0414209235849862,0.1935996496884726,28,4.924559652457873
"168c's own 32 cells (u56+broad, 10/25bps)",0.25,32,0.05141805834068518,0.057228579363666626,-0.0875499262695833,0.1396248238574723,28,5.082503620731438
"168c's own 32 cells (u56+broad, 10/25bps)",0.5,32,0.05253818896974237,0.06644244949850084,-0.0809512602394153,0.175632047023068,26,4.473057206309449
"168c's own 32 cells (u56+broad, 10/25bps)",0.75,32,0.05512804452733196,0.06295820515118426,-0.0810640092338976,0.1779906658677473,27,4.953306915306446
"168c's own 32 cells (u56+broad, 10/25bps)",1.0,32,0.06066325338665806,0.07406924757243,-0.07999990115167,0.2021427932740002,25,4.633004842836849
fresh 3-panel corpus incl. SMALL439 (48 cells),-1.0,48,-0.23841842655197867,0.2718593468873696,-1.0671658834792264,0.1548141393913004,10,-6.075977640301484
fresh 3-panel corpus incl. SMALL439 (48 cells),-0.75,48,-0.19766545352350007,0.23930836398543345,-1.0150862994618965,0.15358216701175031,10,-5.722601629163054
fresh 3-panel corpus incl. SMALL439 (48 cells),-0.5,48,-0.13117371675587602,0.17373650753131709,-0.6048033125986224,0.12930481670475485,10,-5.230899256976766
fresh 3-panel corpus incl. SMALL439 (48 cells),-0.25,48,-0.06120561706309565,0.09619968743692248,-0.312854751915302,0.06682841118416216,14,-4.407966025103654
fresh 3-panel corpus incl. SMALL439 (48 cells),-0.1,48,-0.01284514597265207,0.03379981742029776,-0.12125815382216132,0.05352777620819277,14,-2.6329663475532623
fresh 3-panel corpus incl. SMALL439 (48 cells),0.0,48,0.0,0.0,0.0,0.0,0,
fresh 3-panel corpus incl. SMALL439 (48 cells),0.1,48,0.01976742267973991,0.05726795279956242,-0.047105367003156845,0.19360113475929064,28,2.3914373566544156
fresh 3-panel corpus incl. SMALL439 (48 cells),0.25,48,0.009874646078894328,0.07887071061839795,-0.14309148339225564,0.1396273166639248,28,0.8674139528503808
fresh 3-panel corpus incl. SMALL439 (48 cells),0.5,48,-0.011044838844445322,0.11392759967782772,-0.32281521596979046,0.175632047023068,26,-0.6716624275096599
fresh 3-panel corpus incl. SMALL439 (48 cells),0.75,48,-0.030485806718661485,0.13994302261311295,-0.37291263417827125,0.17799313009601037,27,-1.509270420503225
fresh 3-panel corpus incl. SMALL439 (48 cells),1.0,48,-0.039596116599073104,0.1627047698217785,-0.40986589992699246,0.2021427932740002,25,-1.686059623381392
panel u56 only (16 cells),-1.0,16,-0.42426877655793316,0.2843833046912666,-1.0671658834792264,-0.11061476606476439,0,-5.967562364725026
panel u56 only (16 cells),-0.75,16,-0.3524763307321438,0.26418388778749746,-1.0150862994618965,-0.09126697860489141,0,-5.33683312308079
panel u56 only (16 cells),-0.5,16,-0.23255746854579964,0.1833371960291151,-0.6048033125986224,-0.024511564722161205,0,-5.073874229185179
panel u56 only (16 cells),-0.25,16,-0.0931145838190311,0.10692983939852806,-0.312854751915302,0.032230955030066455,1,-3.4832029803016
panel u56 only (16 cells),-0.1,16,-0.011827494562857754,0.013691630958479185,-0.043549129088582106,0.018888563392660207,1,-3.455393911426753
panel u56 only (16 cells),0.0,16,0.0,0.0,0.0,0.0,0,
panel u56 only (16 cells),0.1,16,0.05988574348860631,0.06472191471298758,-0.04142444199069606,0.19360113475929064,14,3.701110744586127
