source,ladder,family,cls,n_arms,win_0,win_10,win_25,c_star_interp,c_star_firstrung,rho_cost_win
FRESH,FINE,ABS,NEVER,48,0.5416666666666666,0.5833333333333334,0.625,,,0.7126505396256664
FRESH,FINE,QEXP,NEVER,48,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,-0.8183170883849713
FRESH,FINE,QROLL,NEVER,96,0.9791666666666666,0.9375,0.875,,,-0.9673232581274397
FRESH,FINE,POOLED,NEVER,192,0.7708333333333334,0.7604166666666666,0.7395833333333334,,,-0.903561130542718
FRESH,COARSE,ABS,NEVER,48,0.5416666666666666,0.5833333333333334,0.625,,,0.632455532033676
FRESH,COARSE,QEXP,NEVER,48,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,-0.7745966692414834
FRESH,COARSE,QROLL,NEVER,96,0.9791666666666666,0.9375,0.875,,,-1.0
FRESH,COARSE,POOLED,NEVER,192,0.7708333333333334,0.7604166666666666,0.7395833333333334,,,-1.0
COMMITTED_605,FINE,ABS,CROSS,36,0.5740740740740741,0.4814814814814814,0.287037037037037,7.5,10.0,-0.996422170998389
COMMITTED_605,FINE,QEXP,CROSS,36,0.6296296296296297,0.5740740740740741,0.4629629629629629,17.499999999999993,20.0,-0.990129861612679
COMMITTED_605,FINE,QROLL,CROSS,144,0.9907407407407408,0.9629629629629628,0.8333333333333334,48.529411764705884,50.0,-1.0
COMMITTED_605,FINE,POOLED,CROSS,216,0.8611111111111112,0.8179012345679012,0.6805555555555556,41.951219512195124,50.0,-1.0
