arm,con,hnd,theta,pick_cad,pick_panel,isSharpe,oCAGR,oSharpe,oMaxDD,base_oCAGR,base_oSharpe,base_oMaxDD,spy_oCAGR,spy_oSharpe,spy_oMaxDD,beats_base,beats_spy,oos4b
MA-THRESH,DEGROSS,DRIFT,-0.25,Q,B136,1.2156044088420448,0.13580129917386707,1.1384051662705015,-0.24163593668050243,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,True,True,False
MA-THRESH,DEGROSS,DRIFT,-0.12,W,B136,1.1856256733651496,0.1067421139936855,1.0840880036945628,-0.1821026369790757,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
MA-THRESH,DEGROSS,DRIFT,0.0,M,U56,1.136703256340936,0.09446453950946476,1.2722242528628818,-0.11871487397329794,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,DEGROSS,DRIFT,0.06,M,U56,0.9877674675274735,0.0690811809758487,1.1921384538697142,-0.07691657559859899,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,DEGROSS,DRIFT,0.2,Q,U56,1.2193112036547744,0.024425295761438814,0.8491265645936604,-0.04389074318547592,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,False,False
MA-THRESH,DEGROSS,RTT,-0.25,Q,B136,1.2057720151157962,0.1334846490823467,1.099533262061148,-0.24951527702126108,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
MA-THRESH,DEGROSS,RTT,-0.12,W,B136,1.1843718461534707,0.10664738493808401,1.0778915316889368,-0.1807610331818439,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
MA-THRESH,DEGROSS,RTT,0.0,M,U56,1.1273341439305498,0.09428752609213897,1.2612748670374863,-0.1175600563233461,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,DEGROSS,RTT,0.06,M,U56,0.9886811364157279,0.0695194154769494,1.1963062886279034,-0.07449187499341803,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,DEGROSS,RTT,0.2,Q,U56,1.2077300440856837,0.024646806036092705,0.8963141337859732,-0.03616237149849322,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,RESPREAD,DRIFT,-0.25,Q,B136,1.1796947129529787,0.14001389837288536,1.1408653520847498,-0.24338785435867805,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,True,True,False
MA-THRESH,RESPREAD,DRIFT,-0.12,M,U56,1.1916813958872103,0.12875661658200444,1.1312192367211094,-0.21342625940703852,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,RESPREAD,DRIFT,0.0,Q,U56,1.2144015263227401,0.12339616262036412,1.045627191015553,-0.22139435961486298,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False
MA-THRESH,RESPREAD,DRIFT,0.06,Q,B136,1.0979995344491893,0.13605763035328633,1.0165539767117817,-0.26010602742398337,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
MA-THRESH,RESPREAD,DRIFT,0.2,Q,B136,1.4584969655039113,0.21106474661139196,1.0664525071109843,-0.2952507655794452,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
MA-THRESH,RESPREAD,RTT,-0.25,Q,B136,1.1697885971880932,0.137621466919146,1.1029003790708927,-0.2512352755397641,0.07983508528458505,1.12060446918127,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False
