script,vintage,panel,n_rows,Sharpe,CAGR,MaxDD,OOS_Sharpe,worst,dMaxDD_bp,dSharpe,dCAGR_pp,dTurn,dNames
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,NOW,broad,40,4.440892098500626e-16,3.0531133177191805e-16,2.220446049250313e-16,6.661338147750939e-16,6.661338147750939e-16,,,,,
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,NOW,u56,40,0.0034528213385200957,0.00021006302117980435,7.028798099106837e-08,0.006170987568604458,0.006170987568604458,,,,,
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,TRUNC,broad,40,4.440892098500626e-16,3.0531133177191805e-16,2.220446049250313e-16,6.661338147750939e-16,6.661338147750939e-16,,,,,
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,TRUNC,u56,40,4.0758071819801955e-06,5.606304654126593e-07,7.028798099106837e-08,7.931069369915278e-06,7.931069369915278e-06,,,,,
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,OLD,broad,40,4.440892098500626e-16,3.0531133177191805e-16,2.220446049250313e-16,6.661338147750939e-16,6.661338147750939e-16,,,,,
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,OLD,u56,40,4.63574598819072e-06,5.655240619961699e-07,5.5019028999403474e-08,1.0306903869938822e-05,1.0306903869938822e-05,,,,,
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,NOW,B136,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,NOW,SMALL439,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,NOW,U56,21,0.0009031993639290192,,1.247874185095199e-07,,0.008864880663206287,0.0019306448062437198,0.0006618340827007005,0.008864880663206287,0.0073081304154527515,4.505519261141511e-05
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,TRUNC,B136,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,TRUNC,SMALL439,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,TRUNC,U56,21,5.403310903151493e-07,,1.247874185095199e-07,,0.0019306448062437198,0.0019306448062437198,2.782948663009044e-07,3.5958612975978133e-06,2.923250670416877e-07,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,OLD,B136,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,OLD,SMALL439,21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,OLD,U56,21,7.930891467999857e-07,,2.1394109769867775e-07,,0.0028882409730499603,0.0028882409730499603,9.431749405999779e-07,1.0913924897215654e-05,2.186869640929956e-07,0.0
