panel,book,gross,convention,d_Sharpe_cand_minus_twin,SE,t
U56,CAND,0.75,MEAN_GROSS,0.27701893590047666,0.10290297556981545,2.6920400927816774
U56,CAND,0.75,OLS_BETA,0.23135496299023672,0.1053231982909387,2.1966192324615434
U56,CAND,1.0,MEAN_GROSS,0.26889048306133123,0.10266127889959345,2.6192005977669157
U56,CAND,1.0,OLS_BETA,0.2356186913308419,0.10451105514761208,2.2544858149030507
U56,CAP2,0.75,MEAN_GROSS,0.3406890428147269,0.10534865512190356,3.2339192410240134
U56,CAP2,0.75,OLS_BETA,0.2728388161803036,0.11143198383347024,2.448478495976955
U56,CAP2,1.0,MEAN_GROSS,0.3049512591774406,0.1098772823913288,2.775380429335286
U56,CAP2,1.0,OLS_BETA,0.24054066062341173,0.11571723828031912,2.078693409885174
B136,CAND,0.75,MEAN_GROSS,0.18361325858762556,0.07552535956845864,2.4311470959789676
B136,CAND,0.75,OLS_BETA,0.1526459098534475,0.07640033230713189,1.9979744229358303
B136,CAND,1.0,MEAN_GROSS,0.1763856581848764,0.07535502413554707,2.340728573951453
B136,CAND,1.0,OLS_BETA,0.15408440880687757,0.07602733829755373,2.0266973993463533
B136,CAP2,0.75,MEAN_GROSS,0.2067508933584129,0.0813390253883459,2.5418412916960738
B136,CAP2,0.75,OLS_BETA,0.16906385401954338,0.08269901299647951,2.0443273491878364
B136,CAP2,1.0,MEAN_GROSS,0.2035830002556811,0.08405258503553333,2.422090887146614
B136,CAP2,1.0,OLS_BETA,0.17343931607435503,0.08553720340195074,2.0276477272624933
