step,band,n,coverage_one_sided,mean_waste,mean_waste_two_sided
0.05,0.01,63,0.4126984126984127,-0.003972991829458926,-0.00416227412537254
0.05,0.02,63,0.6031746031746031,0.006027008170541074,0.00583772587462746
0.05,0.03,63,1.0,0.016027008170541073,0.01583772587462746
0.05,0.04,63,1.0,0.02602700817054107,0.025837725874627456
0.05,0.05,63,1.0,0.03602700817054106,0.03583772587462745
0.02,0.01,62,1.0,0.00678961241878897,0.00678961241878897
0.02,0.02,62,1.0,0.016789612418788968,0.016789612418788968
0.02,0.03,62,1.0,0.026789612418788966,0.026789612418788966
0.02,0.04,62,1.0,0.036789612418788975,0.036789612418788975
0.02,0.05,62,1.0,0.046789612418788956,0.046789612418788956
0.01,0.01,63,1.0,0.010000000000000002,0.010000000000000002
0.01,0.02,63,1.0,0.020000000000000004,0.020000000000000004
0.01,0.03,63,1.0,0.030000000000000002,0.030000000000000002
0.01,0.04,63,1.0,0.04000000000000001,0.04000000000000001
0.01,0.05,63,1.0,0.049999999999999975,0.049999999999999975
