default,pool,panel,book,cost,arm,pool_empty,n_pool,n_arms,moved_off_control,pool_mean_dSharpe,IS_argmax_margin,TO,TO_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD,v1_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beat_v2,beat_spy,pass4a_v2,pass4a_v1,pass4b,fail4b,pass4b_oos,fail4b_oos
D_NONE,P_ALL,broad,EWall,0.0,control,False,17,17,False,0.006654065435687473,,0.8657057588560485,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,False,DD,False,DD
K_Sharpe,P_ALL,broad,EWall,0.0,vol60-dg,False,17,17,True,0.006654065435687473,0.013234429948145277,1.3572505940322879,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,True,-,True,-
K_CAGR,P_ALL,broad,EWall,0.0,control,False,17,17,False,0.006654065435687473,0.0,0.8657057588560485,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,False,DD,False,DD
K_Calmar,P_ALL,broad,EWall,0.0,band3-rw,False,17,17,True,0.006654065435687473,0.032349387518992856,4.804176471053953,5.549433421122479,0.12561393313513736,1.1201147797841546,-0.1838388400548132,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.010677257214848135,-0.014754170395508748,0.06973658578207143,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,True,-,True,-
K_MaxDD,P_ALL,broad,EWall,0.0,band3-dg,False,17,17,True,0.006654065435687473,0.00012120987824870699,2.0110891272076903,2.3230631269741835,0.08210528304142972,1.1481353293632495,-0.12211398589281575,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.03869780679394297,-0.05826282048921638,0.1314614399440689,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,True,False,CAGR,False,CAGR
K_Random,P_ALL,broad,EWall,0.0,ddctl-8/.5/high,False,17,17,True,0.006654065435687473,,0.9760829378129517,1.1274996473429455,0.09307154914880966,1.0478062430645563,-0.17295032445662495,1.1094375225693065,0.1403681035306461,-0.25357542583688464,-0.061631279504750225,-0.04729655438183644,0.08062510138025969,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,True,False,CAGR,False,CAGR
D_NONE,P_S1,broad,EWall,0.0,control,False,5,17,False,0.009144088199235734,,0.8657057588560485,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,False,DD,False,DD
K_Sharpe,P_S1,broad,EWall,0.0,vol60-dg,False,5,17,True,0.009144088199235734,0.04928973335045295,1.3572505940322879,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,True,-,True,-
K_CAGR,P_S1,broad,EWall,0.0,vol60-dg,False,5,17,True,0.009144088199235734,0.008120614395853432,1.3572505940322879,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,True,-,True,-
K_Calmar,P_S1,broad,EWall,0.0,band3-rw,False,5,17,True,0.009144088199235734,0.032349387518992856,4.804176471053953,5.549433421122479,0.12561393313513736,1.1201147797841546,-0.1838388400548132,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.010677257214848135,-0.014754170395508748,0.06973658578207143,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,True,-,True,-
