panel,kind,estimator,S,bias,bias_net,sd,mc_se,prefix_bias
B136,BLOCK,mean,5,-0.0002500892854271168,0.0,0.048606511269416876,0.001086874633475257,0.028852718142804285
B136,BLOCK,mean,10,-9.60331357514425e-05,0.0,0.0341258178185122,0.0007630764842996685,0.008466012194620473
B136,BLOCK,mean,20,0.00023571561407537134,0.0,0.023238681200962636,0.0005196327087279891,0.005308335618924594
B136,BLOCK,mean,50,-4.087590044397441e-05,0.0,0.013523108900295013,0.00030238590768192074,0.002534755770866426
B136,BLOCK,mean,100,-0.00010958641876214943,0.0,0.007644049051209574,0.00017092613301847377,0.006292492925709141
B136,BLOCK,mean,200,0.0,0.0,0.0,0.0,0.0
B136,BLOCK,median,5,0.00014809755949635184,0.0003981868449234686,0.058479450907553555,0.001307640275161515,0.028350056255380857
B136,BLOCK,median,10,-5.163350477251545e-06,9.086978527419094e-05,0.039790734934389865,0.0008897478818797137,-0.013195763045603826
B136,BLOCK,median,20,0.0005896928809675147,0.0003539772668921433,0.027567581330507077,0.0006164298583026792,-0.008071714692191867
B136,BLOCK,median,50,-0.0001307000273675918,-8.982412692361737e-05,0.015429496901980743,0.0003450140393145135,-0.0046157569297531524
B136,BLOCK,median,100,6.895651244120948e-06,0.00011648207000627038,0.008344016290659484,0.00018657787631280251,0.004589354969954588
B136,BLOCK,median,200,0.0,0.0,0.0,0.0,0.0
B136,BLOCK,trimmed10,5,0.0013665077047145813,0.001616596990141698,0.048606511269416876,0.0010868746334752573,0.030469315132946023
B136,BLOCK,trimmed10,10,0.00033547792887870614,0.0004315110646301486,0.035103776413635365,0.0007849443032784245,0.005500747563294568
B136,BLOCK,trimmed10,20,0.0005870868664968517,0.0003513712524214803,0.024013805066786686,0.000536965005277639,0.003101640156654243
B136,BLOCK,trimmed10,50,6.558858031678143e-05,0.00010646448076075583,0.013963976571151886,0.0003122440084931004,0.0018892630103996555
B136,BLOCK,trimmed10,100,-4.0763413334773034e-05,6.88230054273764e-05,0.007897996165178939,0.00017660456311372765,0.006565082853086435
B136,BLOCK,trimmed10,200,0.0,0.0,0.0,0.0,0.0
B136,RAND,mean,5,-0.0003458910385574776,0.0,0.03560519887510988,0.0007961564503714473,-0.011749539869943057
B136,RAND,mean,10,0.0001972851432747169,0.0,0.02484703142454998,0.0005555965130436719,-0.0047426098371530405
B136,RAND,mean,20,-0.00018401405887641387,0.0,0.016973924087466778,0.00037954848104496797,-0.00744019235111872
B136,RAND,mean,50,7.699648346367235e-06,0.0,0.009787408395326574,0.0002188531049550235,-0.004608027307101766
B136,RAND,mean,100,-0.0001376581170058714,0.0,0.005647880525496343,0.00012629044783807057,-0.0020143569279934916
B136,RAND,mean,200,0.0,0.0,0.0,0.0,0.0
B136,RAND,median,5,-0.003259264586302657,-0.0029133735477451794,0.043809117899609916,0.0009796016565783057,-0.010365045053687053
B136,RAND,median,10,-0.002814864201398685,-0.003012149344673402,0.030649736913452883,0.0006853489523096523,-0.011094755249496454
B136,RAND,median,20,-0.0029380736972543695,-0.0027540596383779556,0.022366873123451897,0.0005001384874815148,-0.01867493349319495
B136,RAND,median,50,-0.001996270497666227,-0.002003970146012594,0.013575435434344736,0.0003035559645535421,-0.01630959208148471
B136,RAND,median,100,-0.0016847575073431487,-0.0015470993903372772,0.0083889805235204,0.00018758330712513387,-0.005431186094284779
B136,RAND,median,200,0.0,0.0,0.0,0.0,0.0
