panel,eps,conv,n_tied,pick_N,pick_cad,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,full_Sharpe,full_CAGR,full_MaxDD,H1,H2,keep4a,keep4b,oos4b,strict4b
U56,0.0,O_1199,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.0,O_BUILD,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.0,O_IDXMAX,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.0,O_LAST,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,0.0,O_HOLD,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,1e-12,O_1199,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-12,O_BUILD,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-12,O_IDXMAX,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-12,O_LAST,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,1e-12,O_HOLD,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,1e-06,O_1199,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-06,O_BUILD,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-06,O_IDXMAX,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,1e-06,O_LAST,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,1e-06,O_HOLD,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,0.001,O_1199,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.001,O_BUILD,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.001,O_IDXMAX,10,5,M,1.5743405598078908,0.9143004039834073,0.19991393373789856,-0.28727941869469253,1.1633553627120952,0.24481320875828594,-0.28727941869469265,1.5216652565913464,0.915935895446196,False,False,False,False
U56,0.001,O_LAST,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
U56,0.001,O_HOLD,10,40,W,1.0675166759014076,1.249933600883328,0.11926155650032544,-0.15277363813405787,1.1708168733811442,0.10569821400442292,-0.15277363813405764,1.2055222009070488,1.1482464070183414,False,False,True,False
B136,0.0,O_1199,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.0,O_BUILD,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.0,O_IDXMAX,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.0,O_LAST,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,0.0,O_HOLD,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,1e-12,O_1199,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-12,O_BUILD,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-12,O_IDXMAX,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-12,O_LAST,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,1e-12,O_HOLD,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,1e-06,O_1199,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-06,O_BUILD,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-06,O_IDXMAX,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,1e-06,O_LAST,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
