panel,r_target,r_real,rev_is,rev_oos,pred_r,pred_const,pred_panel
B136,0.05,0.050505050505050504,True,True,True,False,True
B136,0.1,0.10101010101010101,False,True,True,False,True
B136,0.2,0.20202020202020202,True,True,True,False,True
B136,0.35,0.35353535353535354,True,True,True,False,True
B136,0.5,0.5050505050505051,True,True,True,False,True
B136,0.75,0.7474747474747475,False,False,False,False,True
B136,1.0,1.0,True,False,False,False,True
BSTK100,0.05,0.05555555555555555,True,True,True,False,True
BSTK100,0.1,0.09722222222222222,True,True,True,False,True
BSTK100,0.2,0.19444444444444445,False,True,True,False,True
BSTK100,0.35,0.3472222222222222,True,True,True,False,True
BSTK100,0.5,0.5,True,True,True,False,True
BSTK100,0.75,0.75,False,False,False,False,True
BSTK100,1.0,1.0,False,False,False,False,True
ETF36,0.05,0.037037037037037035,True,False,True,False,True
ETF36,0.1,0.1111111111111111,False,True,True,False,True
ETF36,0.2,0.18518518518518517,True,True,True,False,True
ETF36,0.35,0.3333333333333333,True,False,True,False,True
ETF36,0.5,0.5185185185185185,True,False,True,False,True
ETF36,0.75,0.7407407407407407,False,False,False,False,True
ETF36,1.0,1.0,False,False,False,False,True
SMALL439,0.05,0.0472972972972973,False,False,True,False,False
SMALL439,0.1,0.10135135135135136,False,False,True,False,False
SMALL439,0.2,0.20270270270270271,False,False,True,False,False
SMALL439,0.35,0.35135135135135137,False,False,True,False,False
SMALL439,0.5,0.5,False,False,True,False,False
SMALL439,0.75,0.75,False,False,False,False,False
SMALL439,1.0,1.0,False,False,False,False,False
U56,0.05,0.04878048780487805,True,True,True,False,True
U56,0.1,0.0975609756097561,False,True,True,False,True
U56,0.2,0.1951219512195122,True,True,True,False,True
U56,0.35,0.34146341463414637,True,True,True,False,True
U56,0.5,0.4878048780487805,False,False,True,False,True
U56,0.75,0.7560975609756098,True,False,False,False,True
U56,1.0,1.0,False,False,False,False,True
