tag,k,n_elig,breadth,disp,corr,evol,days,panel,source,kind,seed,k_frac,n_elig_grid
FULL,56,41.0,0.6687800527377075,0.09366953737861075,0.3327819409089491,0.19729143439133345,921,U56,U56,NAMED,-1,1.0,41.0
IS,56,39.0,0.6473643543956045,0.0915437066268574,0.3180734630043806,0.19238696341370815,416,U56,U56,NAMED,-1,1.0,41.0
FULL,136,99.0,0.672343041451108,0.09502947143516048,0.34446852066282024,0.21676960356545938,921,B136,B136,NAMED,-1,1.0,99.0
IS,136,99.5,0.6637796945701357,0.09178672632396578,0.3578629773311574,0.20994284848874623,416,B136,B136,NAMED,-1,1.0,99.0
FULL,100,72.0,0.6713897937024972,0.10030245683507795,0.3513272381763732,0.2401637905733874,921,BSTK100,BSTK100,NAMED,-1,1.0,72.0
IS,100,73.0,0.6664663461538461,0.09585543328662542,0.37792706849477475,0.23395576444650515,416,BSTK100,BSTK100,NAMED,-1,1.0,72.0
FULL,439,148.0,0.3220795008127406,0.16785170123992899,0.1760659276513338,0.3394419453599911,817,SMALL439,SMALL439,NAMED,-1,1.0,148.0
IS,439,137.5,0.3047500146019508,0.1506989666242754,0.17103823398728002,0.31805578930520695,312,SMALL439,SMALL439,NAMED,-1,1.0,148.0
FULL,36,27.0,0.6749909518639161,0.06203052121331122,0.343583685263719,0.1578663742872465,921,ETF36,ETF36,NAMED,-1,1.0,27.0
IS,36,26.0,0.6563167735042735,0.05727465225609399,0.322113426259558,0.15178978886361422,416,ETF36,ETF36,NAMED,-1,1.0,27.0
FULL,14,9.0,0.6195129517605089,0.08786627045222652,0.2515940366540579,0.20158145744982087,921,U56~0.25~s0,U56,SUB,0,0.25,9.0
IS,14,9.0,0.6184752747252749,0.08319089997434907,0.23391602892208857,0.19807845703755328,416,U56~0.25~s0,U56,SUB,0,0.25,9.0
FULL,14,11.0,0.7445323406235459,0.07540756093315633,0.3022200919160396,0.18775984249224068,921,U56~0.25~s1,U56,SUB,1,0.25,11.0
IS,14,11.0,0.759271978021978,0.07156146683183874,0.295246688456883,0.178238837801984,416,U56~0.25~s1,U56,SUB,1,0.25,11.0
FULL,22,15.0,0.6191392754910671,0.09825866416257001,0.338979621229672,0.22007192086773922,921,U56~0.40~s0,U56,SUB,0,0.4,15.0
IS,22,14.0,0.5878496503496503,0.09813540456051525,0.32256175250295255,0.21920669469386939,416,U56~0.40~s0,U56,SUB,0,0.4,15.0
FULL,22,18.0,0.7100977198697068,0.06961998876212265,0.4955885268744893,0.16827690982131388,921,U56~0.40~s1,U56,SUB,1,0.4,18.0
IS,22,17.0,0.6899038461538461,0.06676617882220813,0.4552590683573526,0.16480745169194602,416,U56~0.40~s1,U56,SUB,1,0.4,18.0
FULL,30,22.0,0.6795150199058995,0.0900070508538421,0.338993856215259,0.20236007574680007,921,U56~0.55~s0,U56,SUB,0,0.55,22.0
IS,30,21.0,0.6491185897435897,0.08999948713473421,0.335472155785066,0.19789630928578347,416,U56~0.55~s0,U56,SUB,0,0.55,22.0
FULL,30,22.0,0.6653275425262396,0.09785171076507763,0.3505096307588586,0.21122879400739336,921,U56~0.55~s1,U56,SUB,1,0.55,22.0
IS,30,21.0,0.6468749999999999,0.09457487081192124,0.32656779247560447,0.20142969569538277,416,U56~0.55~s1,U56,SUB,1,0.55,22.0
FULL,38,27.0,0.6520086862106406,0.09820531031582269,0.30012980642535225,0.20501308149379938,921,U56~0.70~s0,U56,SUB,0,0.7,27.0
IS,38,26.0,0.6228491902834008,0.09927230485319584,0.2688794408718924,0.20100472507580053,416,U56~0.70~s0,U56,SUB,0,0.7,27.0
FULL,38,26.0,0.6356077490142295,0.1010592363846882,0.2898001133311435,0.20406591636709193,921,U56~0.70~s1,U56,SUB,1,0.7,26.0
IS,38,24.0,0.6073507085020243,0.09803984392256107,0.2573574225403237,0.19644975242309318,416,U56~0.70~s1,U56,SUB,1,0.7,26.0
FULL,47,34.0,0.662369764594451,0.09806985971999922,0.3092981961549582,0.2031852680904631,921,U56~0.85~s0,U56,SUB,0,0.85,34.0
IS,47,33.0,0.6395253682487725,0.09550754549225332,0.3035485917359987,0.19697597169001405,416,U56~0.85~s0,U56,SUB,0,0.85,34.0
FULL,47,34.0,0.6730427149028576,0.08576727637122332,0.32416232799153716,0.1900038848524545,921,U56~0.85~s1,U56,SUB,1,0.85,34.0
IS,47,33.0,0.6551247954173486,0.07881957176667972,0.3107827675918451,0.18293177776465333,416,U56~0.85~s1,U56,SUB,1,0.85,34.0
FULL,34,26.0,0.6964935811458134,0.0967815750344978,0.3544893752356698,0.23084604411129028,921,B136~0.25~s0,B136,SUB,0,0.25,26.0
IS,34,26.0,0.6989536199095022,0.09484088078232131,0.369819959474386,0.22358831971895807,416,B136~0.25~s0,B136,SUB,0,0.25,26.0
FULL,34,27.0,0.6982499840327009,0.08321690462275946,0.4279544846641468,0.23022066455829154,921,B136~0.25~s1,B136,SUB,1,0.25,27.0
IS,34,27.0,0.6989536199095022,0.07663852069928619,0.46071787486141097,0.223042155179812,416,B136~0.25~s1,B136,SUB,1,0.25,27.0
FULL,54,39.0,0.6655205694293642,0.09597939955230857,0.31244089649844003,0.21094948686683404,921,B136~0.40~s0,B136,SUB,0,0.4,39.0
IS,54,39.0,0.6579415954415955,0.09302971690501932,0.344157071875522,0.20411393454110524,416,B136~0.40~s0,B136,SUB,0,0.4,39.0
FULL,54,39.0,0.6692202517392528,0.10127289414989703,0.32698026860406887,0.2247264086277055,921,B136~0.40~s1,B136,SUB,1,0.4,39.0
IS,54,39.0,0.6634170227920227,0.09658158853954742,0.34533004530128963,0.21401663295390944,416,B136~0.40~s1,B136,SUB,1,0.4,39.0
FULL,74,54.0,0.6712592070898259,0.08609011375259855,0.35253468801647275,0.20882111735841727,921,B136~0.55~s0,B136,SUB,0,0.55,54.0
IS,74,54.0,0.6603105509355509,0.08064345438291855,0.36214810604659303,0.2006197887465708,416,B136~0.55~s0,B136,SUB,0,0.55,54.0
FULL,74,54.0,0.675162132816856,0.09141964033681023,0.32157076080241165,0.2139423481791088,921,B136~0.55~s1,B136,SUB,1,0.55,54.0
IS,74,56.0,0.6774948024948024,0.08466856358092906,0.3385891532517629,0.2038893262596265,416,B136~0.55~s1,B136,SUB,1,0.55,54.0
FULL,94,67.0,0.6616651650611037,0.09406726139961114,0.3229495533628524,0.20783456796608052,921,B136~0.70~s0,B136,SUB,0,0.7,67.0
IS,94,68.0,0.65428089198036,0.09118035711305025,0.33006471490834044,0.20160716473598153,416,B136~0.70~s0,B136,SUB,0,0.7,67.0
FULL,94,68.0,0.6712176866033682,0.0926893839086345,0.3474802798941805,0.21779914420300606,921,B136~0.70~s1,B136,SUB,1,0.7,68.0
IS,94,68.5,0.6622340425531915,0.08951612307327289,0.365719067658964,0.20983174575845742,416,B136~0.70~s1,B136,SUB,1,0.7,68.0
FULL,115,83.0,0.666997120332342,0.09574363824874428,0.32856123118712005,0.21802461983349758,921,B136~0.85~s0,B136,SUB,0,0.85,83.0
IS,115,83.0,0.6536998327759196,0.09129413163110979,0.33962658040645155,0.21004811029189685,416,B136~0.85~s0,B136,SUB,0,0.85,83.0
FULL,115,84.0,0.6733418307133079,0.09631161522457234,0.34860166128602293,0.22147823119929214,921,B136~0.85~s1,B136,SUB,1,0.85,84.0
IS,115,85.5,0.6656145484949832,0.09371464025202689,0.3670976560336622,0.2153401099497344,416,B136~0.85~s1,B136,SUB,1,0.85,84.0
FULL,25,19.0,0.6971552660152008,0.07829157731447649,0.40696660352475617,0.21576295751104357,921,BSTK100~0.25~s0,BSTK100,SUB,0,0.25,19.0
IS,25,19.0,0.6836538461538461,0.07464262754173624,0.43461671764193693,0.21163807205692792,416,BSTK100~0.25~s0,BSTK100,SUB,0,0.25,19.0
FULL,25,17.0,0.6439087947882736,0.09658980481317347,0.3653722448045588,0.23888638202757911,921,BSTK100~0.25~s1,BSTK100,SUB,1,0.25,17.0
IS,25,18.0,0.6425000000000001,0.08935452024255651,0.39411398524601265,0.22841220554939998,416,BSTK100~0.25~s1,BSTK100,SUB,1,0.25,17.0
FULL,40,28.0,0.6574918566775244,0.10164876973534843,0.33466893619245575,0.2469186189168198,921,BSTK100~0.40~s0,BSTK100,SUB,0,0.4,28.0
IS,40,28.0,0.6515624999999999,0.09718235975841955,0.35780649242679746,0.24144486783714228,416,BSTK100~0.40~s0,BSTK100,SUB,0,0.4,28.0
FULL,40,28.0,0.6665309446254072,0.09731223702569598,0.36055611352661204,0.23990635839864444,921,BSTK100~0.40~s1,BSTK100,SUB,1,0.4,28.0
IS,40,29.0,0.6661658653846154,0.09486507639542435,0.38918477276479957,0.23686178326545845,416,BSTK100~0.40~s1,BSTK100,SUB,1,0.4,28.0
FULL,55,39.0,0.6484651070970288,0.09862778014273589,0.364623020120567,0.24754467902119942,921,BSTK100~0.55~s0,BSTK100,SUB,0,0.55,39.0
IS,55,39.0,0.6327797202797203,0.09029670961089169,0.4003276592580772,0.24190121623911856,416,BSTK100~0.55~s0,BSTK100,SUB,0,0.55,39.0
FULL,55,41.0,0.689231072944428,0.09929674132895894,0.33947285332281923,0.2378724347171558,921,BSTK100~0.55~s1,BSTK100,SUB,1,0.55,41.0
IS,55,42.0,0.6906468531468531,0.09400393077643349,0.37808222195266666,0.23160181173426425,416,BSTK100~0.55~s1,BSTK100,SUB,1,0.55,41.0
FULL,70,52.0,0.6854195749961223,0.09215027645892666,0.36847737568076233,0.23714562610676163,921,BSTK100~0.70~s0,BSTK100,SUB,0,0.7,52.0
IS,70,53.0,0.677232142857143,0.08474431383682914,0.3958645838348822,0.2299001982029818,416,BSTK100~0.70~s0,BSTK100,SUB,0,0.7,52.0
FULL,70,51.0,0.671444082519001,0.09931400584996997,0.33885944544318547,0.23928219923994543,921,BSTK100~0.70~s1,BSTK100,SUB,1,0.7,51.0
IS,70,52.0,0.6697115384615385,0.09468353933168097,0.3670254020427829,0.23431962922947552,416,BSTK100~0.70~s1,BSTK100,SUB,1,0.7,51.0
FULL,85,62.0,0.6752634604330332,0.09980996958783066,0.3498820485409267,0.23916986540790985,921,BSTK100~0.85~s0,BSTK100,SUB,0,0.85,62.0
IS,85,62.0,0.674406108597285,0.09535082056025573,0.3795351617613436,0.23199744979671402,416,BSTK100~0.85~s0,BSTK100,SUB,0,0.85,62.0
FULL,85,61.0,0.6706904260075366,0.09591307029755322,0.35332845343428365,0.2370769575403625,921,BSTK100~0.85~s1,BSTK100,SUB,1,0.85,61.0
IS,85,62.0,0.66368778280543,0.09077226744756972,0.3830977237341045,0.23014159815988672,416,BSTK100~0.85~s1,BSTK100,SUB,1,0.85,61.0
FULL,110,37.0,0.3223545120729943,0.1570891032213374,0.1673805513055278,0.3372558005356953,817,SMALL439~0.25~s0,SMALL439,SUB,0,0.25,37.0
IS,110,35.5,0.3052447552447553,0.14165768073724133,0.16442115638496996,0.31473977810488973,312,SMALL439~0.25~s0,SMALL439,SUB,0,0.25,37.0
FULL,110,37.0,0.3193946812061867,0.16275258527292658,0.17668385861398267,0.3366426202955803,817,SMALL439~0.25~s1,SMALL439,SUB,1,0.25,37.0
IS,110,34.0,0.29527972027972027,0.14142697627051512,0.19100851269907973,0.31738380989173387,312,SMALL439~0.25~s1,SMALL439,SUB,1,0.25,37.0
FULL,176,61.0,0.32903082229887615,0.17065158419467064,0.17517935054935152,0.3489674864769638,817,SMALL439~0.40~s0,SMALL439,SUB,0,0.4,61.0
IS,176,56.5,0.3085664335664336,0.15399788431901235,0.15799258133201105,0.3314542026779172,312,SMALL439~0.40~s0,SMALL439,SUB,0,0.4,61.0
FULL,176,57.0,0.30740235896294643,0.16340982797175208,0.16751511539668207,0.3409697145811819,817,SMALL439~0.40~s1,SMALL439,SUB,1,0.4,57.0
IS,176,51.0,0.28157779720279724,0.14367256736953743,0.15203053102845843,0.32182073757276086,312,SMALL439~0.40~s1,SMALL439,SUB,1,0.4,57.0
FULL,241,78.0,0.3115537565326033,0.16838806069008425,0.1732882488373893,0.34318279747556607,817,SMALL439~0.55~s0,SMALL439,SUB,0,0.55,78.0
