panel,k,phase,turnover_yr,cut,CAGR,dCAGR,Sharpe,MaxDD,OOS_Sharpe,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,2,0,2.9815546706771854,0.14967796731700622,0.11555200809019772,-0.0006775259028308778,1.2286277413597777,-0.18272394144290793,1.264269975758264,False,True,True,True,True,True,True
U56,2,1,2.94327380011417,0.16059544872029863,0.11812508574597591,0.001895551752947311,1.2769639466693348,-0.1486089613736451,1.3560845645949033,False,True,True,True,True,True,True
U56,3,0,2.661620933767559,0.2409212063454126,0.11845399089369546,0.00222445690066686,1.2438803559727776,-0.18219919178288668,1.2966142498686837,False,True,True,True,True,True,True
U56,3,1,2.657531345603486,0.2420875330791501,0.11710826235291827,0.0008787283598896689,1.2440279603319153,-0.1656214966214421,1.350191735725028,False,True,True,True,True,True,True
U56,3,2,2.653736474002489,0.24316980836501556,0.115371486198935,-0.0008580477940935971,1.2230673716675193,-0.17770702383436632,1.2457079648878056,False,True,True,True,True,True,True
U56,4,0,2.511470547327272,0.2837432223432086,0.11659333414383677,0.00036380015080816896,1.2175197230908374,-0.18311248277777625,1.2728917690693162,False,True,True,True,True,True,True
U56,4,1,2.406595990639193,0.31365283530344346,0.11791173406442046,0.0016822000713918595,1.249016402427258,-0.16463343266618768,1.2961540268747163,False,True,True,True,True,True,True
U56,4,2,2.3518367894835848,0.3292698406505761,0.11718726900536391,0.0009577350123353146,1.2146136984436662,-0.19794975304180107,1.2361536059904419,False,True,True,True,True,True,True
U56,4,3,2.4416621581111633,0.30365216850487164,0.11724412625522396,0.0010145922621953574,1.2244502172081042,-0.17911824523795405,1.3010543695600383,False,True,True,True,True,True,True
U56,6,0,1.9804396489188825,0.43519014276796153,0.12640502796866326,0.010175493975634664,1.2853742078331345,-0.18575677951286718,1.359724893891749,False,True,True,True,True,True,True
U56,6,1,2.032885333078713,0.4202329389981213,0.12010793315223878,0.0038783991592101774,1.253127157635916,-0.1691403487746621,1.3496907674912848,False,True,True,True,True,True,True
U56,6,2,2.1129966979816865,0.397385644157194,0.1144122650010162,-0.0018172689920123997,1.1759305678425027,-0.1995518905983802,1.161968246841382,False,True,True,True,True,True,True
U56,6,3,2.1273703410907285,0.39328636482961943,0.1159220979590041,-0.0003074360340244997,1.188149032865625,-0.2001846775572652,1.2010197201737043,False,True,True,True,True,True,True
