k,n,conc,q,H1,H2,OOS,DDcap,CAGRfloor,joint4b,pass4a,CAGR,Sharpe,MaxDD,OOS_Sharpe,draws,binding,binding_rate,tied
20,5.0,0.25,0.0,0.6666666666666666,0.25,0.25,0.16666666666666666,0.8333333333333334,0.08333333333333333,0.0,0.12128632346909025,0.8217969852759711,-0.22674615299424167,0.8217195615772264,12,DDcap,0.16666666666666666,1
20,5.0,0.25,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0,0.08829279793182815,0.6539003586374201,-0.24736277896825387,0.6870030943377395,12,DDcap,0.16666666666666666,1
20,5.0,0.25,0.5,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.07306598575394024,0.5530762048005463,-0.2533934846137895,0.42466384865535545,12,H2,0.0,3
20,5.0,0.25,0.75,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.06404831418312701,0.455723428015982,-0.3200985849042387,0.46989887953074283,12,H2,0.0,3
20,5.0,0.25,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.038535170995086604,0.3151586992229106,-0.414589882718644,0.30778434062336235,12,H1,0.0,4
20,10.0,0.5,0.0,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.0,0.1178244632203915,1.0104767074246763,-0.1802038685197015,0.9929174943946104,12,H2,0.6666666666666666,1
20,10.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.5,0.9166666666666666,0.4166666666666667,0.25,0.0,0.0959183925823332,0.8632175189759492,-0.1805215367265811,0.8798138954187087,12,H2,0.3333333333333333,1
20,10.0,0.5,0.5,0.4166666666666667,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.0,0.0758177650375817,0.6960896865224604,-0.187679712059437,0.6384312058500923,12,H2,0.0,1
20,10.0,0.5,0.75,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0502165063184698,0.49049372574847666,-0.23357471090023912,0.4678878897035684,12,H2,0.0,3
20,10.0,0.5,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0259103049388822,0.2757197982087153,-0.2760161639595591,0.3113702891741068,12,H1,0.0,4
