window,family,d_is_Sharpe,d_is_MaxDD,d_oos_Sharpe,d_oos_MaxDD
W0,SLID,-0.0002654774681162912,0.0022784577588775418,0.09611646860195198,0.11589097711111229
W1,SLID,0.02887436536312334,0.002278457758877382,0.08661454604819933,0.11589097711111201
W2,SLID,0.008179671375907078,0.018081505539268447,0.11200060644997241,0.10604000023457401
W3,SLID,0.0035946898359026877,0.022392273337096678,0.10123067485494452,0.10604000023457398
W4,SLID,0.1967238795896116,0.12229627080389953,-0.10107399380442679,-0.020705722828229602
W5,SLID,0.1745378556299798,0.12229627080389953,-0.1114842940877877,-0.019300995371121208
N1,NAMED,0.0221608718671352,0.018081505539268388,0.11200060644997241,0.10604000023457401
N2,NAMED,0.18706858533099777,0.12229627080389949,-0.10107399380442679,-0.020705722828229602
X1,CTRL_early_nocrash,0.012279818390472416,0.01808150553926835,0.10123067485494452,0.10604000023457398
X2,CTRL_early_crash,0.13759109238806463,0.12208040872469512,-0.10107399380442679,-0.020705722828229602
X3,CTRL_late_nocrash,-0.002929193932268088,0.022392273337096757,0.10123067485494452,0.10604000023457398
X4,CTRL_late_crash,0.3266910971955858,0.1222962708038998,-0.10107399380442679,-0.020705722828229602
