book,panel,label,freq,full_CAGR,full_Sharpe,full_MaxDD,full_H1,full_H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,fail4a,keep4b_OOSlocal,share_3y,n_3y,share_3y_OOS,n_3y_OOS,cost_surv,cost_surv_OOS,gross_band,gross_band_OOS,_calmar_full,_calmar_IS
K1,U56,"u56 top20 composite, W, g0.75",W,0.12778534248203832,1.0632204595128434,-0.1830834144627017,1.0761247650202286,1.0590655981379316,0.10810124581844649,0.9765495035428563,-0.11846710934713856,1.2581216461685116,0.14426535084279468,1.129600365408191,-0.18308341446270193,PASS,-none-,FAIL,H1+H2+DD,PASS,0.11363636363636363,176.0,0.25,80.0,20.0,30.0,0.25,0.375,0.6979624170602909,0.9125000720806189
K2,U56,"u56 top20 + rank buffer m=20, W, g0.75",W,0.1282413390173136,1.1168305185683665,-0.17244981000039827,1.1236591040999195,1.1192578792140804,0.09983917846477852,0.9577757995151831,-0.11085656910319397,1.133097029761831,0.15219188963648755,1.23543913426136,-0.1724498100003985,PASS,-none-,FAIL,H1+H2+DD,PASS,0.10795454545454546,176.0,0.2375,80.0,40.0,75.0,0.25,0.375,0.7436444204665544,0.9006158071863148
K3,U56,"u56 top20 DAILY + buffer m=50 (fixed g/n), D, g0.75",D,0.11783458915117473,1.1582316284744965,-0.1237392928843456,1.137343884468843,1.1811423571925674,0.09424974321521362,0.990643960461853,-0.11906598004704683,1.0844758402023824,0.13764740038429513,1.2863820666290864,-0.12373929288434582,PASS,-none-,FAIL,H1+DD,PASS,0.36363636363636365,176.0,0.675,80.0,25.0,50.0,0.125,0.25,0.9522810936159966,0.7915757563829106
K4,U56,"u56 EW-all 200d-MA gate (band 0), M, g1.00",M,0.11921216196097117,1.2095309744401905,-0.15485495397691995,1.257639059962761,1.1655444635218315,0.11048169206536596,1.1358894526372816,-0.1042215356541214,1.341818898075915,0.12645666994169646,1.2692590432079591,-0.15485495397691995,PASS,-none-,FAIL,H2+DD,PASS,0.4431818181818182,176.0,0.625,80.0,50.0,75.0,0.125,0.25,0.769831115501406,1.0600658623187058
K5,U56,"u56 RULES v2 band 0.03, W, g1.00  [standing candidate]",W,0.11544485987825248,1.2016651077116542,-0.15910990262743974,1.2353972967586033,1.174935198833666,0.10163037850119716,1.1047437219516025,-0.10451949838088237,1.349996620585763,0.126956558390525,1.2775395947599435,-0.15910990262743996,PASS,-none-,FAIL,H2+DD,PASS,0.3977272727272727,176.0,0.5375,80.0,40.0,75.0,0.125,0.25,0.7255667810228621,0.9723580774454458
K6,U56,"u56 wide band b=0.12 EW respread, W, g0.75",W,0.13974222525739366,1.223289109519813,-0.19419373034827148,1.2668429201355855,1.1941485107573024,0.12655293371117082,1.1761982470648353,-0.11646311526627529,1.4788315737724054,0.15072471200384263,1.2607540303838713,-0.1941937303482717,PASS,-none-,FAIL,DD,PASS,0.2784090909090909,176.0,0.6,80.0,100.0,100.0,0.25,0.375,0.7196021468189358,1.0866353130072701
K7,B136,"b136 scored-eligible EW, residual in SHY, W, g0.375",W,0.06220101729156324,1.1687108743038912,-0.11133286588851088,1.2646773786881855,1.0834192877856104,0.06021227049009692,1.1457472087976666,-0.05536132815335093,1.3037866874066704,0.06384233170332343,1.187119804006703,-0.11133286588851188,FAIL,CG,FAIL,H2,FAIL,0.005681818181818182,176.0,0.0125,80.0,-1.0,-1.0,0.0,0.0,0.5586941178164906,1.087623301292716
K8,U56,"u56 EW-all, de-gross to ZERO on breadth<q0.17(1008d), W, g1.00",W,0.14159352927982938,1.2225788453420765,-0.1479115582684295,1.1406933767560927,1.3035745782595272,0.11916655254945341,1.0248424351272498,-0.1479115582684295,1.3594449055319318,0.16040819756384783,1.393684369943309,-0.12719753492220232,PASS,-none-,FAIL,H1+DD,PASS,0.4147727272727273,176.0,0.6875,80.0,30.0,50.0,0.25,0.375,0.9572850893969072,0.8056608553416108
R1,U56,"u56 band 0.08, W, g1.00",W,0.11390601126292133,1.1460877446699917,-0.1905060857627321,1.2436863556599573,1.0660114409061103,0.1060919805130831,1.122611682702222,-0.11217296392361387,1.4379138529025426,0.12038538471401328,1.1654257169217488,-0.1905060857627323,PASS,-none-,FAIL,H2+DD,PASS,0.32954545454545453,176.0,0.425,80.0,50.0,75.0,0.125,0.125,0.597912716577395,0.9457892240890442
R2,U56,"u56 MA-RESPREAD, W, g0.75",W,0.11508784364638625,1.087689994351135,-0.18647361198328027,1.174030567702205,1.0247151989948562,0.10495158383104064,1.066957695536418,-0.10874609154291837,1.2519246032453288,0.12350884936339579,1.1060790636851225,-0.1864736119832805,PASS,-none-,FAIL,H1+H2+DD,PASS,0.17045454545454544,176.0,0.375,80.0,20.0,25.0,0.125,0.25,0.6171803207024559,0.9651067210044955
