book,key,as_of,c10_today,c10_asof,c5_today,c5_asof
1,U56/R620/g0.75/M,2026-09-06,fail,fail,fail,fail
2,U56/CAND20/g0.75/M,2026-09-06,PASS,PASS,PASS,PASS
3,B136/EWALL/g0.75/W,2026-09-10,fail,fail,fail,fail
4,U56/EWALL/g0.75/W,2026-09-09,fail,fail,fail,fail
5,U56/CAND20/g0.75/W,2026-09-10,fail,fail,fail,fail
6,U56/CAND20/g0.80/W,2026-09-04,fail,fail,PASS,PASS
7,B136/CAND20/g0.75/W,2026-09-11,fail,fail,fail,fail
8,B136/MA-DG/g0.75/W,2026-09-11,fail,fail,fail,fail
9,BSTK100/CAND20/g0.75/W,2026-09-09,fail,fail,fail,fail
10,SMALL/CAND20/g0.75/W,2026-09-11,fail,fail,fail,fail
