panel,fold,SET,DELTA,HFORM,call,named,V,widest,sp_DEG,sp_N,sp_GROSS
U56,2013,NG,0.0,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,0.0,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,0.0,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG,0.01,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,0.01,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,0.01,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG,0.03,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,0.03,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,0.03,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG,0.1,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,0.1,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,0.1,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG,0.3,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,0.3,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,0.3,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG,1.0,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,
U56,2013,NG,1.0,H_NARROWEST,TIE,,1.5932743366856559,N,,0.1313379995896118,
U56,2013,NG,1.0,H_ANY,TIE,,,N,,0.1313379995896118,
U56,2013,NG_D,0.0,H_RUNNERUP,TIE,,1.5485066030391785,N,0.0,0.1313379995896118,
U56,2013,NG_D,0.0,H_NARROWEST,W,N,inf,N,0.0,0.1313379995896118,
U56,2013,NG_D,0.0,H_ANY,W,N,,N,0.0,0.1313379995896118,
U56,2013,NG_D,0.01,H_RUNNERUP,TIE,,1.5485066030391785,N,0.003580250058878409,0.1313379995896118,
U56,2013,NG_D,0.01,H_NARROWEST,W,N,36.68402972689462,N,0.003580250058878409,0.1313379995896118,
U56,2013,NG_D,0.01,H_ANY,W,N,,N,0.003580250058878409,0.1313379995896118,
U56,2013,NG_D,0.03,H_RUNNERUP,TIE,,1.5485066030391785,N,0.010503724244275814,0.1313379995896118,
U56,2013,NG_D,0.03,H_NARROWEST,W,N,12.50394588959118,N,0.010503724244275814,0.1313379995896118,
U56,2013,NG_D,0.03,H_ANY,W,N,,N,0.010503724244275814,0.1313379995896118,
U56,2013,NG_D,0.1,H_RUNNERUP,TIE,,1.5485066030391785,N,0.032933704667753805,0.1313379995896118,
U56,2013,NG_D,0.1,H_NARROWEST,W,N,3.987950973466038,N,0.032933704667753805,0.1313379995896118,
U56,2013,NG_D,0.1,H_ANY,W,N,,N,0.032933704667753805,0.1313379995896118,
U56,2013,NG_D,0.3,H_RUNNERUP,TIE,,1.5485066030391785,N,0.08132681062834035,0.1313379995896118,
U56,2013,NG_D,0.3,H_NARROWEST,TIE,,1.6149409840971163,N,0.08132681062834035,0.1313379995896118,
U56,2013,NG_D,0.3,H_ANY,TIE,,,N,0.08132681062834035,0.1313379995896118,
U56,2013,NG_D,1.0,H_RUNNERUP,N,DEG@1.00,1.0,N,0.1313379995896118,0.1313379995896118,
U56,2013,NG_D,1.0,H_NARROWEST,TIE,,1.5932743366856559,N,0.1313379995896118,0.1313379995896118,
U56,2013,NG_D,1.0,H_ANY,W,N,,N,0.1313379995896118,0.1313379995896118,
U56,2013,ALL4,0.0,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.0,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.0,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.01,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.01,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.01,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.03,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.03,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.03,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.1,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.1,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.1,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.3,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.3,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,0.3,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,1.0,H_RUNNERUP,TIE,,1.5485066030391785,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,1.0,H_NARROWEST,W,N,375.1288020534176,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4,1.0,H_ANY,W,N,,N,,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.0,H_RUNNERUP,TIE,,1.5485066030391785,N,0.0,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.0,H_NARROWEST,W,N,inf,N,0.0,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.0,H_ANY,W,N,,N,0.0,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.01,H_RUNNERUP,TIE,,1.5485066030391785,N,0.003580250058878409,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.01,H_NARROWEST,W,N,375.1288020534176,N,0.003580250058878409,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.01,H_ANY,W,N,,N,0.003580250058878409,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.03,H_RUNNERUP,TIE,,1.5485066030391785,N,0.010503724244275814,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.03,H_NARROWEST,W,N,375.1288020534176,N,0.010503724244275814,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.03,H_ANY,W,N,,N,0.010503724244275814,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.1,H_RUNNERUP,TIE,,1.5485066030391785,N,0.032933704667753805,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.1,H_NARROWEST,W,N,375.1288020534176,N,0.032933704667753805,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.1,H_ANY,W,N,,N,0.032933704667753805,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.3,H_RUNNERUP,TIE,,1.5485066030391785,N,0.08132681062834035,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.3,H_NARROWEST,W,N,375.1288020534176,N,0.08132681062834035,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,0.3,H_ANY,W,N,,N,0.08132681062834035,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,1.0,H_RUNNERUP,N,DEG@1.00,1.0,N,0.1313379995896118,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,1.0,H_NARROWEST,W,N,375.1288020534176,N,0.1313379995896118,0.1313379995896118,0.00042513941117838794
U56,2013,ALL4_D,1.0,H_ANY,W,N,,N,0.1313379995896118,0.1313379995896118,0.00042513941117838794
U56,2014,NG,0.0,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,0.0,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,0.0,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG,0.01,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,0.01,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,0.01,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG,0.03,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,0.03,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,0.03,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG,0.1,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,0.1,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,0.1,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG,0.3,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,0.3,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,0.3,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG,1.0,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,
U56,2014,NG,1.0,H_NARROWEST,TIE,,1.843116869828377,N,,0.15386058928612223,
U56,2014,NG,1.0,H_ANY,TIE,,,N,,0.15386058928612223,
U56,2014,NG_D,0.0,H_RUNNERUP,TIE,,1.5490804274115184,N,0.0,0.15386058928612223,
U56,2014,NG_D,0.0,H_NARROWEST,W,N,inf,N,0.0,0.15386058928612223,
U56,2014,NG_D,0.0,H_ANY,W,N,,N,0.0,0.15386058928612223,
U56,2014,NG_D,0.01,H_RUNNERUP,TIE,,1.5490804274115184,N,0.004838447979544691,0.15386058928612223,
U56,2014,NG_D,0.01,H_NARROWEST,W,N,31.799574974577045,N,0.004838447979544691,0.15386058928612223,
U56,2014,NG_D,0.01,H_ANY,W,N,,N,0.004838447979544691,0.15386058928612223,
U56,2014,NG_D,0.03,H_RUNNERUP,TIE,,1.5490804274115184,N,0.014210178489999281,0.15386058928612223,
U56,2014,NG_D,0.03,H_NARROWEST,W,N,10.82749167397193,N,0.014210178489999281,0.15386058928612223,
U56,2014,NG_D,0.03,H_ANY,W,N,,N,0.014210178489999281,0.15386058928612223,
U56,2014,NG_D,0.1,H_RUNNERUP,TIE,,1.5490804274115184,N,0.04454135323788688,0.15386058928612223,
U56,2014,NG_D,0.1,H_NARROWEST,W,N,3.4543312697389803,N,0.04454135323788688,0.15386058928612223,
U56,2014,NG_D,0.1,H_ANY,W,N,,N,0.04454135323788688,0.15386058928612223,
U56,2014,NG_D,0.3,H_RUNNERUP,TIE,,1.5490804274115184,N,0.11007456218191303,0.15386058928612223,
U56,2014,NG_D,0.3,H_NARROWEST,TIE,,1.843116869828377,N,0.11007456218191303,0.15386058928612223,
U56,2014,NG_D,0.3,H_ANY,TIE,,,N,0.11007456218191303,0.15386058928612223,
U56,2014,NG_D,1.0,H_RUNNERUP,N,DEG@1.00,1.0,N,0.15386058928612223,0.15386058928612223,
U56,2014,NG_D,1.0,H_NARROWEST,TIE,,1.843116869828377,N,0.15386058928612223,0.15386058928612223,
U56,2014,NG_D,1.0,H_ANY,W,N,,N,0.15386058928612223,0.15386058928612223,
U56,2014,ALL4,0.0,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.0,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.0,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.01,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.01,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.01,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.03,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.03,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.03,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.1,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.1,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.1,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.3,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.3,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,0.3,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,1.0,H_RUNNERUP,TIE,,1.5490804274115184,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,1.0,H_NARROWEST,W,N,1106.8420301499539,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4,1.0,H_ANY,W,N,,N,,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.0,H_RUNNERUP,TIE,,1.5490804274115184,N,0.0,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.0,H_NARROWEST,W,N,inf,N,0.0,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.0,H_ANY,W,N,,N,0.0,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.01,H_RUNNERUP,TIE,,1.5490804274115184,N,0.004838447979544691,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.01,H_NARROWEST,W,N,1106.8420301499539,N,0.004838447979544691,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.01,H_ANY,W,N,,N,0.004838447979544691,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.03,H_RUNNERUP,TIE,,1.5490804274115184,N,0.014210178489999281,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.03,H_NARROWEST,W,N,1106.8420301499539,N,0.014210178489999281,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.03,H_ANY,W,N,,N,0.014210178489999281,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.1,H_RUNNERUP,TIE,,1.5490804274115184,N,0.04454135323788688,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.1,H_NARROWEST,W,N,1106.8420301499539,N,0.04454135323788688,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.1,H_ANY,W,N,,N,0.04454135323788688,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.3,H_RUNNERUP,TIE,,1.5490804274115184,N,0.11007456218191303,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.3,H_NARROWEST,W,N,1106.8420301499539,N,0.11007456218191303,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,0.3,H_ANY,W,N,,N,0.11007456218191303,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,1.0,H_RUNNERUP,N,DEG@1.00,1.0,N,0.15386058928612223,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,1.0,H_NARROWEST,W,N,1106.8420301499539,N,0.15386058928612223,0.15386058928612223,0.0001687963801089154
U56,2014,ALL4_D,1.0,H_ANY,W,N,,N,0.15386058928612223,0.15386058928612223,0.0001687963801089154
U56,2015,NG,0.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,0.0,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,0.0,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
U56,2015,NG,0.01,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,0.01,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,0.01,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
