band,cash,n_IS,pass_IS,n_OOS,pass_OOS,pass_4b
0.0,0,96,0.22916666666666666,80,0.5,0.3522727272727273
0.0,150,96,0.28125,80,0.625,0.4375
0.0,300,96,0.3229166666666667,80,0.75,0.5170454545454546
0.0,500,96,0.3229166666666667,80,0.8,0.5397727272727273
0.01,0,96,0.21875,80,0.55,0.3693181818181818
0.01,150,96,0.3020833333333333,80,0.65,0.4602272727272727
0.01,300,96,0.34375,80,0.8,0.5511363636363636
0.01,500,96,0.4166666666666667,80,0.875,0.625
0.02,0,96,0.20833333333333334,80,0.55,0.36363636363636365
0.02,150,96,0.2604166666666667,80,0.7125,0.4659090909090909
0.02,300,96,0.3125,80,0.725,0.5
0.02,500,96,0.3958333333333333,80,0.8875,0.6193181818181818
0.03,0,96,0.28125,80,0.5375,0.3977272727272727
0.03,150,96,0.2916666666666667,80,0.675,0.4659090909090909
0.03,300,96,0.3020833333333333,80,0.7375,0.5
0.03,500,96,0.3541666666666667,80,0.8125,0.5625
0.05,0,96,0.19791666666666666,80,0.475,0.32386363636363635
0.05,150,96,0.23958333333333334,80,0.5875,0.3977272727272727
0.05,300,96,0.2916666666666667,80,0.6875,0.4715909090909091
0.05,500,96,0.3333333333333333,80,0.7625,0.5284090909090909
0.08,0,96,0.25,80,0.425,0.32954545454545453
0.08,150,96,0.25,80,0.5,0.36363636363636365
0.08,300,96,0.25,80,0.5125,0.3693181818181818
0.08,500,96,0.2708333333333333,80,0.55,0.3977272727272727
0.12,0,96,0.0,80,0.4375,0.19886363636363635
0.12,150,96,0.0,80,0.475,0.2159090909090909
0.12,300,96,0.0,80,0.4875,0.2215909090909091
0.12,500,96,0.010416666666666666,80,0.55,0.2556818181818182
0.2,0,96,0.052083333333333336,80,0.3,0.16477272727272727
0.2,150,96,0.052083333333333336,80,0.475,0.24431818181818182
0.2,300,96,0.052083333333333336,80,0.5875,0.29545454545454547
0.2,500,96,0.0625,80,0.7125,0.35795454545454547
