statistic,char,meanA,tA,meanB,tB,sign_stable,t_bar_both
marginal,breadth,0.013239330728670975,0.9462540808489792,-0.14242377505113638,-7.778934913769273,False,False
marginal,disp,0.25138876025233353,11.49413002515764,0.11310549226637033,4.430553760567468,True,True
marginal,corr,-0.2680086032128266,-10.837036726033825,-0.12111800603048174,-7.789044890316584,True,True
marginal,evol,0.2731746472785651,20.622883944681995,0.14902699309478976,5.615291197554523,True,True
partial,breadth,0.06277343826054303,3.9835130179482396,-0.13312263815882336,-6.543207676301303,False,True
partial,disp,0.004613599330845081,0.1588290149592228,-0.014799584850018335,-0.5604796479981594,False,False
partial,corr,-0.2180314565236394,-10.679136885206646,-0.09781248464000811,-5.0411576534905205,True,True
partial,evol,0.15508973486149247,6.62795907333055,0.1064025866675953,4.122710562031453,True,True
joint_t,breadth,0.457868837506278,4.236654931992005,-0.9806393817043962,-6.414742983927798,False,True
joint_t,disp,-0.06098507750903534,-0.30790846784707826,-0.35987388082661703,-1.9916811434327844,True,False
joint_t,corr,-1.5978720348843052,-9.649552939012297,-0.8313853378650234,-5.853758267587512,True,True
joint_t,evol,1.2736227566834488,6.431432175053657,0.9552940012432531,4.837246442111268,True,True
