grid,L,f,stride,span_days,rho,band_rec,band_cell,null_median,ratio,pct_median,pct_max,n_anchors,anchor_min,anchor_max
SLIDE,400,0.0,400,2400,-0.0678853179089976,0.20155484790165137,0.2020215494470724,0.19917626394890436,1.0142852639253137,0.47950000000000004,0.84,4,0.17580054121216127,0.3736059452068508
SLIDE,400,0.25,300,1900,-0.01852234554783822,0.09650975408573953,0.09673427557030223,0.19680084559349012,0.4915338411203557,0.056,0.264,4,0.09673427557030223,0.37791299800735756
SLIDE,400,0.5,200,1400,-0.044959828489757075,0.06405857043791152,0.0978935436471855,0.18505194780481748,0.5290057457295082,0.094,0.216,4,0.08632731006064374,0.33224266068174424
SLIDE,400,0.75,100,900,0.2935587337973643,0.06184363938816309,0.0786298702117938,0.15698780805472207,0.5008660939095688,0.07150000000000001,0.215,4,0.0786298702117938,0.29195703719571703
SLIDE,400,0.9,40,600,0.7903350868066132,0.0528721936972099,0.09134116562004474,0.10905439966928933,0.8375743289316113,0.3635,0.548,4,0.028944965880345383,0.20341664147661376
SLIDE,550,0.0,550,3300,-0.07252644909675474,0.19491756050702141,0.23818210771295595,0.16706187522796517,1.4257119249256798,0.785,0.871,4,0.20691037291768546,0.2961470833130263
SLIDE,550,0.25,412,2610,0.019333470401920655,0.11819860424507317,0.1353287192247611,0.16477281411113143,0.8213048976239996,0.34450000000000003,0.842,4,0.1199004981377488,0.32843545184927214
SLIDE,550,0.5,275,1925,-0.00896694913205048,0.1028073344731677,0.12662384639699797,0.15740929745461363,0.8044241886887772,0.335,0.539,4,0.10509354200065815,0.2611223804417151
SLIDE,550,0.75,138,1240,0.14215413998294388,0.053845988004951606,0.08088495362279602,0.13461156296117624,0.6008767140317977,0.15899999999999997,0.619,4,0.08088495362279602,0.2631319861729101
SLIDE,550,0.9,55,825,0.7052445083445416,0.029469016540170534,0.06817201293604372,0.09343405173095731,0.7296270650056421,0.265,0.445,4,0.043873244493836866,0.1001015106111771
SLIDE,700,0.0,700,4200,-0.05868880583309534,0.13279089183123158,0.18368268635537371,0.149906342490578,1.225316309527855,0.641,0.818,4,0.17184197397767187,0.24666506146182468
SLIDE,700,0.25,525,3325,-0.028974283405868946,0.23877775052212777,0.2812630930180015,0.14549974740687352,1.9330830329999213,0.9695,0.978,4,0.17203899747890392,0.2812630930180015
SLIDE,700,0.5,350,2450,-0.015582037765251865,0.11655272186586679,0.13344003227051873,0.13895045825233004,0.9603425130717846,0.431,0.816,4,0.07764452997795529,0.22360457969849257
SLIDE,700,0.75,175,1575,0.1985164455989814,0.050160870084181464,0.05539107261765351,0.12209427110535108,0.45367462466652836,0.05450000000000001,0.364,4,0.05539107261765351,0.17333360630914899
SLIDE,700,0.9,70,1050,0.7443076583086974,0.026952584989590855,0.04280679104334835,0.08364507735211346,0.5117670088718825,0.087,0.688,4,0.029214126886494742,0.09089561014649018
Q16_TAIL,2407,-1.0,-1,2881,0.9046223168431541,0.01912662770950055,0.0334982983382182,0.036081204099812886,0.9284140918787108,0.4095,0.609,1,,
Q16_FIXLEN,1936,-1.0,-1,2881,0.9063335457105341,0.03476916372053557,0.04693495986153787,0.05880906135254313,0.7980906136245995,0.28049999999999997,0.469,1,,
