claim_set,n_claims,n_silent,share_silent,n_mapped,share_not_surviving_DW,mean_abs_delta,median_abs_delta,DD_share,n_located,located_published_survives
STRICT,47,38,0.8085106382978723,38,0.8421052631578947,0.23484266221108327,0.26552910052910056,0.8157894736842105,9,0.1111111111111111
WIDE,323,302,0.934984520123839,302,0.8708609271523179,0.2318676197484145,0.23936507936507945,0.7284768211920529,35,0.34285714285714286
FILES,430,404,0.9395348837209302,404,0.8514851485148515,0.22836201477290594,0.23936507936507945,0.7128712871287128,43,0.3953488372093023
