panel,family,books,0.20,0.30,0.40,0.50,0.60,0.70,0.75,0.80,0.90,1.00,argmax_g,peak,at_075
U56,whole,5,0.0,0.0,0.0,0.2,0.6,0.4,0.8,0.8,0.4,0.2,0.75,0.8,0.8
U56,sub,12,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,0.5833333333333334,0.25,0.7,1.0,1.0
U56,both,17,0.0,0.0,0.0,0.058823529411764705,0.29411764705882354,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.5294117647058824,0.23529411764705882,0.75,0.9411764705882353,0.9411764705882353
B136,whole,5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.7,0.2,0.2
B136,sub,12,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.25,0.25,0.08333333333333333,0.0,0.7,0.3333333333333333,0.25
B136,both,17,0.0,0.0,0.0,0.0,0.058823529411764705,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.7,0.29411764705882354,0.23529411764705882
SMALL,whole,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
SMALL,sub,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
SMALL,both,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ALL,whole,5,0.0,0.0,0.0,0.06666666666666667,0.2,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.75,0.3333333333333333,0.3333333333333333
ALL,sub,12,0.0,0.0,0.0,0.0,0.08333333333333333,0.4444444444444444,0.4166666666666667,0.4166666666666667,0.2222222222222222,0.08333333333333333,0.7,0.4444444444444444,0.4166666666666667
ALL,both,17,0.0,0.0,0.0,0.0196078431372549,0.11764705882352941,0.37254901960784315,0.39215686274509803,0.39215686274509803,0.19607843137254902,0.0784313725490196,0.75,0.39215686274509803,0.39215686274509803
