ticker,n_restated,max_rel,share_restated
ITB,4704,0.008383571966842624,0.999787460148778
IWM,4704,0.0026075701414323017,0.999787460148778
ETH-USD,1,0.00046375302058163125,0.00021253985122210415
NVDA,77,0.0003593244699963672,0.01636556854410202
BTC-USD,1,0.00021527913105232865,0.00021253985122210415
AVGO,132,6.197706848465385e-05,0.02805526036131775
AAPL,377,2.007427481677546e-05,0.08012752391073326
SMH,93,1.4963563722301238e-05,0.019766206163655684
XLB,151,1.4679330035473354e-05,0.03209351753453773
XLY,289,1.3067112690749392e-05,0.0614240170031881
XLF,149,1.288626581786126e-05,0.03166843783209352
CRM,366,1.2716336677700243e-05,0.07778958554729011
GOOGL,207,1.2527560633364269e-05,0.04399574920297556
XLK,239,1.2269487012719402e-05,0.05079702444208289
XLU,96,1.1996305137989532e-05,0.020403825717321997
V,681,9.622046031845792e-06,0.14473963868225292
DBC,31,9.609009407197815e-06,0.006588735387885228
MSFT,646,8.05470757382276e-06,0.13730074388947927
XLE,161,7.959185297774369e-06,0.034218916046758766
XLI,375,7.947672524082795e-06,0.07970244420828905
ORCL,306,7.941108737583435e-06,0.06503719447396387
XLP,268,7.352778982930031e-06,0.05696068012752391
KRE,216,7.244014633021355e-06,0.04590860786397449
EEM,184,6.613100552295956e-06,0.03910733262486716
XBI,303,6.394434284383956e-06,0.06439957492029756
UNH,984,6.2308013433462485e-06,0.20913921360255047
GDX,91,6.137567436507905e-06,0.01934112646121148
RSP,522,6.103552878116135e-06,0.11094580233793837
UUP,68,5.7083164462172095e-06,0.014452709883103081
XLV,458,5.706785367789017e-06,0.0973432518597237
JPM,462,5.623474632492827e-06,0.09819341126461212
META,578,5.320592288510163e-06,0.1228480340063762
LLY,877,5.042686339855222e-06,0.18639744952178533
XLRE,88,4.874220734121965e-06,0.018703506907545166
HYG,660,4.398620592571915e-06,0.14027630180658873
QQQ,914,4.173378850975608e-06,0.1942614240170032
EFA,225,4.16710073965067e-06,0.04782146652497343
XOM,394,3.876795440879526e-06,0.08374070138150903
VTI,740,3.6717593969416794e-06,0.15727948990435706
COST,1292,3.51527209962868e-06,0.27460148777895854
XLC,129,2.501425812796285e-06,0.027417640807651435
DIA,1976,2.3655341670945734e-06,0.4199787460148778
LQD,889,2.2715863169480703e-06,0.18894792773645058
TLT,1104,1.9484859290735468e-06,0.23464399574920297
SPY,1337,1.8365169355018863e-06,0.28416578108395324
IEF,1016,1.8058658133948227e-06,0.2159404888416578
TIP,875,1.779612756323314e-06,0.18597236981934112
SHY,1069,1.630874409677603e-06,0.22720510095642932
AMD,0,0.0,0.0
AMZN,0,0.0,0.0
NFLX,0,0.0,0.0
GLD,0,0.0,0.0
BRK-B,0,0.0,0.0
USO,0,0.0,0.0
PLTR,0,0.0,0.0
UNG,0,0.0,0.0
TSLA,0,0.0,0.0
SLV,0,0.0,0.0
