L,T_ref,n_blocks,distinct_starts,frac_path_preserved,identity
1,2000,2000,1999,0.0005,False
2,2000,1000,1998,0.001,False
5,2000,400,1995,0.0025,False
10,2000,200,1990,0.005,False
21,2000,96,1979,0.0105,False
42,2000,48,1958,0.021,False
63,2000,32,1937,0.0315,False
126,2000,16,1874,0.063,False
252,2000,8,1748,0.126,False
504,2000,4,1496,0.252,False
1008,2000,2,992,0.504,False
2000,2000,1,1,1.0,True
