panel,tape,target,T_trade,h,block,point,boot_mean,se,t,ci_lo,ci_hi,excl0,pos_share
U56,FULL,0.08,W,0.01,21,0.0021265627628253014,0.0018132292943285173,0.004110468189777909,0.5173529302851024,-0.005667866279091599,0.009839908235233931,False,0.646
U56,FULL,0.08,W,0.02,21,0.009666355187018416,0.009023917717194905,0.010093431069046801,0.9576877397678888,-0.009773648147519891,0.02927745930331102,False,0.803
U56,FULL,0.08,W,0.03,21,0.00726667058949837,0.0062837258250672025,0.015522236929536647,0.4681458363562865,-0.02256591664316695,0.037133101028882586,False,0.647
U56,FULL,0.08,W,0.05,21,0.004234612584399944,0.003078825920574478,0.020709300526740675,0.20447878376829015,-0.038179048420540665,0.04472230222842539,False,0.559
U56,FULL,0.08,W,0.08,21,0.042174356367829846,0.041077411006242584,0.02748787653887455,1.5342893550975114,-0.012437238511602411,0.09479828927321808,False,0.931
U56,FULL,0.08,W,0.12,21,0.10669803654829568,0.10129965146593393,0.06112393119248137,1.7456016729732236,-0.010800684646381684,0.22352650634601684,False,0.956
U56,FULL,0.08,W,0.16,21,0.06784688726992916,0.053378464482686384,0.09305504388830575,0.7291048871178437,-0.11726742313955858,0.24430355504107118,False,0.705
U56,FULL,0.08,W,0.2,21,0.10937467895965569,0.09596956747877002,0.10207343542812214,1.0715293210315717,-0.09516506379090102,0.29339997117117667,False,0.82
U56,FULL,0.08,W,0.25,21,0.3240656883486892,0.29049788342619115,0.13729137042161274,2.3604228536251393,0.030514523029792566,0.5512994986895773,True,0.989
U56,FULL,0.08,W,0.01,63,0.0021265627628253014,0.002047567695908402,0.0037950912976710363,0.5603456138539608,-0.005335611124008488,0.009275719658601243,False,0.705
U56,FULL,0.08,W,0.02,63,0.009666355187018416,0.009540773143423135,0.010303759751544796,0.9381386426026852,-0.009290312971559815,0.030642596760850148,False,0.815
U56,FULL,0.08,W,0.03,63,0.00726667058949837,0.006851486687419276,0.015447875581349097,0.4703993472262129,-0.023290149074566578,0.03553618908386152,False,0.661
U56,FULL,0.08,W,0.05,63,0.004234612584399944,0.003912254352790376,0.02267439317355481,0.1867574824158373,-0.04190435234935179,0.048634355706932496,False,0.564
U56,FULL,0.08,W,0.08,63,0.042174356367829846,0.042488193674488556,0.03011795999552378,1.4003058764304728,-0.015944693382893855,0.09902463686523531,False,0.913
U56,FULL,0.08,W,0.12,63,0.10669803654829568,0.10396393127909752,0.06526514367359917,1.6348395260096056,-0.01904925253993394,0.2315963844016901,False,0.948
U56,FULL,0.08,W,0.16,63,0.06784688726992916,0.05635801836793941,0.09623621587319887,0.7050036896642363,-0.12213069303732378,0.2355761851105133,False,0.687
