conv,panel,distinct_books,IS_argmax,OOS_argmax,IS_argmax_old,OOS_argmax_old,OOS_at20,OOS_at60,OOS_best,spread,monotone_rho
FIXED,U56,4,20,40,5,20,1.167991233806965,1.2549831331338466,1.2662442817436643,0.09825304793669942,0.7999999999999999
FIXED,ETF36,4,20,20,20,20,0.9418936547049168,0.920287224739271,0.9418936547049168,0.025376889778030876,-0.19999999999999998
FIXED,ETF24,4,20,20,10,20,0.888571103209948,0.8840008474882023,0.888571103209948,0.005751997207372628,-0.19999999999999998
FIXED,STK20,4,20,20,10,20,1.4458357630694096,1.4444555552138598,1.4458357630694096,0.0013802078555498198,-1.0
FIXED,B136,4,30,60,10,20,0.8919165372280256,1.0264095330336584,1.0264095330336584,0.1344929958056329,1.0
FIXED,BSTK100,4,30,60,10,20,0.9383178038128173,1.1285294917837687,1.1285294917837687,0.19021168797095145,1.0
FIXED,SMALL484,4,20,60,20,20,0.5103667394938518,0.5523700118636177,0.5523700118636177,0.08974703653140337,0.19999999999999998
NORM,U56,4,20,30,20,20,1.1306969416161394,1.1132841948586054,1.1530139566283335,0.03972976176972809,-0.39999999999999997
NORM,ETF36,4,20,20,20,20,0.7430861921157712,0.6657212560768846,0.7430861921157712,0.08041413752712223,-0.316227766016838
NORM,ETF24,4,20,20,10,20,0.727572078382332,0.7267326083633888,0.727572078382332,0.0008394700189431337,-0.7745966692414834
NORM,STK20,1,20,20,10,20,1.4356760444375725,1.4356760444375725,1.4356760444375725,0.0,
NORM,B136,4,30,60,10,20,0.8836022780725372,1.0052150948644978,1.0052150948644978,0.12161281679196057,1.0
NORM,BSTK100,4,30,60,10,20,0.8910729150865583,1.0209480694852155,1.0209480694852155,0.12987515439865727,1.0
NORM,SMALL484,4,20,60,20,20,0.48549597048829646,0.5638725700458519,0.5638725700458519,0.12395615703141721,0.19999999999999998
