N,H,clears_all15,n_is_pass,worst_is_sharpe
10,0,False,1,0.8186008145460062
10,5,False,3,0.8495323493037059
10,21,False,5,0.9404522831045709
10,42,False,3,1.0528665309277423
10,63,False,2,1.1727639528229596
10,126,False,3,1.0890675145611894
10,189,False,0,0.9971836266437292
10,252,False,3,0.7872912701062689
15,0,False,1,0.8238097855878452
15,5,False,0,0.8454826755481106
15,21,False,12,0.8422078714017539
15,42,False,14,1.0431647546353229
15,63,True,15,1.0572100770735229
15,126,False,13,1.0780009567379323
15,189,False,4,1.088315081603175
15,252,False,0,0.9575367139713914
20,0,False,0,0.927398113993499
20,5,False,0,0.9353879659578539
20,21,False,14,1.0271302009978185
20,42,True,15,1.0387276715938458
20,63,False,13,1.005382417017867
20,126,True,15,1.045362066788833
20,189,True,15,1.1810068023437599
20,252,False,0,1.113371649821691
