basis,claimset,n,n_survive,share,measured,transferred
SEED,CORE,26,9.0,0.34615384615384615,26,0
SEED,WIDE,33,16.5,0.5,33,0
TAPE,CORE,26,0.0,0.0,26,0
TAPE,WIDE,33,0.0,0.0,33,0
JOINT,CORE,26,0.0,0.0,26,0
JOINT,WIDE,33,0.0,0.0,33,0
