panel,anchor,N,gross,cadence,H,model,cost_bps,incumbent,turn_yr,eff_bps,drag_pp_yr,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,is__CAGR,is__Sharpe,is__MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a,keep4b,fail4a,fail4b,A_H1,A_H2,A_DD,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,A,20,0.75,W,5,M_PROP,0.0,False,9.84816050088518,0.0,0.0,0.14247411729997372,1.1699190916981868,-0.18401160427321817,0.13061587211442327,1.1764230260499704,-0.11541979505469047,0.1544513193774546,1.172213538699532,-0.1840116042732184,0.12004497434888983,1.0722021673857811,-0.11541979505469047,0.16125927264508588,1.2447802386701816,-0.1840116042732185,False,True,"A_H1,A_H2,A_DD",-,False,False,False,True,True,True,True,True
U56,A,20,0.75,W,5,M_PROP,10.0,False,9.84816050088518,10.0,0.9848160500885175,0.13128318484765367,1.0878800989072726,-0.18482481532133566,0.11993818334636064,1.0896892286585163,-0.1219557381625963,0.14273793265027956,1.0935840921835274,-0.18482481532133566,0.10912485369268077,0.9843432802968605,-0.1219557381625963,0.14984074741459352,1.1666773664286534,-0.18482481532133577,False,True,"A_H1,A_H2,A_DD",-,False,False,False,True,True,True,True,True
U56,A,20,0.75,W,5,M_PROP,25.0,False,9.84816050088518,25.0,2.4620401252212964,0.1146959259204654,0.9645091522438579,-0.18604394055812967,0.10410506717810475,0.9592611277768734,-0.13167335757434795,0.12538354416319475,0.975336986315946,-0.18604394055812945,0.09293836266257083,0.852256334852323,-0.13167335757434795,0.13291669398927386,1.0492011381925543,-0.18604394055812945,False,False,"A_H1,A_H2,A_DD",L_H1,False,False,False,False,True,True,True,True
U56,A,20,0.75,W,5,M_PROP,50.0,False,9.84816050088518,50.0,4.92408025044259,0.08757340517822132,0.7584179297127855,-0.18807397248090463,0.078198417468609,0.7414145529371811,-0.1476418378455856,0.09702563841303391,0.7777791885930068,-0.1880739724809043,0.06646949413033298,0.6317334121941196,-0.1476418378455856,0.1052448999999207,0.8528735329612611,-0.18807397248090463,False,False,"A_H1,A_H2,A_DD","L_H1,L_H2,L_OOS,L_CAGR",False,False,False,False,False,False,True,False
U56,A,20,0.75,W,5,M_PROP,75.0,False,9.84816050088518,75.0,7.386120375663885,0.06109153450537397,0.5523208494292073,-0.20542314362747116,0.05288254763719924,0.5236451127037035,-0.16964402390311728,0.06936078987938665,0.5801565413907737,-0.2054231436274715,0.040623788710347775,0.41141618189615187,-0.16964402390311728,0.07822849787866426,0.6564067616284907,-0.20542314362747027,False,False,"A_H1,A_H2,A_DD","L_H1,L_H2,L_OOS,L_DD,L_CAGR",False,False,False,False,False,False,False,False
U56,A,20,0.75,W,5,M_PROP,100.0,False,9.84816050088518,100.0,9.84816050088518,0.035235627195200125,0.3468854424673224,-0.23940866805296168,0.028144369870653607,0.306704110636553,-0.20281622807184863,0.04237257237783831,0.3830791953981255,-0.23940866805296124,0.0153869901125685,0.1920752630458629,-0.20281622807184863,0.05185243724068833,0.4604046535045525,-0.23940866805296201,False,False,"A_H1,A_H2,A_DD","L_H1,L_H2,L_OOS,L_DD,L_CAGR",False,False,False,False,False,False,False,False
U56,A,20,0.75,W,5,M_PROP,150.0,False,9.84816050088518,150.0,14.77224075132777,-0.014655417890474198,-0.0594320092971996,-0.4147343960912051,-0.01964985891686255,-0.12181432091744891,-0.2798028765258531,-0.009637795323621412,-0.0070846495984097915,-0.358825015207196,-0.033315334745422254,-0.24073331821782473,-0.2798028765258531,0.0009628068071865226,0.07212856029874846,-0.358825015207195,False,False,"A_H1,A_H2,A_DD","L_H1,L_H2,L_OOS,L_DD,L_CAGR",False,False,False,False,False,False,False,False
U56,A,20,0.75,W,5,M_PROP,200.0,False,9.84816050088518,200.0,19.69632100177036,-0.062210816263447044,-0.4557293222476164,-0.7172782840399073,-0.06528344564198485,-0.5387890987027584,-0.4973116546807349,-0.05912947483614406,-0.3882866301358886,-0.5203291312699722,-0.0797453173029894,-0.6612359289403533,-0.4973116546807349,-0.047537822782561134,-0.30756039864405854,-0.5203291312699715,False,False,"A_H1,A_H2,A_DD","L_H1,L_H2,L_OOS,L_DD,L_CAGR",False,False,False,False,False,False,False,False
U56,A,20,0.75,W,5,M_VOLSPREAD,0.0,False,9.84816050088518,0.0,0.0,0.14247411729997372,1.1699190916981868,-0.18401160427321817,0.13061587211442327,1.1764230260499704,-0.11541979505469047,0.1544513193774546,1.172213538699532,-0.1840116042732184,0.12004497434888983,1.0722021673857811,-0.11541979505469047,0.16125927264508588,1.2447802386701816,-0.1840116042732185,False,True,"A_H1,A_H2,A_DD",-,False,False,False,True,True,True,True,True
U56,A,20,0.75,W,5,M_VOLSPREAD,10.0,False,9.84816050088518,11.982834633329718,1.1800887872459687,0.1290776448936768,1.0716400852437455,-0.18470167368305146,0.11777679962972987,1.0720406623173642,-0.12180804184522198,0.14048758439953257,1.0784212066389347,-0.18470167368305168,0.10705628412221047,0.9676270380857348,-0.12180804184522198,0.14751907228586725,1.1507258687646043,-0.18470167368305113,False,True,"A_H1,A_H2,A_DD",-,False,False,False,True,True,True,True,True
