panel,theta,construction,cadence,gross,dSharpe,dCAGR,dMaxDD,doSharpe,doCAGR,doMaxDD,disSharpe,dturn_yr,dSharpe_0,dSharpe_25,mom_wins,mom_wins_CAGR,mom_wins_0bps,mom_wins_25bps,mom_wins_OOS
B136,-0.4,DEGROSS,D,0.5,-0.005855182736419051,-0.0003574640087651293,0.0014596385706167059,-0.005224663100434901,-0.00012200645007665045,0.00145963857061715,-0.0063687910628464905,0.030397298399926775,-0.005517832046380233,-0.006361924511930628,False,False,False,False,False
B136,-0.4,DEGROSS,D,0.75,-0.005854929894278271,-0.0005676844263811098,0.0019088315213606766,-0.0052250797878583555,-0.00021236452285355867,0.0019088315213608986,-0.006367089685009875,0.045382659671663994,-0.005517832046380455,-0.00636124971211971,False,False,False,False,False
B136,-0.4,DEGROSS,D,1.0,-0.005852025320863152,-0.0007995697214273623,0.0022047451590816447,-0.005223746732611945,-0.00032479467950596863,0.0022047451590817557,-0.006361948300716902,0.05996510012070244,-0.005517832046380233,-0.006353972404682828,False,False,False,False,False
B136,-0.4,DEGROSS,M,0.5,-0.0036977128301061146,-0.0004274438081486309,0.001200060733501651,-0.00052947536946224,-0.00018478537917521187,0.0012000607335019842,-0.007758190244952168,0.0020753089287060544,-0.003662577485766816,-0.0037504075813281634,False,False,False,False,False
B136,-0.4,DEGROSS,M,0.75,-0.0035173044900433936,-0.0006592826597895396,0.0017448244515798628,-0.0002385522263430584,-0.00027416513093303507,0.0017448244515799738,-0.00776431951789025,0.003001785887471131,-0.0034830472335967144,-0.0035686830950931725,False,False,False,False,False
B136,-0.4,DEGROSS,M,1.0,-0.003326098329137883,-0.0009029638641282478,0.002254706533673323,6.504194835366128e-05,-0.0003600342297227499,0.002254706533673656,-0.007775097218548188,0.0037504646161472532,-0.0032932780249936844,-0.003375322765794442,False,False,False,False,True
B136,-0.4,DEGROSS,Q,0.5,-0.0032719885480947397,-0.0002262842286024913,3.3306690738754696e-16,1.3337294966886404e-05,0.0001563083712006197,-3.3306690738754696e-16,-0.00731867916663842,0.0027999241979082268,-0.003238988058316128,-0.003321631719046536,False,False,False,False,True
B136,-0.4,DEGROSS,Q,0.75,-0.0032349887543321465,-0.0003591928563375646,0.0,0.00014892657517728836,0.0002324280436307724,1.1102230246251565e-16,-0.007425045365787586,0.004099676690464793,-0.0032028687154783686,-0.003283306219354243,False,False,False,False,True
B136,-0.4,DEGROSS,Q,1.0,-0.0031998360051790353,-0.0005055339491379929,-3.3306690738754696e-16,0.0002676113318955675,0.00030722273769479,-6.661338147750939e-16,-0.007522778568801902,0.005356391066413169,-0.0031685531079657103,-0.003246895082704926,False,False,False,False,True
B136,-0.4,DEGROSS,W,0.5,-0.00678828947589305,-0.00050335282100189,-0.0009828819871455785,-0.00186221582693058,9.124445811692361e-05,-0.0009828819871455785,-0.012790300778791952,0.010016891820847862,-0.006666887520186515,-0.006970360599945602,False,False,False,False,False
