rung,units,in_3point
1,5,False
2,2,False
4,1,False
5,39,False
10,24,False
12,1,False
21,90,True
42,8,False
52,10,False
63,63,True
76,9,False
90,8,False
126,116,True
210,6,False
252,13,False
356,2,False
378,2,False
504,2,False
