scope,centre,n,mean_d,win
dial:GROSS,0.2,0,,
dial:GROSS,0.225,0,,
dial:GROSS,0.25,1,,
dial:GROSS,0.275,3,,
dial:GROSS,0.3,3,,
dial:GROSS,0.325,4,,
dial:GROSS,0.35,4,,
dial:GROSS,0.375,5,0.00023550149831471113,1.0
dial:GROSS,0.4,4,,
dial:GROSS,0.425,2,,
dial:GROSS,0.45,2,,
dial:GROSS,0.475,5,0.00013033549348703095,1.0
dial:GROSS,0.5,6,0.00013295401857616338,1.0
dial:GROSS,0.525,5,6.0224853500676274e-05,1.0
dial:GROSS,0.55,5,6.0224853500676274e-05,1.0
dial:GROSS,0.575,5,6.0224853500676274e-05,1.0
dial:GROSS,0.6,5,6.0224853500676274e-05,1.0
dial:GROSS,0.625,1,,
dial:GROSS,0.65,0,,
dial:GROSS,0.675,0,,
dial:GROSS,0.7,0,,
dial:GROSS,0.725,0,,
dial:GROSS,0.75,5,0.00015394164856676328,1.0
dial:GROSS,0.775,10,6.0908268496421704e-05,0.5
dial:GROSS,0.8,11,3.6176676135240204e-05,0.45454545454545453
dial:GROSS,0.825,11,3.6176676135240204e-05,0.45454545454545453
dial:GROSS,0.85,11,3.6176676135240204e-05,0.45454545454545453
dial:GROSS,0.875,37,-6.662870566199035e-05,0.13513513513513514
dial:GROSS,0.9,42,-9.75060558697589e-05,0.0
dial:GROSS,0.925,60,-6.557714647767125e-05,0.0
dial:GROSS,0.95,60,-6.557714647767125e-05,0.0
dial:GROSS,0.975,59,-6.310999222345254e-05,0.0
dial:GROSS,1.0,59,-6.310999222345254e-05,0.0
dial:N,0.2,23,0.0034713341394663937,0.5217391304347826
dial:N,0.225,25,0.002995535215767584,0.48
dial:N,0.25,29,0.004088215207597976,0.4827586206896552
dial:N,0.275,33,0.002851755695205133,0.48484848484848486
dial:N,0.3,38,-0.0026100645273060435,0.39473684210526316
dial:N,0.325,33,-0.00807630061479203,0.3333333333333333
dial:N,0.35,33,-0.0048424789828752195,0.3939393939393939
dial:N,0.375,36,-0.002058642988733408,0.4722222222222222
dial:N,0.4,37,0.00013785759925705597,0.5405405405405406
dial:N,0.425,36,0.002677821720457897,0.5833333333333334
dial:N,0.45,27,0.011267938368732645,0.7407407407407407
dial:N,0.475,21,0.019060951155548015,0.9047619047619048
dial:N,0.5,15,0.022498058389085147,0.9333333333333333
dial:N,0.525,11,0.02195428364231541,0.9090909090909091
dial:N,0.55,7,0.028013857770615377,0.8571428571428571
dial:N,0.575,6,0.027793610358138054,0.8333333333333334
dial:N,0.6,4,,
dial:N,0.625,7,0.04577373571857816,0.8571428571428571
dial:N,0.65,7,0.04577373571857816,0.8571428571428571
dial:N,0.675,6,0.05594192529565212,1.0
dial:N,0.7,6,0.05594192529565212,1.0
dial:N,0.725,4,,
dial:N,0.75,5,0.0457192560771215,0.8
dial:N,0.775,1,,
dial:N,0.8,1,,
dial:N,0.825,1,,
dial:N,0.85,1,,
dial:N,0.875,1,,
dial:N,0.9,0,,
dial:N,0.925,1,,
dial:N,0.95,1,,
dial:N,0.975,1,,
dial:N,1.0,1,,
dial:BAND,0.2,0,,
dial:BAND,0.225,0,,
dial:BAND,0.25,0,,
dial:BAND,0.275,0,,
dial:BAND,0.3,0,,
dial:BAND,0.325,0,,
dial:BAND,0.35,4,,
dial:BAND,0.375,5,-0.001778490336273722,0.4
dial:BAND,0.4,10,0.009908344762456545,0.7
dial:BAND,0.425,13,0.01407624418200287,0.7692307692307693
dial:BAND,0.45,15,0.015999785216824925,0.8
dial:BAND,0.475,15,0.015999785216824925,0.8
dial:BAND,0.5,11,0.022102183502355436,0.9090909090909091
dial:BAND,0.525,10,0.024888922993374245,1.0
dial:BAND,0.55,6,0.022800241434427826,0.8333333333333334
dial:BAND,0.575,3,,
dial:BAND,0.6,2,,
dial:BAND,0.625,10,-0.00113295599956409,0.2
dial:BAND,0.65,12,0.0007020312396501745,0.3333333333333333
dial:BAND,0.675,20,-0.0014412540665735536,0.35
dial:BAND,0.7,22,-0.0014434347431713146,0.3181818181818182
dial:BAND,0.725,22,-0.0015697828720100582,0.3181818181818182
dial:BAND,0.75,34,-0.0026287479208148604,0.29411764705882354
dial:BAND,0.775,30,-0.0029181900521168852,0.36666666666666664
dial:BAND,0.8,35,-0.004030736946287681,0.2857142857142857
dial:BAND,0.825,36,-0.004086004920096444,0.3055555555555556
dial:BAND,0.85,30,-0.003400257380426768,0.3333333333333333
dial:BAND,0.875,33,-0.0028947090178884317,0.3939393939393939
dial:BAND,0.9,20,-0.002284904231582693,0.45
dial:BAND,0.925,25,-0.00141188964946534,0.28
dial:BAND,0.95,24,-0.001583812811523871,0.25
dial:BAND,0.975,16,-0.0003948599845443255,0.25
dial:BAND,1.0,13,-3.147823332376877e-05,0.23076923076923078
dial:BAND+,0.2,2,,
dial:BAND+,0.225,4,,
dial:BAND+,0.25,8,0.010757886136152466,1.0
dial:BAND+,0.275,25,0.0037013621500461722,0.8
dial:BAND+,0.3,34,0.001330237430882301,0.7352941176470589
dial:BAND+,0.325,45,0.0023856303274364483,0.7111111111111111
dial:BAND+,0.35,47,0.0022886903508223854,0.6808510638297872
dial:BAND+,0.375,48,0.0010823039517351037,0.6458333333333334
dial:BAND+,0.4,48,-0.00038142726767515807,0.6041666666666666
dial:BAND+,0.425,33,-0.0019675181969902233,0.5454545454545454
dial:BAND+,0.45,32,0.0011430990522980635,0.53125
dial:BAND+,0.475,23,-0.0003536053678669872,0.5217391304347826
dial:BAND+,0.5,25,-0.0002628461450216935,0.6
dial:BAND+,0.525,23,0.001527737220368062,0.6086956521739131
dial:BAND+,0.55,21,0.002520959887769257,0.6666666666666666
dial:BAND+,0.575,23,0.002670931453461258,0.6956521739130435
dial:BAND+,0.6,14,0.0034941795260412176,0.8571428571428571
dial:BAND+,0.625,12,0.002625442867867823,0.8333333333333334
dial:BAND+,0.65,6,0.00330349070200601,0.8333333333333334
dial:BAND+,0.675,5,0.004509034905129146,1.0
dial:BAND+,0.7,5,0.004509034905129146,1.0
dial:BAND+,0.725,0,,
dial:BAND+,0.75,0,,
dial:BAND+,0.775,0,,
dial:BAND+,0.8,0,,
dial:BAND+,0.825,0,,
dial:BAND+,0.85,0,,
dial:BAND+,0.875,0,,
dial:BAND+,0.9,0,,
dial:BAND+,0.925,0,,
dial:BAND+,0.95,0,,
dial:BAND+,0.975,0,,
dial:BAND+,1.0,0,,
dial:CADENCE,0.2,0,,
dial:CADENCE,0.225,0,,
dial:CADENCE,0.25,0,,
dial:CADENCE,0.275,0,,
dial:CADENCE,0.3,0,,
dial:CADENCE,0.325,0,,
dial:CADENCE,0.35,0,,
dial:CADENCE,0.375,0,,
dial:CADENCE,0.4,0,,
dial:CADENCE,0.425,0,,
dial:CADENCE,0.45,0,,
dial:CADENCE,0.475,0,,
dial:CADENCE,0.5,0,,
dial:CADENCE,0.525,2,,
dial:CADENCE,0.55,3,,
dial:CADENCE,0.575,10,0.05587350148404015,1.0
dial:CADENCE,0.6,10,0.05587350148404015,1.0
dial:CADENCE,0.625,13,0.06183292441602054,1.0
dial:CADENCE,0.65,14,0.059894701994151874,1.0
dial:CADENCE,0.675,18,0.05119076907003008,1.0
dial:CADENCE,0.7,18,0.05119076907003008,1.0
dial:CADENCE,0.725,12,0.053710472674406484,1.0
dial:CADENCE,0.75,16,0.049681296835541865,1.0
dial:CADENCE,0.775,18,0.03960928798641064,1.0
dial:CADENCE,0.8,31,0.0311586167480798,1.0
dial:CADENCE,0.825,33,0.030563877628088085,1.0
dial:CADENCE,0.85,28,0.027944797117140745,1.0
dial:CADENCE,0.875,37,0.021261801579355477,0.9459459459459459
dial:CADENCE,0.9,37,0.018094879659384656,0.9459459459459459
dial:CADENCE,0.925,49,0.010333696131482547,0.6122448979591837
dial:CADENCE,0.95,41,0.007697909686522451,0.5365853658536586
dial:CADENCE,0.975,32,0.00451855207719832,0.40625
dial:CADENCE,1.0,32,0.00451855207719832,0.40625
dial:SLEEVE,0.2,0,,
dial:SLEEVE,0.225,0,,
dial:SLEEVE,0.25,0,,
dial:SLEEVE,0.275,0,,
dial:SLEEVE,0.3,0,,
dial:SLEEVE,0.325,0,,
dial:SLEEVE,0.35,0,,
dial:SLEEVE,0.375,0,,
dial:SLEEVE,0.4,0,,
dial:SLEEVE,0.425,2,,
dial:SLEEVE,0.45,2,,
dial:SLEEVE,0.475,4,,
dial:SLEEVE,0.5,4,,
dial:SLEEVE,0.525,5,-0.0009081346053554958,0.4
dial:SLEEVE,0.55,5,-0.0009081346053554958,0.4
dial:SLEEVE,0.575,4,,
dial:SLEEVE,0.6,3,,
dial:SLEEVE,0.625,1,,
dial:SLEEVE,0.65,3,,
dial:SLEEVE,0.675,4,,
dial:SLEEVE,0.7,4,,
dial:SLEEVE,0.725,5,0.005142875919523295,1.0
dial:SLEEVE,0.75,7,0.004429748045984782,1.0
dial:SLEEVE,0.775,7,0.004429748045984782,1.0
dial:SLEEVE,0.8,13,0.00498306915776568,1.0
dial:SLEEVE,0.825,17,0.004512022386239557,1.0
dial:SLEEVE,0.85,18,0.003906436051089708,1.0
dial:SLEEVE,0.875,20,0.003488310504879784,1.0
dial:SLEEVE,0.9,23,0.0033794059365277905,1.0
dial:SLEEVE,0.925,68,0.0011430343608843996,0.3382352941176471
dial:SLEEVE,0.95,68,0.0011430343608843996,0.3382352941176471
dial:SLEEVE,0.975,56,0.00037089074250671976,0.19642857142857142
dial:SLEEVE,1.0,53,0.0002997923611115447,0.1509433962264151
dial:SLEEVE+,0.2,2,,
dial:SLEEVE+,0.225,5,-0.006574394565896936,0.2
dial:SLEEVE+,0.25,7,-0.006833698942865947,0.14285714285714285
dial:SLEEVE+,0.275,11,-0.008369366008043099,0.09090909090909091
dial:SLEEVE+,0.3,17,-0.01213142676156169,0.11764705882352941
dial:SLEEVE+,0.325,23,-0.009485579307005951,0.2608695652173913
dial:SLEEVE+,0.35,27,-0.007434308301573372,0.37037037037037035
dial:SLEEVE+,0.375,28,-0.007220893972356152,0.39285714285714285
dial:SLEEVE+,0.4,27,-0.007133412399431277,0.4074074074074074
dial:SLEEVE+,0.425,29,-0.006207342287326978,0.41379310344827586
dial:SLEEVE+,0.45,28,-0.00011713667300846022,0.5357142857142857
dial:SLEEVE+,0.475,23,0.002625644147086919,0.5217391304347826
dial:SLEEVE+,0.5,19,0.0032606575013733033,0.5263157894736842
dial:SLEEVE+,0.525,19,0.00758522109452437,0.5263157894736842
dial:SLEEVE+,0.55,21,0.00935588157376285,0.5714285714285714
dial:SLEEVE+,0.575,21,0.01498246380719937,0.7142857142857143
dial:SLEEVE+,0.6,16,0.015754366832563496,0.6875
dial:SLEEVE+,0.625,19,0.011927722858905912,0.6842105263157895
dial:SLEEVE+,0.65,17,0.013276447122447837,0.6470588235294118
dial:SLEEVE+,0.675,19,0.008877795862231162,0.6842105263157895
dial:SLEEVE+,0.7,17,0.007207855630863035,0.7058823529411765
dial:SLEEVE+,0.725,10,0.0035184530592667898,0.7
dial:SLEEVE+,0.75,13,0.0029141641505841215,0.6923076923076923
dial:SLEEVE+,0.775,9,0.0012879662051943652,0.6666666666666666
dial:SLEEVE+,0.8,10,0.0014626992651990687,0.7
dial:SLEEVE+,0.825,10,0.0014626992651990687,0.7
dial:SLEEVE+,0.85,4,,
dial:SLEEVE+,0.875,4,,
dial:SLEEVE+,0.9,1,,
dial:SLEEVE+,0.925,6,0.0005058828008735668,0.16666666666666666
dial:SLEEVE+,0.95,6,0.0005058828008735668,0.16666666666666666
dial:SLEEVE+,0.975,5,0.0,0.0
dial:SLEEVE+,1.0,5,0.0,0.0
pooled,0.2,27,0.0026544688887608966,0.5185185185185185
pooled,0.225,34,0.0018561306757477081,0.5
pooled,0.25,45,0.003489875863565739,0.5333333333333333
pooled,0.275,72,0.001321537553287318,0.5555555555555556
pooled,0.3,92,-0.0028219227837167717,0.4891304347826087
pooled,0.325,105,-0.0035871616377810838,0.5047619047619047
pooled,0.35,115,-0.0022209218844750182,0.5304347826086957
pooled,0.375,122,-0.0019021355190728274,0.5409836065573771
pooled,0.4,126,-0.0008397455055187361,0.5634920634920635
pooled,0.425,115,0.00021835528739587396,0.5478260869565217
pooled,0.45,106,0.005360279109609623,0.6226415094339622
pooled,0.475,91,0.0075555140699810576,0.6703296703296703
pooled,0.5,80,0.007889255197926187,0.7
pooled,0.525,75,0.011200912542664547,0.7066666666666667
pooled,0.55,68,0.011559478034436623,0.6911764705882353
pooled,0.575,72,0.016035493581852214,0.7638888888888888
pooled,0.6,54,0.018192626092820408,0.8148148148148148
pooled,0.625,63,0.021782310656089574,0.7301587301587301
pooled,0.65,59,0.02415661148044967,0.7288135593220338
pooled,0.675,72,0.020027963033535094,0.7361111111111112
pooled,0.7,72,0.019346364996368173,0.7222222222222222
pooled,0.725,53,0.017045395102936574,0.660377358490566
pooled,0.75,80,0.012547270987111161,0.6375
pooled,0.775,75,0.008862802614325357,0.6266666666666667
pooled,0.8,101,0.00891807782415591,0.6534653465346535
pooled,0.825,108,0.008790007410073106,0.6759259259259259
pooled,0.85,92,0.008184510754601276,0.6956521739130435
pooled,0.875,132,0.0057596727881288915,0.5757575757575758
pooled,0.9,123,0.00569494993304414,0.5528455284552846
pooled,0.925,209,0.0026214395873814917,0.291866028708134
pooled,0.95,200,0.0017721489711378397,0.26
pooled,0.975,169,0.0009190668565492878,0.16568047337278108
pooled,1.0,163,0.0009592021781280088,0.147239263803681
drop:GROSS,0.2,27,0.0026544688887608966,0.5185185185185185
drop:GROSS,0.225,34,0.0018561306757477081,0.5
drop:GROSS,0.25,44,0.00356330539794317,0.5227272727272727
drop:GROSS,0.275,69,0.0013707096464412993,0.5362318840579711
drop:GROSS,0.3,89,-0.0029234678015076436,0.47191011235955055
drop:GROSS,0.325,101,-0.003735969105095383,0.48514851485148514
drop:GROSS,0.35,111,-0.0023070894086688926,0.5135135135135135
drop:GROSS,0.375,117,-0.001993487528362893,0.5213675213675214
drop:GROSS,0.4,122,-0.0008748070888194711,0.5491803278688525
drop:GROSS,0.425,113,0.00021685919284238216,0.5398230088495575
drop:GROSS,0.45,104,0.005457536695762344,0.6153846153846154
drop:GROSS,0.475,86,0.007987210498846988,0.6511627906976745
drop:GROSS,0.5,74,0.00851814448273835,0.6756756756756757
drop:GROSS,0.525,70,0.011996675949033395,0.6857142857142857
drop:GROSS,0.55,63,0.012472117175780749,0.6666666666666666
drop:GROSS,0.575,67,0.017227677815311284,0.746268656716418
drop:GROSS,0.6,49,0.020042871117240787,0.7959183673469388
drop:GROSS,0.625,62,0.022131282656284217,0.7258064516129032
drop:GROSS,0.65,59,0.02415661148044967,0.7288135593220338
drop:GROSS,0.675,72,0.020027963033535094,0.7361111111111112
drop:GROSS,0.7,72,0.019346364996368173,0.7222222222222222
drop:GROSS,0.725,53,0.017045395102936574,0.660377358490566
drop:GROSS,0.75,75,0.013373492943014119,0.6133333333333333
drop:GROSS,0.775,65,0.010216940205991348,0.6461538461538462
drop:GROSS,0.8,90,0.010003643520025104,0.6777777777777778
drop:GROSS,0.825,97,0.009782709864437194,0.7010309278350515
drop:GROSS,0.85,81,0.009291074641800368,0.7283950617283951
drop:GROSS,0.875,95,0.008028863896236917,0.7473684210526316
drop:GROSS,0.9,81,0.008698445630999495,0.8395061728395061
drop:GROSS,0.925,149,0.00370345974866706,0.40939597315436244
drop:GROSS,0.95,140,0.0025597458786873442,0.37142857142857144
drop:GROSS,0.975,110,0.0014458708027092124,0.2545454545454545
drop:GROSS,1.0,104,0.001539167736308165,0.23076923076923078
drop:N,0.2,4,,
drop:N,0.225,9,-0.001308881935418614,0.5555555555555556
drop:N,0.25,16,0.0024053858025073066,0.625
drop:N,0.275,39,2.673758704916568e-05,0.6153846153846154
drop:N,0.3,54,-0.002971008223413209,0.5555555555555556
drop:N,0.325,72,-0.0015296396066510664,0.5833333333333334
drop:N,0.35,82,-0.0011659050034115233,0.5853658536585366
drop:N,0.375,86,-0.0018366207643311894,0.5697674418604651
drop:N,0.4,89,-0.0012461647737963125,0.5730337078651685
drop:N,0.425,79,-0.0009024142264045413,0.5316455696202531
drop:N,0.45,79,0.003341205691934667,0.5822784810126582
drop:N,0.475,70,0.00410388294431097,0.6
drop:N,0.5,65,0.004517992923043349,0.6461538461538462
drop:N,0.525,64,0.009352676884912058,0.671875
drop:N,0.55,61,0.009671270523727587,0.6721311475409836
drop:N,0.575,66,0.014966573874917137,0.7575757575757576
drop:N,0.6,50,0.017326670011769418,0.82
drop:N,0.625,56,0.01878338252327851,0.7142857142857143
drop:N,0.65,52,0.021246613986855453,0.7115384615384616
drop:N,0.675,66,0.016763057373342636,0.7121212121212122
drop:N,0.7,66,0.016019495878251452,0.696969696969697
drop:N,0.725,49,0.013691619573447772,0.6326530612244898
drop:N,0.75,75,0.010335805314443806,0.6266666666666667
drop:N,0.775,74,0.009035547257371513,0.6351351351351351
drop:N,0.8,100,0.009046461612108371,0.66
drop:N,0.825,107,0.008908795338869022,0.6822429906542056
drop:N,0.85,91,0.008317530663674808,0.7032967032967034
drop:N,0.875,131,0.005833565717588579,0.5801526717557252
drop:N,0.9,123,0.00569494993304414,0.5528455284552846
drop:N,0.925,208,0.0026340426623208254,0.2932692307692308
drop:N,0.95,199,0.0017810542423495877,0.2613065326633166
drop:N,0.975,168,0.0009245374926001765,0.16666666666666666
drop:N,1.0,162,0.0009651231792275643,0.14814814814814814
drop:BAND,0.2,27,0.0026544688887608966,0.5185185185185185
drop:BAND,0.225,34,0.0018561306757477081,0.5
drop:BAND,0.25,45,0.003489875863565739,0.5333333333333333
drop:BAND,0.275,72,0.001321537553287318,0.5555555555555556
drop:BAND,0.3,92,-0.0028219227837167717,0.4891304347826087
drop:BAND,0.325,105,-0.0035871616377810838,0.5047619047619047
drop:BAND,0.35,111,-0.0022727817697395605,0.5315315315315315
drop:BAND,0.375,117,-0.001907419501243729,0.5470085470085471
drop:BAND,0.4,116,-0.0017663050113786746,0.5517241379310345
drop:BAND,0.425,102,-0.00154784623838737,0.5196078431372549
drop:BAND,0.45,91,0.003606514366662047,0.5934065934065934
drop:BAND,0.475,76,0.0058888816067881895,0.6447368421052632
drop:BAND,0.5,69,0.0056234260479447115,0.6666666666666666
drop:BAND,0.525,65,0.009095064781016904,0.6615384615384615
drop:BAND,0.55,62,0.01047166222153425,0.6774193548387096
drop:BAND,0.575,69,0.015966113275771947,0.7681159420289855
drop:BAND,0.6,52,0.01887497688209084,0.8269230769230769
drop:BAND,0.625,53,0.026105945874137438,0.8301886792452831
drop:BAND,0.65,47,0.030145014946185714,0.8297872340425532
drop:BAND,0.675,52,0.028285354225884577,0.8846153846153846
drop:BAND,0.7,50,0.028493876881765544,0.9
drop:BAND,0.725,31,0.030256166569027743,0.9032258064516129
drop:BAND,0.75,46,0.023764328440795613,0.8913043478260869
drop:BAND,0.775,45,0.016716797725286853,0.8
drop:BAND,0.8,66,0.015784873535754786,0.8484848484848485
drop:BAND,0.825,72,0.015228013575157882,0.8611111111111112
drop:BAND,0.85,62,0.013790043723163229,0.8709677419354839
drop:BAND,0.875,99,0.008644466723467999,0.6363636363636364
drop:BAND,0.9,103,0.007244436178602746,0.5728155339805825
drop:BAND,0.925,184,0.0031694462771704626,0.29347826086956524
drop:BAND,0.95,176,0.002229780123318982,0.26136363636363635
drop:BAND,0.975,153,0.0010564709706505809,0.1568627450980392
drop:BAND,1.0,150,0.0010450611471204962,0.14
drop:BAND+,0.2,25,0.002470525655343069,0.48
drop:BAND+,0.225,30,0.0014005469188234974,0.43333333333333335
drop:BAND+,0.25,37,0.0019184141830064475,0.43243243243243246
drop:BAND+,0.275,47,5.56734060751598e-05,0.425531914893617
drop:BAND+,0.3,58,-0.005255947737102437,0.3448275862068966
drop:BAND+,0.325,60,-0.008066755611694232,0.35
drop:BAND+,0.35,68,-0.005337859752989401,0.4264705882352941
