diag,panel,H,a,b,delta_pp,se_pp,sigmas,decisive
D1_steps,B136,21.0,3,1.0,5.701616334233172,0.9706413167675739,5.874071333807089,True
D1_steps,B136,42.0,4,0.0,20.157826578072147,0.8681024620429367,23.220561465329805,True
D1_steps,B136,52.0,4,0.0,14.921284889400521,1.0637271705074138,14.027360871381,True
D1_steps,B136,63.0,4,0.0,10.090721615827258,0.9615136788851477,10.494620968395592,True
D1_steps,B136,76.0,5,0.0,25.04322325859067,1.0019082779605446,24.9955248494083,True
D1_steps,B136,90.0,5,1.0,16.819868759825496,1.046889237798922,16.066521798608957,True
D1_steps,B136,126.0,3,1.0,15.892287839457543,1.0002868823054893,15.887729930865984,True
D1_steps,U56,21.0,2,1.0,3.227938642214367,1.0758404396954702,3.000387904295617,True
D1_steps,U56,42.0,5,1.0,17.451307074784815,1.0265138343538092,17.000557119398607,True
D1_steps,U56,52.0,0,2.0,-5.594964557316196,1.0183579165459864,-5.494104249999752,True
D1_steps,U56,63.0,2,3.0,-4.27808675389576,0.9432025571469101,-4.535703091005741,True
D1_steps,U56,76.0,5,0.0,22.29740639203083,1.017840233617909,21.906587748820645,True
D1_steps,U56,90.0,3,1.0,6.63467486597169,1.018393530038092,6.5148438892021705,True
D1_steps,U56,126.0,2,0.0,7.506410218836123,1.1850178427355638,6.334428012921638,True
D2_drier_share,B136,21.0,1,,11.245378681063933,0.725,,
D2_drier_share,B136,21.0,2,,14.897400850794384,0.325,,
D2_drier_share,B136,21.0,3,,11.561659782231882,0.475,,
D2_drier_share,B136,21.0,4,,7.788642228252829,0.675,,
D2_drier_share,B136,21.0,5,,8.074180556042931,0.575,,
D2_drier_share,B136,21.0,8,,4.841524077006398,0.725,,
D2_drier_share,B136,21.0,10,,5.543762346830761,0.5,,
D2_drier_share,B136,42.0,1,,25.796520998542206,0.225,,
D2_drier_share,B136,42.0,2,,15.608960331017785,0.175,,
D2_drier_share,B136,42.0,3,,12.222610488168106,0.35,,
D2_drier_share,B136,42.0,4,,10.063723806225855,0.725,,
D2_drier_share,B136,42.0,5,,10.974365794518404,0.325,,
D2_drier_share,B136,42.0,8,,5.154320841757409,0.725,,
D2_drier_share,B136,42.0,10,,5.638694420470058,0.45,,
D2_drier_share,B136,52.0,1,,19.49485612622126,0.275,,
D2_drier_share,B136,52.0,2,,14.447877157367085,0.675,,
D2_drier_share,B136,52.0,3,,11.041277819485074,0.625,,
D2_drier_share,B136,52.0,4,,9.209045543291328,0.6,,
D2_drier_share,B136,52.0,5,,7.951260731039511,0.4,,
D2_drier_share,B136,52.0,8,,4.946758339857116,0.75,,
D2_drier_share,B136,52.0,10,,4.573571236820739,0.55,,
D2_drier_share,B136,63.0,1,,17.75348920240153,0.825,,
D2_drier_share,B136,63.0,2,,15.697781814770561,0.775,,
D2_drier_share,B136,63.0,3,,12.470468528783996,0.675,,
D2_drier_share,B136,63.0,4,,12.656654746047824,0.45,,
D2_drier_share,B136,63.0,5,,11.268996037496814,0.525,,
D2_drier_share,B136,63.0,8,,8.822181541275986,0.625,,
D2_drier_share,B136,63.0,10,,7.662767586574271,0.85,,
D2_drier_share,B136,76.0,1,,29.432329245391752,0.25,,
D2_drier_share,B136,76.0,2,,14.570374852213897,0.8,,
D2_drier_share,B136,76.0,3,,14.268954903630004,0.35,,
D2_drier_share,B136,76.0,4,,11.95544860804565,0.825,,
