object,files,rows,rows_with_denominator,rows_with_resolution,share_denominator,share_resolution
S_PHI,6,848,848,159,1.0,0.1875
S_PHI_OTHER,46,16407,0,0,0.0,0.0
S_LSTAR,2,87,15,0,0.1724137931034483,0.0
S_LSTAR_OTHER,4,1257,0,0,0.0,0.0
S_BAND,35,23178,23178,16738,1.0,0.7221503149538355
S_BAND_OTHER,140,105824,105824,3390,1.0,0.03203432113698216
