panel,book,g,levered,CAGR,Vol,Sharpe,MaxDD,H1,H2,lam,s,v,rho,IS_CAGR,IS_Vol,IS_Sharpe,IS_MaxDD,IS_lam,OOS_CAGR,OOS_Vol,OOS_Sharpe,OOS_MaxDD,OOS_lam,f4b,f4a,pass4b,pass4a
u56,V1,0.1,False,0.008962369469036613,0.013423564321252952,0.6714089880472315,-0.018927911395639874,0.6382369873756926,0.7031729085141865,1.4100510820119605,0.7552155550391149,0.07576807983342557,0.7409082942025292,0.006914277564170623,0.012648215012429614,0.5511082786827632,-0.017970065035324834,1.4207589780585916,0.01065568769062386,0.014032888327088584,0.7623514162643369,-0.018927911395639097,1.3488250568559956,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.2,False,0.01781617994814355,0.026848507372759123,0.6711907846766327,-0.03770644453948779,0.6387347974388188,0.7023286666387585,1.4044149276523763,0.754970115102248,0.15154394178353747,0.7379467890728971,0.013727681657758728,0.025301226256262604,0.5515413720226361,-0.03578895088108758,1.4145144792035143,0.0212026156586671,0.028064632939964015,0.7616617307652899,-0.03770644453948735,1.343557374156617,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.3,False,0.026556135354591337,0.04027519184647155,0.6709460867144343,-0.05633436619893151,0.6392109262028334,0.7014534502021502,1.3987361354770773,0.7546948734676728,0.22732963303185882,0.7349628799951295,0.020436607518544037,0.0379593167106391,0.5519529338391611,-0.05345534113224382,1.4082271696229332,0.03163388511464138,0.04209565590471611,0.7609414426963205,-0.05633436619893062,1.3382465479678938,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.4,False,0.0351768695922976,0.05370397072825229,0.6706744034231575,-0.07481081812472712,0.6396652731055975,0.7005464326707981,1.3930221007917214,0.7543892781431103,0.30312714597477086,0.7319604528166047,0.02703743678770132,0.050622756535045575,0.5523431476617476,-0.07096720907892518,1.401883538874367,0.04194246958775327,0.05612637194073502,0.7601895518585041,-0.07481081812472756,1.3328995895854774,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.5,False,0.04367278729650481,0.0671352319265048,0.6703725329573598,-0.09313565501485233,0.640093850009376,0.6996050900185724,1.3872843266082864,0.7540497276225842,0.3789386701257423,0.7289455517701104,0.033526327858927285,0.06329184253765471,0.5527086427817494,-0.08832274476688984,1.3954838605677073,0.05212109779777108,0.0701572369616945,0.7594029650716858,-0.09313565501485199,1.3275274091210802,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.6,False,0.052037644559449925,0.08056932964128415,0.6700324586130976,-0.11130815127901716,0.640482387462857,0.6986268199322292,1.3815201364413772,0.753667204541677,0.4547662047345558,0.7259167705021794,0.039898346200281765,0.07596683640409795,0.5530349138580123,-0.10552057036868889,1.3890346809676637,0.06216221462425464,0.08418867379719965,0.7585784773259759,-0.11130815127901739,1.3221273867212269,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.7,False,0.060265119526943245,0.09400660836678187,0.6696505463701263,-0.12932654900195806,0.6408225533720721,0.6976120679402443,1.375717635693969,0.7532376212747169,0.5306116942671356,0.7228678590225068,0.04614838351147088,0.08864798634766044,0.5533143847413682,-0.12255845116820341,1.3825294427732697,0.07205826371888202,0.09822109831460075,0.7577153821028687,-0.1293265490019584,1.3166880764021527,"H1,H2,OOS,CAGR",H1,False,False
u56,V1,0.8,False,0.06834851011330678,0.10744741199881609,0.6692220868149837,-0.14719041869688465,0.6411094187794458,0.6965562919641604,1.3698833313780183,0.7527556805701547,0.6064770798119422,0.7198022364264647,0.05227104765010404,0.10133559551748933,0.5535407358417802,-0.13943746365827914,1.3759968838808854,0.08180122390560363,0.11225488453854839,0.7568102161480419,-0.14719041869688443,1.3112161604543735,"H1,H2,OOS,CAGR",DD,False,False
u56,V1,0.9,False,0.0762810330988346,0.12089210473938633,0.668744154220484,-0.16489790454201325,0.6413473646443602,0.6954502115525952,1.3640088812870999,0.7522180915058854,0.6823644170738178,0.7167155193197129,0.058261911898461305,0.11402993918675179,0.5537189381803932,-0.15615807355797262,1.3694480122647943,0.09138209866437275,0.12629046358340004,0.7558541532118626,-0.16489790454201358,1.3057035334510263,"H1,H2,OOS,CAGR",DD,False,False
u56,V1,1.0,False,0.08405617459010828,0.1343408972138133,0.6682177967508378,-0.18244790082009266,0.6415389236558834,0.694293632307067,1.3580964888876212,0.751626033080001,0.7582748949081016,0.7136088655089139,0.06411633779247095,0.12673097825857627,0.5538515924347109,-0.172715922705017,1.3628548053390317,0.10079255731442127,0.140328232049608,0.7548469548481794,-0.18244790082009232,1.3001510683580366,"H1,H2,OOS,CAGR",DD,False,False
