panel,gross,cap,cost_bps,t4b,e4b,t4a,e4a,t_L_H1,t_L_H2,t_L_OOS,t_L_DD,t_L_CAGR,e_L_H1,e_L_H2,e_L_OOS,e_L_DD,e_L_CAGR,dSharpe,dOOS_Sharpe,dCAGR
U56,0.75,0.015,0.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.1890681962038565,-0.21880518818302463,-0.01448914956154379
U56,0.75,0.015,10.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.18843741016214066,-0.21860821464148605,-0.014445825722335659
U56,0.75,0.015,25.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.18747197739938026,-0.21829463917524672,-0.014381073363629593
U56,0.75,0.015,50.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.18581416545709772,-0.21772447269005346,-0.014273772299755239
U56,0.75,0.020,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.16468920714855018,-0.1935844123208963,-0.014777700231112245
U56,0.75,0.020,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.1640365636494654,-0.19327239195376622,-0.014726117045862575
U56,0.75,0.020,25.0,True,False,False,False,True,True,True,True,True,True,True,True,True,False,-0.16303809626336374,-0.1927849579925991,-0.014649065501189495
U56,0.75,0.020,50.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.16132491145891814,-0.1919221411107087,-0.01452150361340876
U56,0.75,0.030,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.154179937821747,-0.18276468867583184,-0.014874427166180926
U56,0.75,0.030,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.1534880237262568,-0.1823818868638032,-0.014815731862998227
U56,0.75,0.030,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.1524285562953882,-0.18178685632416602,-0.014728103084281186
U56,0.75,0.030,50.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.15060897304972132,-0.18074147185773626,-0.01458315297459567
U56,0.75,INF,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14171895675799795,-0.1661681599699052,-0.014942040744012175
U56,0.75,INF,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14106714368804196,-0.16577328517477707,-0.014876608200008246
U56,0.75,INF,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14006915152485577,-0.1651613713608815,-0.014778970695390248
U56,0.75,INF,50.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.13835567822129735,-0.1640913920811664,-0.01461759599678647
U56,1.0,0.015,0.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.18872104921262767,-0.21823719605257375,-0.014489677135242074
U56,1.0,0.015,10.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.18808878124460615,-0.2180372794500418,-0.014446123512565245
U56,1.0,0.015,25.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.1871211818950682,-0.21771939008285401,-0.014381028999356227
U56,1.0,0.015,50.0,False,False,False,False,True,True,True,True,False,True,True,True,True,False,-0.1854599177941576,-0.2171423139971489,-0.01427316435256576
U56,1.0,0.020,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14488933977986562,-0.16865805610849605,-0.014947100189638407
U56,1.0,0.020,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14430444217754212,-0.16837431283107152,-0.014887680994306818
U56,1.0,0.020,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14341149802493702,-0.16793350536162643,-0.0147989773800965
U56,1.0,0.020,50.0,True,False,False,False,True,True,True,True,True,True,True,True,True,False,-0.14188409695201243,-0.16715941696277592,-0.014652264904555068
U56,1.0,0.030,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.12242303596485526,-0.14482768396662182,-0.015386972768586471
U56,1.0,0.030,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.12185342679618616,-0.14447699731710273,-0.01531432103710273
U56,1.0,0.030,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.12098340893466819,-0.14393515741992058,-0.015205956852291758
U56,1.0,0.030,50.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.11949448820242015,-0.14299147881531493,-0.015026973919494369
U56,1.0,INF,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10773749709756708,-0.1266998996498938,-0.015556541959769854
U56,1.0,INF,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10719538652324623,-0.1263299379423981,-0.015468553977286748
U56,1.0,INF,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10636690441591945,-0.12576014122527357,-0.015337457876007266
U56,1.0,INF,50.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10494844547303228,-0.12477283657986882,-0.01512130661035549
B136,0.75,0.015,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14577020974404054,-0.1751737873330732,-0.014801092736753674
B136,0.75,0.015,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14495199596080377,-0.17468191072352846,-0.014734403914042016
B136,0.75,0.015,25.0,True,False,False,False,True,True,True,True,True,True,True,True,True,False,-0.1437054012461113,-0.17392363151606727,-0.01463491015257623
B136,0.75,0.015,50.0,False,False,False,False,True,False,True,True,False,True,False,False,True,False,-0.14158094196710058,-0.17260805364423426,-0.014470515896004121
B136,0.75,0.020,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.1422230898794179,-0.1709477406377321,-0.014830906101524599
B136,0.75,0.020,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.1414116409705779,-0.17045228648974808,-0.014761736732370245
B136,0.75,0.020,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.14017532187212378,-0.16968887827594437,-0.014658561064102793
B136,0.75,0.020,50.0,False,False,False,False,True,False,True,True,False,True,False,False,True,False,-0.13806852259212976,-0.1683655765551766,-0.014488133005387649
B136,0.75,0.030,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13947944858525418,-0.16665383032585046,-0.014852235279442239
B136,0.75,0.030,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13866232823071634,-0.1661419327778325,-0.014781284726470334
B136,0.75,0.030,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13741709706082572,-0.1653535843456183,-0.014675466114184132
B136,0.75,0.030,50.0,False,False,False,False,True,False,True,True,False,True,False,False,True,False,-0.13529454413382946,-0.16398814854202493,-0.014500709225343078
B136,0.75,INF,0.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13674751373034622,-0.16364233078256385,-0.014868140626912885
B136,0.75,INF,10.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13593788989481415,-0.16315194583075465,-0.014795430302455115
B136,0.75,INF,25.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True,-0.13470375124813172,-0.16239574570330628,-0.014687001288483437
B136,0.75,INF,50.0,False,False,False,False,True,False,True,True,False,True,False,False,True,False,-0.1325993917382381,-0.16108345163343474,-0.014507970907502
B136,1.0,0.015,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.11408202037838544,-0.13707566243267977,-0.015286349269439503
B136,1.0,0.015,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.11341647578916747,-0.13662996453199006,-0.015202070759005482
