panel,gross,rung,CAGR,Sharpe,MaxDD,p4b,fail
U56,0.75,0,0.11278452445639053,1.1291824769969199,-0.15769536970935916,True,-
U56,0.75,10,0.10369161550391293,1.0460774572301252,-0.15874701499330102,False,CAGR
U56,0.75,25,0.09018623964985917,0.9210926941554236,-0.16113558174102072,False,"H1,CAGR"
U56,1.0,0,0.1506609069434668,1.1285999144077423,-0.2074856343919147,False,DD
U56,1.0,10,0.13823901504957892,1.046219320763306,-0.20880282084818402,False,DD
U56,1.0,25,0.11984788631833698,0.9223261899150016,-0.21077670739710563,False,"H1,DD"
B136,0.75,0,0.1157464460379023,1.1004542191596491,-0.17342854690545018,True,-
B136,0.75,10,0.10656429035062365,1.021147356526676,-0.17688085212974547,True,-
B136,0.75,25,0.09292746780071703,0.9019174655328701,-0.1821719531249767,False,"H2,CAGR"
B136,1.0,0,0.154487709857557,1.099547255429257,-0.22807488193328262,False,DD
B136,1.0,10,0.1419613396208741,1.021138121609721,-0.230920497501097,False,DD
B136,1.0,25,0.12341699999281852,0.9032604469644163,-0.23755245614921627,False,"H2,DD"
SMALL663,0.75,0,0.05942173990235622,0.5342807519020407,-0.35956100992163476,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.75,10,0.04693424796275614,0.4368958360972217,-0.37378027454311846,False,"H1,H2,OOS,DD,CAGR"
SMALL663,0.75,25,0.028471016653192516,0.29096922299617684,-0.39453001709149804,False,"H1,H2,OOS,DD,CAGR"
SMALL663,1.0,0,0.07642373997714813,0.5336890934531069,-0.4548885136035443,False,"H1,H2,OOS,DD,CAGR"
SMALL663,1.0,10,0.05967145941036689,0.43730663240844236,-0.4709441855632841,False,"H1,H2,OOS,DD,CAGR"
SMALL663,1.0,25,0.03501743053057638,0.2928849616473207,-0.4941614048865912,False,"H1,H2,OOS,DD,CAGR"
