panel,book,cadence,cost_bps,estimator,n_draw,n_phase,base4b,base4a,base4b_IS,p_L1_H1,pIS_L1_H1,p_L2_H2,pIS_L2_H2,p_L3_OOS,pIS_L3_OOS,p_L4_DD,pIS_L4_DD,p_L5_CAGR,pIS_L5_CAGR,n_pin0,n_pin1,n_pin0_IS,pin0_legs,pin1_legs,min_leg,argmin_leg,prod_leg,klass
B136,BAND03,D,0.0,CANON,60,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,D,0.0,FPORT,60,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,D,10.0,CANON,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,4,1,4,"L1_H1,L2_H2,L3_OOS,L5_CAGR",L4_DD,0.0,L1_H1,0.0,ZERO-MULTI
B136,BAND03,D,10.0,FPORT,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,4,1,4,"L1_H1,L2_H2,L3_OOS,L5_CAGR",L4_DD,0.0,L1_H1,0.0,ZERO-MULTI
B136,BAND03,D,25.0,CANON,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",-,0.0,L1_H1,0.0,ZERO-MULTI
B136,BAND03,D,25.0,FPORT,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,"L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR",-,0.0,L1_H1,0.0,ZERO-MULTI
B136,BAND03,M,0.0,CANON,60,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,M,0.0,FPORT,60,21,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,M,10.0,CANON,60,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,M,10.0,FPORT,60,21,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4,1,L5_CAGR,"L1_H1,L2_H2,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
B136,BAND03,M,25.0,CANON,60,1,0.0,0.0,0.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,3,1,L5_CAGR,"L1_H1,L3_OOS,L4_DD",0.0,L5_CAGR,0.0,ZERO-1LEG
