m_max,bar,admitted,unique_exclusions
1.0,(none deleted),58,0
1.0,H1,59,1
1.0,H2,61,3
1.0,OOS,58,0
1.0,DD,76,18
1.0,CAGR,109,51
1.0,(none deleted) PURE,48,0
1.0,H1 PURE,49,1
1.0,H2 PURE,50,2
1.0,OOS PURE,48,0
1.0,DD PURE,62,14
1.0,CAGR PURE,81,33
1.3,(none deleted),72,0
1.3,H1,75,3
1.3,H2,75,3
1.3,OOS,72,0
1.3,DD,94,22
1.3,CAGR,109,37
1.3,(none deleted) PURE,55,0
1.3,H1 PURE,58,3
1.3,H2 PURE,57,2
1.3,OOS PURE,55,0
1.3,DD PURE,71,16
1.3,CAGR PURE,81,26
