panel,cost,delay,scap,ncap,via,d_oos,oos,frozen,moved
B135,10.0,1,20,0.05,4b-IS,-0.004988696483470223,1.0176262613021916,1.0226149577856618,True
B135,10.0,2,20,0.05,4b-IS,-0.021349433668320317,0.9546024475570098,0.9759518812253302,True
B135,25.0,1,20,0.05,4b-IS,-0.0037722074550525786,0.9861464168091336,0.9899186242641862,True
B135,25.0,2,20,0.05,4b-IS,-0.020256296277374575,0.9239364951022307,0.9441927913796053,True
B135,50.0,1,20,0.05,4b-IS,-0.0017591474708934518,0.9334519834857002,0.9352111309565937,True
B135,50.0,2,20,0.05,maxIS-S,-0.018417119480585886,0.8726246762585855,0.8910417957391714,True
SMALL663,10.0,1,20,0.05,maxIS-S,0.0,0.4527669138269715,0.4527669138269715,True
SMALL663,10.0,2,20,0.05,maxIS-S,0.0,0.43968162126354066,0.43968162126354066,True
SMALL663,25.0,1,20,0.05,maxIS-S,0.0,0.4183009124124744,0.4183009124124744,True
SMALL663,25.0,2,20,0.05,maxIS-S,0.0,0.40531554084573646,0.40531554084573646,True
SMALL663,50.0,1,20,0.05,maxIS-S,0.0,0.3607703543002124,0.3607703543002124,True
SMALL663,50.0,2,20,0.05,maxIS-S,0.0,0.34804138608460017,0.34804138608460017,True
U56,10.0,1,4,0.05,4b-IS,-0.0015936703760692783,1.1809787686889306,1.1825724390649999,True
U56,10.0,2,4,0.05,4b-IS,-0.028513698027592627,1.1285929809798922,1.1571066790074849,True
U56,25.0,1,4,0.05,4b-IS,-0.004339820363214564,1.146882622125562,1.1512224424887765,True
U56,25.0,2,4,0.05,4b-IS,-0.031158168462635194,1.0954484762489376,1.1266066447115728,True
U56,50.0,1,4,0.05,maxIS-S,-0.008938604983308007,1.0899409563351388,1.0988795613184468,True
U56,50.0,2,4,0.05,maxIS-S,-0.03556148640633561,1.0400812217882316,1.0756427081945672,True
