draw,start,end,SPY_MaxDD,cap,kills,hits_spy_dd
0,2023-09-19,2023-11-06,-0.33717235283398306,-0.20230341170038982,0,False
1,2024-04-26,2024-06-14,-0.33717235283398306,-0.20230341170038982,0,False
2,2026-04-17,2026-06-05,-0.33717235283398306,-0.20230341170038982,0,False
3,2013-12-12,2014-02-03,-0.33717235283398284,-0.2023034117003897,0,False
4,2016-01-15,2016-03-07,-0.33717235283398317,-0.2023034117003899,0,False
5,2009-08-07,2009-09-25,-0.33717235283398284,-0.2023034117003897,0,False
6,2019-03-19,2019-05-07,-0.3371723528339835,-0.2023034117003901,0,False
7,2018-07-27,2018-09-14,-0.3371723528339834,-0.20230341170039004,0,False
8,2014-08-29,2014-10-17,-0.33717235283398295,-0.20230341170038976,0,False
9,2024-07-19,2024-09-06,-0.33717235283398306,-0.20230341170038982,0,False
10,2012-04-19,2012-06-07,-0.33717235283398306,-0.20230341170038982,0,False
11,2024-02-28,2024-04-17,-0.33717235283398306,-0.20230341170038982,0,False
12,2014-07-07,2014-08-22,-0.33717235283398317,-0.2023034117003899,0,False
13,2009-06-01,2009-07-20,-0.33717235283398306,-0.20230341170038982,0,False
14,2014-08-26,2014-10-14,-0.3371723528339833,-0.20230341170038996,0,False
15,2022-06-21,2022-08-09,-0.33717235283398306,-0.20230341170038982,0,False
16,2021-08-19,2021-10-07,-0.33717235283398306,-0.20230341170038982,0,False
17,2021-06-04,2021-07-23,-0.33717235283398306,-0.20230341170038982,0,False
18,2022-09-20,2022-11-07,-0.33717235283398306,-0.20230341170038982,0,False
19,2012-11-19,2013-01-09,-0.3371723528339834,-0.20230341170039004,0,False
