leg,vint,char,BW,levelset,n_overlap,gap_FULL,gap_IS,gap_OOS,abs_IS,abs_OOS,small_IS,small_OOS,resid,sel_flavour,sel_level,sel_seed,sel_gross,sel_cadence,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,beat_v2,beat_spy,keep4a,keep4b,fail4b,hh_BONLY,hh_SONLY
WF-A,LIVE,momac,0.5,Q5,4,0.05299466101585218,0.11959654995820435,0.016695099379220923,0.11959654995820435,0.034071840367805445,False,True,0.0027111023034787074,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.5,Q9,7,0.062428869980517596,0.14194210981401637,0.019358251360272877,0.14194210981401637,0.05980137986317636,False,True,0.004022979801650244,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.5,Q19,14,0.06583597428892388,0.16506761025493974,0.015835017252340152,0.16506761025493974,0.058425866006639494,False,True,0.004952749842122096,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.25,Q5,4,-0.010369980618363802,0.07298452362202243,-0.052200771576704934,0.11657490885682305,0.08511271307501392,False,True,0.012900378531461365,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.25,Q9,7,-0.008222989487390371,0.11212923844171893,-0.06594778043260749,0.13703803000446216,0.0847546041459269,False,True,0.011594898361538533,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.25,Q19,14,0.004290321129398441,0.0805240971932448,-0.032812733502791805,0.10693428970484407,0.08241498620077858,False,True,0.01137468429186044,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.125,Q5,4,0.021720302644858865,0.1407493590933,-0.03655041362215006,0.1557131163208288,0.14166084201436474,False,False,0.014656652449280244,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.125,Q9,7,0.027492902191063744,0.14874584152297182,-0.03189992337885557,0.15729655993870256,0.10066639266471704,False,False,0.014804283500704491,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,momac,0.125,Q19,14,0.03191602908116453,0.13265299323191418,-0.017672468607965425,0.1421021671111699,0.07458340891739203,False,True,0.014009639395648905,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.5,Q5,3,0.013312065948070032,0.0639655772291776,-0.017090121265416286,0.0639655772291776,0.07957125209619334,True,True,0.0010634578378864539,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.5,Q9,6,0.009883753933340862,0.06712833998507367,-0.01883904776207825,0.06712833998507367,0.07937184678536253,True,True,0.001257046088221192,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.25,Q5,3,0.019209683028825617,0.08068247345911768,-0.008416042375283478,0.08068247345911768,0.03830331634440949,True,True,0.0007916674498852361,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.25,Q9,6,0.005942225979791868,0.05049703770977334,-0.016365727869128703,0.0669986325244582,0.05615675393688291,True,True,0.0005933559687145337,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.125,Q5,3,0.09250381206985969,0.1263683734503133,0.07831860673527495,0.1263683734503133,0.07831860673527495,False,True,0.00038419563339682955,,,,,,,,,,,,,,,,,,,,,,
WF-A,LIVE,tpers,0.125,Q9,6,0.04709839807745042,0.11573638881995073,0.015298357574071941,0.11573638881995073,0.08789658790316285,False,True,0.00035866156849634345,,,,,,,,,,,,,,,,,,,,,,
WF-A,FROZEN,momac,0.5,Q5,4,0.033424283063029234,0.14124144094424834,-0.02399472861388005,0.14124144094424834,0.08830632188211948,False,True,0.013276875297812019,,,,,,,,,,,,,,,,,,,,,,
WF-A,FROZEN,momac,0.25,Q5,4,0.013305172038427914,0.11906327026556893,-0.04176336613688014,0.11906327026556893,0.08654622255986653,False,True,0.018392281308841657,,,,,,,,,,,,,,,,,,,,,,
