leg,panel,target,n,k,model,N,fit_oofR2,fit_rho,tr_R2,tr_R2c,tr_rho,dec_gain,dec_t,dec_vs_mean,argmax_pctile,y_fit_mean,y_score_mean,y_fit_sd,y_score_sd,rho_y1y2,t_tr_rho,t_rho_y1y2
TRANSFER(IS1->IS2),B136,Sharpe,5,20,sd,500,0.3442743156535555,0.564501842007368,-1.1310392063291,-0.21148805063913412,0.15297363589454357,0.1776612630051584,4.225798869370275,0.1598951367046424,0.892,0.7474216359816044,0.9967771370109983,0.3118517914952686,0.2600251055348143,0.06746369385477542,3.4544038426060517,1.5089517634124918
TRANSFER(IS1->IS2),B136,Sharpe,5,20,M,500,0.8311498109637724,0.9109056916227665,-1.8639069175652896,-0.9631532898143929,0.05900106800427202,0.08904666086132973,2.346871471204787,0.08014199477519668,0.932,0.7474216359816044,0.9967771370109983,0.3118517914952686,0.2600251055348143,0.06746369385477542,1.3189604713835867,1.5089517634124918
TRANSFER(IS1->IS2),B136,Sharpe,5,20,M+sd,500,0.8404920809186056,0.9113987495949983,-1.8489083583555495,-0.95251231379082,0.0650388201552806,0.07009921772369343,1.667987619715773,0.06308929595132406,0.998,0.7474216359816044,0.9967771370109983,0.3118517914952686,0.2600251055348143,0.06746369385477542,1.454480212249127,1.5089517634124918
TRANSFER(IS1->IS2),B136,Sharpe,20,20,sd,500,0.2746568914624109,0.5053044532178128,-2.839028178748226,-0.04968717645829401,0.20612223248892994,0.13896384530778838,5.0513366002384865,0.12506746077700948,0.766,0.811857424161597,1.10283357603119,0.19218244209545124,0.17420112362960496,0.037008532034128135,4.700748624948577,0.8264453601987501
TRANSFER(IS1->IS2),B136,Sharpe,20,20,M,500,0.982360285383683,0.9935223740894962,-3.836922006701448,-1.0486499744811049,0.03608942435769743,0.033170466546838195,1.1858093257051232,0.029853419892154287,0.854,0.811857424161597,1.10283357603119,0.19218244209545124,0.17420112362960496,0.037008532034128135,0.8058934635782811,0.8264453601987501
TRANSFER(IS1->IS2),B136,Sharpe,20,20,M+sd,500,0.983854670711366,0.9933929655718621,-3.8475583085829967,-1.057136325471344,0.0341437845751383,0.03840368130136662,1.3534380858267856,0.03456331317122996,0.854,0.811857424161597,1.10283357603119,0.19218244209545124,0.17420112362960496,0.037008532034128135,0.7623942751723225,0.8264453601987501
TRANSFER(IS1->IS2),B136,CAGR,5,20,sd,500,0.4444204902508031,0.6385844743378973,-0.374075955774815,-0.10023517746242772,0.2569506918027672,0.04645254650119518,5.625452328037961,0.04180729185107568,0.948,0.1042864643835878,0.12797076485039505,0.05286657571198751,0.04526544649184235,0.1115385261541046,5.933302967365229,2.5047132471583358
TRANSFER(IS1->IS2),B136,CAGR,5,20,M,500,0.8696340210374376,0.9241662246648986,-1.0921869911515376,-0.8269245814327564,0.10641076164304655,0.021155275679349023,2.6647539013759043,0.01903974811141415,0.94,0.1042864643835878,0.12797076485039505,0.05286657571198751,0.04526544649184235,0.1115385261541046,2.3882130243400805,2.5047132471583358
TRANSFER(IS1->IS2),B136,CAGR,5,20,M+sd,500,0.8662247150951283,0.9210767403069613,-1.0868570598243763,-0.821020676371371,0.11905170820683281,0.01543991352421531,2.0844550375386457,0.013895922171793779,0.94,0.1042864643835878,0.12797076485039505,0.05286657571198751,0.04526544649184235,0.1115385261541046,2.67577761668177,2.5047132471583358
TRANSFER(IS1->IS2),B136,CAGR,20,20,sd,500,0.31767313304143496,0.5638536474145895,-0.7615526692323518,0.013137367973832137,0.2614185496741987,0.015248170759897817,5.983712218304297,0.013723353683908035,0.77,0.05997495093266309,0.07408487699403576,0.01679054489753296,0.016031191383460413,0.08901731606926427,6.0439695501876205,1.994420427069334
TRANSFER(IS1->IS2),B136,CAGR,20,20,M,500,0.9995972251494822,0.9998984315937264,-1.612606738051793,-0.8381378824381873,0.09011498445993783,0.007459446750403428,3.027913500372757,0.006713502075363087,0.064,0.05997495093266309,0.07408487699403576,0.01679054489753296,0.016031191383460413,0.08901731606926427,2.019213645116289,1.994420427069334
TRANSFER(IS1->IS2),B136,CAGR,20,20,M+sd,500,0.9982796442876812,0.9994153576614306,-1.616504647914026,-0.8415236908122843,0.09075156300625202,0.007369656830874538,3.053532617455839,0.006632691147787084,0.064,0.05997495093266309,0.07408487699403576,0.01679054489753296,0.016031191383460413,0.08901731606926427,2.0335955430691484,1.994420427069334
