panel,gross,family,value,cost_bps,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dmean_gross
U56,0.75,BAND,0.0,10,-0.004623535379829402,-0.04101956605999901,0.00028560546815203924,-0.025118590821012532,-3.5495503636351344e-07
U56,0.75,BAND,0.0,25,-0.00678320090390061,-0.07309822261171117,2.1908643187185106e-05,-0.05764140856577327,-3.5495503636351344e-07
U56,0.75,BAND,0.01,10,-0.0027110469202200616,-0.01979840862575899,0.0003229385841017063,-0.007121566153671877,2.1470571076598333e-07
U56,0.75,BAND,0.01,25,-0.004037877964935266,-0.039425837197202496,0.00012823350748780715,-0.027458916529779387,2.1470571076598333e-07
U56,0.75,BAND,0.03,10,0.0,0.0,0.0,0.0,0.0
U56,0.75,BAND,0.03,25,0.0,0.0,0.0,0.0,0.0
U56,0.75,BAND,0.06,10,0.0004792251017626814,-0.06349457169232409,-0.018998234291146665,-0.07793388487006836,-1.5939188338531807e-05
U56,0.75,BAND,0.06,25,0.001069342793616812,-0.05262555093205479,-0.01886415403105557,-0.06772804516689335,-1.5939188338531807e-05
U56,0.75,BAND,0.1,10,0.003160085836058313,-0.03379093577409775,-0.006098723704312303,-0.10488219073568739,-1.0857216989568208e-05
U56,0.75,BAND,0.1,25,0.004229433417768824,-0.016487628830567536,-0.005883456326788883,-0.08936633314842823,-1.0857216989568208e-05
U56,0.75,BAND,0.15,10,0.006497256964281828,-0.06923506958252124,-0.010346305387636812,-0.13529739843851374,-3.2861502632819395e-05
U56,0.75,BAND,0.15,25,0.007591324500630048,-0.04835848022239664,-0.010084576648878407,-0.11678938107681502,-3.2861502632819395e-05
U56,0.75,MA,50,10,-0.012768069073936905,-0.25231092495356455,-0.008901625126367274,-0.21455372309723164,-4.369965860973046e-05
U56,0.75,MA,50,25,-0.01565344124168999,-0.2958834136014832,-0.01521384328383324,-0.2585192558335916,-4.369965860973046e-05
U56,0.75,MA,100,10,-0.01036292581014564,-0.1781307902290421,-0.0006770393679774722,-0.21253626270368375,-2.5314609577165026e-05
U56,0.75,MA,100,25,-0.01169615831947124,-0.19728586325151776,-0.003868444393095971,-0.2330441195329045,-2.5314609577165026e-05
U56,0.75,MA,150,10,-0.003969017797180063,-0.05442034644502969,0.0028863733321943252,-0.1054626320416876,-6.907094377117673e-06
U56,0.75,MA,150,25,-0.004448574345744305,-0.0613704770192951,0.002747060987758343,-0.11436673104355388,-6.907094377117673e-06
U56,0.75,MA,200,10,0.0,0.0,0.0,0.0,0.0
U56,0.75,MA,200,25,0.0,0.0,0.0,0.0,0.0
U56,0.75,MA,300,10,-0.0025142755251583715,-0.07457738642429046,-0.00881079044713673,-0.08058373131488716,1.3535970661004981e-06
U56,0.75,MA,300,25,-0.002182268412872501,-0.0686189331790572,-0.008731289948735399,-0.07461248472134452,1.3535970661004981e-06
U56,0.75,VOLCAP,0.25,10,-0.019478895438795885,-0.22197116771066494,0.014269860707484594,-0.2841913059454705,-6.760284984769216e-05
U56,0.75,VOLCAP,0.25,25,-0.021142198092768183,-0.2686615442599376,0.013258036907558446,-0.3396260322973246,-6.760284984769216e-05
U56,0.75,VOLCAP,0.4,10,-0.005001999379476985,-0.015116863234270417,0.011259522991543314,0.0006593896494524465,-2.014938109207165e-05
U56,0.75,VOLCAP,0.4,25,-0.005529710161214618,-0.026141557813153637,0.01109325940098882,-0.011863337947395358,-2.014938109207165e-05
U56,0.75,VOLCAP,0.6,10,0.0,0.0,0.0,0.0,0.0
U56,0.75,VOLCAP,0.6,25,0.0,0.0,0.0,0.0,0.0
U56,0.75,VOLCAP,0.9,10,0.003530216379273865,0.021908334322291667,-0.0061678295611231615,-0.021804120292646223,7.941902802510725e-06
U56,0.75,VOLCAP,0.9,25,0.0037649944347732944,0.026234090169444002,-0.006127514001648127,-0.01747176017093044,7.941902802510725e-06
U56,0.75,VOLCAP,1.5,10,0.0063194797112076095,0.049351150464174154,-0.00845908332644918,0.0054231377416005255,1.0114629857560509e-05
U56,0.75,VOLCAP,1.5,25,0.0066310663827968686,0.05510622161278467,-0.008404225740928806,0.011747009688485077,1.0114629857560509e-05
U56,0.75,VOLCAP,inf,10,0.006465358175612668,0.051246123622990636,-0.00842325485971307,0.00826831204923728,1.0255619655175074e-05
U56,0.75,VOLCAP,inf,25,0.00678409562488369,0.05710716586203901,-0.008368298026240617,0.014651755193579197,1.0255619655175074e-05
U56,0.75,CADENCE,D,10,-0.0018337183667380685,-0.004898497048027917,0.01811272557598287,0.028384045248173395,-1.3230894091442735e-07
U56,0.75,CADENCE,D,25,-0.0029939554423881187,-0.022377329997364637,0.01771239922023382,0.010088444220606174,-1.3230894091442735e-07
U56,0.75,CADENCE,W,10,0.0,0.0,0.0,0.0,0.0
U56,0.75,CADENCE,W,25,0.0,0.0,0.0,0.0,0.0
U56,0.75,CADENCE,M,10,0.003519428921434642,-0.011400043974083118,-0.0253629289870837,-0.034295078344161345,1.15779492038115e-06
U56,0.75,CADENCE,M,25,0.0044464819812954914,0.003348752007940714,-0.02524921336355701,-0.019994074921941607,1.15779492038115e-06
U56,0.75,CADENCE,Q,10,-0.003175658157061889,-0.1993377978851144,-0.09023121650340071,-0.31789360831942937,-1.6026311339123467e-06
U56,0.75,CADENCE,Q,25,-0.0014374342524416939,-0.1722290055674005,-0.08980894902434144,-0.2904768624369485,-1.6026311339123467e-06
U56,1.0,BAND,0.0,10,-0.0062663798050586195,-0.0409727079990605,0.0005046210352190883,-0.02501629204362743,-5.988110465260377e-07
U56,1.0,BAND,0.0,25,-0.00920662069709377,-0.07308332721366573,0.00015589234056356815,-0.05757313137826592,-5.988110465260377e-07
U56,1.0,BAND,0.01,10,-0.00366980340727574,-0.019777598653212047,0.0005367635515757252,-0.00704691348516695,3.7641751038375304e-07
U56,1.0,BAND,0.01,25,-0.005478251515431465,-0.03943097414469254,0.00027869294875271233,-0.027416538436725535,3.7641751038375304e-07
U56,1.0,BAND,0.03,10,0.0,0.0,0.0,0.0,0.0
U56,1.0,BAND,0.03,25,0.0,0.0,0.0,0.0,0.0
U56,1.0,BAND,0.06,10,0.0005292475489024895,-0.06356058966139932,-0.02482170315704757,-0.07817153056161641,-2.738616901576396e-05
U56,1.0,BAND,0.06,25,0.0013396578546904792,-0.05264268158920582,-0.024638635758161054,-0.06792707451111268,-2.738616901576396e-05
U56,1.0,BAND,0.1,10,0.004185115088956692,-0.03377905422328342,-0.00797233003549569,-0.1048695458592519,-1.8650717733659228e-05
U56,1.0,BAND,0.1,25,0.005648522297660552,-0.016419996916378743,-0.007687554282594489,-0.08931104931623013,-1.8650717733659228e-05
U56,1.0,BAND,0.15,10,0.008608919935896076,-0.06903227232011533,-0.013549779661469086,-0.1349334723465372,-5.651602655720733e-05
U56,1.0,BAND,0.15,25,0.010109499478968997,-0.048046525605756285,-0.01320430984256693,-0.11634263686710034,-5.651602655720733e-05
U56,1.0,MA,50,10,-0.017412039507181287,-0.25179563841037655,-0.011086501662321502,-0.21407728949810534,-7.516840357058019e-05
U56,1.0,MA,50,25,-0.02131354886099457,-0.2954635176689412,-0.01917467223058167,-0.25815313635585135,-7.516840357058019e-05
U56,1.0,MA,100,10,-0.014161037908497098,-0.17802756603139225,-0.0002535101524787642,-0.21249759491419806,-4.3489453361522656e-05
U56,1.0,MA,100,25,-0.015959730112883985,-0.197204253980916,-0.004357445652134362,-0.23303791357197734,-4.3489453361522656e-05
U56,1.0,MA,150,10,-0.005410655367135586,-0.0543186766340229,0.003829097145530813,-0.10536432092654802,-1.1845099090357358e-05
U56,1.0,MA,150,25,-0.006060193364380018,-0.06128468630546635,0.003643902932944032,-0.11428752164096578,-1.1845099090357358e-05
U56,1.0,MA,200,10,0.0,0.0,0.0,0.0,0.0
U56,1.0,MA,200,25,0.0,0.0,0.0,0.0,0.0
U56,1.0,MA,300,10,-0.0034970445393665006,-0.07451259877827066,-0.011504869887796199,-0.08056838332979877,2.316961313475474e-06
U56,1.0,MA,300,25,-0.0030368838200725,-0.06851776686306521,-0.01139672896871824,-0.07459153257282458,2.316961313475474e-06
U56,1.0,VOLCAP,0.25,10,-0.026220407276574154,-0.22204914047877067,0.018964064675369374,-0.2847483690578655,-0.00011654614184908318
U56,1.0,VOLCAP,0.25,25,-0.028450029001633403,-0.26874870771296344,0.01764655803640236,-0.34019047309459305,-0.00011654614184908318
U56,1.0,VOLCAP,0.4,10,-0.006736472527595572,-0.01525419781020454,0.01473926738996123,0.0002283924024841788,-3.461097057766427e-05
