m,CAGR,Sharpe,MaxDD,panel,book,cost,window
0.1,0.006593180127431264,0.66470097990577,-0.016685401834196756,u56,V1u,10.0,full
0.15,0.009867500912561722,0.6646322910719592,-0.024940823774213805,u56,V1u,10.0,full
0.2,0.013126631819509793,0.6645605347970038,-0.03313851749411012,u56,V1u,10.0,full
0.25,0.016370306592450534,0.6644854376304316,-0.041278859157721226,u56,V1u,10.0,full
0.3,0.01959825431022355,0.664406768035576,-0.04936210778721406,u56,V1u,10.0,full
0.35,0.022810187262968462,0.6643239874824777,-0.057388585150596416,u56,V1u,10.0,full
0.4,0.02600579430277894,0.6642362348520954,-0.06535872751514649,u56,V1u,10.0,full
0.45,0.029184852624322355,0.6641450542822477,-0.07327280966369376,u56,V1u,10.0,full
0.5,0.03234706458810921,0.6640498410291096,-0.08113113669637984,u56,V1u,10.0,full
0.55,0.03549213505045978,0.6639502120862991,-0.0889340002961353,u56,V1u,10.0,full
0.6,0.03861978715501291,0.6638462964742631,-0.09668184472277386,u56,V1u,10.0,full
0.65,0.04172965645319349,0.663736942865615,-0.10437495862980406,u56,V1u,10.0,full
0.7,0.0448214737618422,0.6636225966892841,-0.11201362851763708,u56,V1u,10.0,full
0.75,0.04789487703519213,0.6635024064049584,-0.11959822306034851,u56,V1u,10.0,full
0.8,0.05094945120670036,0.6633752334606826,-0.1271290257176041,u56,V1u,10.0,full
0.85,0.05398495859940167,0.6632420598634687,-0.13460625649807734,u56,V1u,10.0,full
0.9,0.05700115069644829,0.6631035657158068,-0.142030255430594,u56,V1u,10.0,full
0.95,0.059997551427203755,0.6629580832763151,-0.14940177604243154,u56,V1u,10.0,full
1.0,0.06297377249874825,0.6628051083845784,-0.15672092223908318,u56,V1u,10.0,full
0.1,0.005497157833491917,0.5939005048990221,-0.013499570845460385,u56,V1u,10.0,IS
0.15,0.008227031326125012,0.5940549962791499,-0.020210603396269344,u56,V1u,10.0,IS
0.2,0.010944193026782179,0.5942069399232859,-0.026895829895042023,u56,V1u,10.0,IS
0.25,0.013648451491365954,0.5943559194228641,-0.033555313384235896,u56,V1u,10.0,IS
0.3,0.016339632214673827,0.5945024140070669,-0.04018899745796245,u56,V1u,10.0,IS
0.35,0.01901755113850867,0.594646330735161,-0.046796864735858756,u56,V1u,10.0,IS
0.4,0.02168196077574902,0.5947859637897244,-0.053378909324290236,u56,V1u,10.0,IS
