it,claims,survive_logx,survive_loglog,survive_partial,share_logx,share_loglog,share_partial
0,56,37,0,41,0.6607142857142857,0.0,0.7321428571428571
1,62,44,0,46,0.7096774193548387,0.0,0.7419354838709677
2,84,63,0,72,0.75,0.0,0.8571428571428571
3,69,48,0,56,0.6956521739130435,0.0,0.8115942028985508
4,81,51,0,56,0.6296296296296297,0.0,0.691358024691358
5,60,43,0,47,0.7166666666666667,0.0,0.7833333333333333
6,63,47,0,50,0.746031746031746,0.0,0.7936507936507936
7,79,60,0,66,0.759493670886076,0.0,0.8354430379746836
8,63,38,0,45,0.6031746031746031,0.0,0.7142857142857143
9,59,34,2,36,0.576271186440678,0.03389830508474576,0.6101694915254238
10,65,42,0,46,0.6461538461538462,0.0,0.7076923076923077
11,56,34,0,40,0.6071428571428571,0.0,0.7142857142857143
12,55,37,1,42,0.6727272727272727,0.01818181818181818,0.7636363636363637
13,77,57,0,59,0.7402597402597403,0.0,0.7662337662337663
14,73,51,0,52,0.6986301369863014,0.0,0.7123287671232876
15,67,49,0,51,0.7313432835820896,0.0,0.7611940298507462
16,84,52,1,58,0.6190476190476191,0.011904761904761904,0.6904761904761905
17,81,52,0,59,0.6419753086419753,0.0,0.7283950617283951
18,72,50,0,54,0.6944444444444444,0.0,0.75
19,65,48,0,50,0.7384615384615385,0.0,0.7692307692307693
20,60,44,0,46,0.7333333333333333,0.0,0.7666666666666667
21,53,31,0,33,0.5849056603773585,0.0,0.6226415094339622
22,72,44,0,52,0.6111111111111112,0.0,0.7222222222222222
23,59,41,0,48,0.6949152542372882,0.0,0.8135593220338984
24,69,57,1,57,0.8260869565217391,0.014492753623188406,0.8260869565217391
25,49,32,1,34,0.6530612244897959,0.02040816326530612,0.6938775510204082
26,61,36,0,40,0.5901639344262295,0.0,0.6557377049180327
27,70,46,1,53,0.6571428571428571,0.014285714285714285,0.7571428571428571
28,60,29,1,45,0.48333333333333334,0.016666666666666666,0.75
29,63,47,0,52,0.746031746031746,0.0,0.8253968253968254
30,67,40,0,46,0.5970149253731343,0.0,0.6865671641791045
31,57,50,0,52,0.8771929824561403,0.0,0.9122807017543859
32,69,55,0,55,0.7971014492753623,0.0,0.7971014492753623
33,64,47,1,49,0.734375,0.015625,0.765625
34,70,46,1,52,0.6571428571428571,0.014285714285714285,0.7428571428571429
35,49,26,1,33,0.5306122448979592,0.02040816326530612,0.673469387755102
36,72,58,0,59,0.8055555555555556,0.0,0.8194444444444444
37,75,57,1,62,0.76,0.013333333333333334,0.8266666666666667
38,49,33,0,35,0.673469387755102,0.0,0.7142857142857143
39,56,41,1,42,0.7321428571428571,0.017857142857142856,0.75
40,62,36,0,43,0.5806451612903226,0.0,0.6935483870967742
41,63,43,1,50,0.6825396825396826,0.015873015873015872,0.7936507936507936
42,51,29,1,33,0.5686274509803921,0.0196078431372549,0.6470588235294118
43,67,50,0,52,0.746268656716418,0.0,0.7761194029850746
44,53,37,0,42,0.6981132075471698,0.0,0.7924528301886793
45,75,56,0,61,0.7466666666666667,0.0,0.8133333333333334
46,75,58,0,60,0.7733333333333333,0.0,0.8
47,77,58,0,66,0.7532467532467533,0.0,0.8571428571428571
48,63,51,0,54,0.8095238095238095,0.0,0.8571428571428571
49,81,59,1,63,0.7283950617283951,0.012345679012345678,0.7777777777777778
50,65,47,0,55,0.7230769230769231,0.0,0.8461538461538461
51,53,41,1,41,0.7735849056603774,0.018867924528301886,0.7735849056603774
52,60,33,0,40,0.55,0.0,0.6666666666666666
53,69,48,0,48,0.6956521739130435,0.0,0.6956521739130435
54,65,46,0,50,0.7076923076923077,0.0,0.7692307692307693
55,57,38,0,41,0.6666666666666666,0.0,0.7192982456140351
56,63,42,0,47,0.6666666666666666,0.0,0.746031746031746
57,62,42,1,49,0.6774193548387096,0.016129032258064516,0.7903225806451613
58,66,55,0,59,0.8333333333333334,0.0,0.8939393939393939
59,80,59,1,61,0.7375,0.0125,0.7625
60,71,50,0,57,0.704225352112676,0.0,0.8028169014084507
61,68,46,0,48,0.6764705882352942,0.0,0.7058823529411765
62,68,49,0,49,0.7205882352941176,0.0,0.7205882352941176
63,68,47,0,57,0.6911764705882353,0.0,0.8382352941176471
64,54,37,0,40,0.6851851851851852,0.0,0.7407407407407407
65,66,46,0,51,0.696969696969697,0.0,0.7727272727272727
66,59,43,0,43,0.7288135593220338,0.0,0.7288135593220338
67,80,57,0,63,0.7125,0.0,0.7875
68,75,59,0,65,0.7866666666666666,0.0,0.8666666666666667
69,64,44,1,44,0.6875,0.015625,0.6875
70,62,51,0,53,0.8225806451612904,0.0,0.8548387096774194
71,59,39,1,45,0.6610169491525424,0.01694915254237288,0.7627118644067796
72,71,45,1,51,0.6338028169014085,0.014084507042253521,0.7183098591549296
73,73,41,1,46,0.5616438356164384,0.0136986301369863,0.6301369863013698
74,57,43,0,43,0.7543859649122807,0.0,0.7543859649122807
75,63,48,0,51,0.7619047619047619,0.0,0.8095238095238095
76,45,34,1,34,0.7555555555555555,0.022222222222222223,0.7555555555555555
77,62,46,0,48,0.7419354838709677,0.0,0.7741935483870968
78,57,33,1,43,0.5789473684210527,0.017543859649122806,0.7543859649122807
79,74,59,1,62,0.7972972972972973,0.013513513513513514,0.8378378378378378
80,77,52,1,58,0.6753246753246753,0.012987012987012988,0.7532467532467533
81,61,48,0,49,0.7868852459016393,0.0,0.8032786885245902
82,65,47,0,54,0.7230769230769231,0.0,0.8307692307692308
83,68,45,0,48,0.6617647058823529,0.0,0.7058823529411765
84,76,50,0,58,0.6578947368421053,0.0,0.7631578947368421
85,71,49,0,60,0.6901408450704225,0.0,0.8450704225352113
86,73,57,0,62,0.7808219178082192,0.0,0.8493150684931506
87,60,39,1,44,0.65,0.016666666666666666,0.7333333333333333
88,58,37,0,46,0.6379310344827587,0.0,0.7931034482758621
89,67,31,0,45,0.4626865671641791,0.0,0.6716417910447762
90,65,39,0,42,0.6,0.0,0.6461538461538462
91,64,43,0,54,0.671875,0.0,0.84375
92,75,56,0,58,0.7466666666666667,0.0,0.7733333333333333
93,54,32,0,40,0.5925925925925926,0.0,0.7407407407407407
94,72,60,1,64,0.8333333333333334,0.013888888888888888,0.8888888888888888
95,58,42,1,48,0.7241379310344828,0.017241379310344827,0.8275862068965517
96,64,48,0,52,0.75,0.0,0.8125
97,67,49,1,49,0.7313432835820896,0.014925373134328358,0.7313432835820896
98,71,56,1,59,0.7887323943661971,0.014084507042253521,0.8309859154929577
99,62,44,1,52,0.7096774193548387,0.016129032258064516,0.8387096774193549
100,61,38,0,43,0.6229508196721312,0.0,0.7049180327868853
101,77,61,0,60,0.7922077922077922,0.0,0.7792207792207793
102,70,45,2,50,0.6428571428571429,0.02857142857142857,0.7142857142857143
103,59,41,0,44,0.6949152542372882,0.0,0.7457627118644068
104,51,29,0,35,0.5686274509803921,0.0,0.6862745098039216
105,60,43,0,47,0.7166666666666667,0.0,0.7833333333333333
