q,draw,n_pick,IS,OOS_S,OOS_CAGR,OOS_DD,anchor,spy,v2,p4b
0.0,0,15,1.0901,0.9318,0.1398,-0.2115,0.9222,0.882,1.1404,False
0.25,0,50,1.0552,1.0199,0.1053,-0.1695,0.8077,0.882,1.0048,True
0.25,1,15,0.983,0.9449,0.139,-0.2079,0.8776,0.882,1.0516,False
0.25,2,50,1.0128,1.0018,0.1072,-0.1665,0.9016,0.882,1.0299,True
0.5,0,50,0.8088,0.8335,0.0856,-0.1613,0.7121,0.882,0.9348,False
0.5,1,15,0.8588,0.8735,0.1237,-0.2043,0.8081,0.882,0.8853,False
0.5,2,50,0.9398,0.7133,0.0679,-0.1435,0.6037,0.882,0.7786,False
0.75,0,50,0.6688,0.4964,0.0435,-0.1674,0.4798,0.882,0.6732,False
0.75,1,50,0.4781,0.6532,0.0582,-0.1496,0.7592,0.882,0.6921,False
0.75,2,50,0.6965,0.4514,0.0394,-0.1909,0.4683,0.882,0.7998,False
1.0,0,5,0.6118,0.3591,0.0575,-0.4228,0.3603,0.882,0.6484,False
1.0,1,25,0.5448,0.2657,0.027,-0.2643,0.38,0.882,0.5473,False
1.0,2,30,0.4452,0.4068,0.0443,-0.2312,0.4461,0.882,0.5134,False
1.0,3,50,0.5883,0.03,-0.0016,-0.2269,0.2004,0.882,0.3095,False
1.0,4,50,0.5097,0.2694,0.0216,-0.1921,0.4186,0.882,0.4314,False
1.0,5,5,0.6603,0.0677,-0.0108,-0.4963,0.1928,0.882,0.4969,False
1.0,6,5,0.6088,0.352,0.0539,-0.3904,0.1555,0.882,0.4878,False
1.0,7,50,0.358,0.5236,0.0476,-0.1773,0.6479,0.882,0.6299,False
