panel,gross,peak,trough,recovery,recovered,MaxDD,decline_days,recovery_days
U56,0.5,2020-02-19,2020-03-12,2020-08-04,True,-0.08117565778748204,17,100
U56,0.75,2020-02-19,2020-03-12,2020-08-04,True,-0.12054943679771146,17,100
U56,1.0,2020-02-19,2020-03-12,2020-08-04,True,-0.15910990262743974,17,100
B136,0.5,2020-02-19,2020-03-12,2020-09-02,True,-0.08242086768618762,17,121
B136,0.75,2020-02-19,2020-03-12,2020-11-11,True,-0.12240985403190008,17,170
B136,1.0,2020-02-19,2020-03-12,2020-11-13,True,-0.16157983013208965,17,172
SMALL,0.5,2018-08-31,2020-03-12,2020-12-04,True,-0.09429166952760648,384,186
SMALL,0.75,2018-08-31,2020-03-12,2020-12-04,True,-0.13891550797734797,384,186
SMALL,1.0,2018-08-31,2020-03-12,2020-12-04,True,-0.18190590999569844,384,186
