window,p,n,p_over_n,target,lam,K,repro_IS,repro_OOF,panel
H1,10,30,0.3333333333333333,sd,1.0,10,0.4099001598622277,-0.33632476077661644,U56
H1,10,30,0.3333333333333333,mn,1.0,10,0.44042657766833726,0.03697916498780773,U56
H1,10,45,0.2222222222222222,sd,1.0,10,0.1934032146499608,-0.33246187560638885,U56
H1,10,45,0.2222222222222222,mn,1.0,10,0.28917507024824185,-0.20958617488798081,U56
H1,10,60,0.16666666666666666,sd,1.0,10,0.19316788024024,-0.160563142743259,U56
H1,10,60,0.16666666666666666,mn,1.0,10,0.3003834570635249,0.027875637704829148,U56
H1,10,90,0.1111111111111111,sd,1.0,10,0.18994960574269082,-0.06732895359110813,U56
H1,10,90,0.1111111111111111,mn,1.0,10,0.2559528449798528,0.014523241646515084,U56
H1,10,120,0.08333333333333333,sd,1.0,10,0.12947678798667606,-0.061855721417739984,U56
H1,10,120,0.08333333333333333,mn,1.0,10,0.27754857413744893,0.0949861623739231,U56
H1,10,180,0.05555555555555555,sd,1.0,10,0.10724870609576231,-0.02367638981943765,U56
H1,10,180,0.05555555555555555,mn,1.0,10,0.2617978082807296,0.14857631786675685,U56
H1,10,240,0.041666666666666664,sd,1.0,10,0.1125285744498854,0.03509267589217657,U56
H1,10,240,0.041666666666666664,mn,1.0,10,0.2269527533120671,0.17068875299835118,U56
H1,10,360,0.027777777777777776,sd,1.0,10,0.11691729844429832,0.05386892215922312,U56
H1,10,360,0.027777777777777776,mn,1.0,10,0.21274270892626723,0.16043531182072068,U56
H1,10,480,0.020833333333333332,sd,1.0,10,0.115398482596346,0.08262365861754739,U56
H1,10,480,0.020833333333333332,mn,1.0,10,0.20223684707206757,0.1655297438050941,U56
H1,10,600,0.016666666666666666,sd,1.0,10,0.11620841004197358,0.08457002376529932,U56
H1,10,600,0.016666666666666666,mn,1.0,10,0.19052595222684043,0.16238780132504504,U56
H1,10,750,0.013333333333333334,sd,1.0,10,0.09592990470186757,0.06650844736577222,U56
H1,10,750,0.013333333333333334,mn,1.0,10,0.20252915934060045,0.17228228988730065,U56
H1,10,900,0.011111111111111112,sd,1.0,10,0.09411033765114896,0.0698604419130564,U56
H1,10,900,0.011111111111111112,mn,1.0,10,0.1923060217454522,0.17155516787778247,U56
H1,20,30,0.6666666666666666,sd,1.0,10,0.9319073961153783,0.6782049764682869,U56
H1,20,30,0.6666666666666666,mn,1.0,10,0.8996237346180911,0.6337932309895203,U56
H1,20,45,0.4444444444444444,sd,1.0,10,0.9250999831213007,0.7784442754573317,U56
H1,20,45,0.4444444444444444,mn,1.0,10,0.8392209693071425,0.4747156336971293,U56
H1,20,60,0.3333333333333333,sd,1.0,10,0.9258361372067875,0.8295489430098659,U56
H1,20,60,0.3333333333333333,mn,1.0,10,0.7533163711532493,0.4903709925304569,U56
H1,20,90,0.2222222222222222,sd,1.0,10,0.9114423680961246,0.8504182900275604,U56
H1,20,90,0.2222222222222222,mn,1.0,10,0.727499183424418,0.5506644495589242,U56
H1,20,120,0.16666666666666666,sd,1.0,10,0.9051584880113724,0.8562463033452359,U56
H1,20,120,0.16666666666666666,mn,1.0,10,0.7059289960028261,0.5682009639478163,U56
