peak,trough,recov,depth,dur_pt,dur_pr,speed,bin,window,recovered,eid,panel,theta,depth_bin
2009-01-28,2009-03-09,2009-04-17,22.061944945147527,27,55,FAST,DEEP,IS,True,E1,u56,0.08,DEEP
2010-04-23,2010-07-02,2010-11-04,15.699676276134767,49,136,FAST,SHALLOW,IS,True,E2,u56,0.08,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.60545633455387,108,193,SLOW,SHALLOW,IS,True,E3,u56,0.08,SHALLOW
2012-04-02,2012-06-04,2012-08-16,9.686946889662106,43,95,FAST,SHALLOW,IS,True,E4,u56,0.08,SHALLOW
2015-07-20,2016-02-11,2016-04-18,13.02290233965737,143,188,SLOW,SHALLOW,IS,True,E5,u56,0.08,SHALLOW
2018-01-26,2018-02-08,2018-08-06,10.101880123915997,9,132,FAST,SHALLOW,OOS,True,E6,u56,0.08,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34891526272734,65,140,SLOW,SHALLOW,OOS,True,E7,u56,0.08,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.717289200673804,23,120,FAST,DEEP,OOS,True,E8,u56,0.08,DEEP
2020-09-02,2020-09-23,2020-11-11,9.440397995330496,14,49,FAST,SHALLOW,OOS,True,E9,u56,0.08,SHALLOW
2022-01-03,2022-10-12,2023-12-13,24.496397555877824,195,489,SLOW,DEEP,OOS,True,E10,u56,0.08,DEEP
2024-07-16,2024-08-05,2024-09-19,8.405625908508696,14,46,FAST,SHALLOW,OOS,True,E11,u56,0.08,SHALLOW
2025-02-19,2025-04-08,2025-06-26,18.75524175200879,34,88,FAST,SHALLOW,OOS,True,E12,u56,0.08,SHALLOW
2026-01-27,2026-03-30,2026-04-14,8.884966829933195,43,53,FAST,SHALLOW,OOS,True,E13,u56,0.08,SHALLOW
2009-01-28,2009-03-09,2009-04-17,22.061944945147527,27,55,FAST,DEEP,IS,True,E1,u56,0.1,DEEP
2010-04-23,2010-07-02,2010-11-04,15.699676276134767,49,136,FAST,SHALLOW,IS,True,E2,u56,0.1,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.60545633455387,108,193,SLOW,SHALLOW,IS,True,E3,u56,0.1,SHALLOW
2015-07-20,2016-02-11,2016-04-18,13.02290233965737,143,188,SLOW,SHALLOW,IS,True,E4,u56,0.1,SHALLOW
2018-01-26,2018-02-08,2018-08-06,10.101880123915997,9,132,FAST,SHALLOW,OOS,True,E5,u56,0.1,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34891526272734,65,140,SLOW,SHALLOW,OOS,True,E6,u56,0.1,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.717289200673804,23,120,FAST,DEEP,OOS,True,E7,u56,0.1,DEEP
2022-01-03,2022-10-12,2023-12-13,24.496397555877824,195,489,SLOW,DEEP,OOS,True,E8,u56,0.1,DEEP
2025-02-19,2025-04-08,2025-06-26,18.75524175200879,34,88,FAST,SHALLOW,OOS,True,E9,u56,0.1,SHALLOW
2009-01-28,2009-03-09,2009-04-17,22.061944945147527,27,55,FAST,DEEP,IS,True,E1,u56,0.15,DEEP
2010-04-23,2010-07-02,2010-11-04,15.699676276134767,49,136,FAST,SHALLOW,IS,True,E2,u56,0.15,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.60545633455387,108,193,SLOW,SHALLOW,IS,True,E3,u56,0.15,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34891526272734,65,140,SLOW,SHALLOW,OOS,True,E4,u56,0.15,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.717289200673804,23,120,FAST,DEEP,OOS,True,E5,u56,0.15,DEEP
2022-01-03,2022-10-12,2023-12-13,24.496397555877824,195,489,SLOW,DEEP,OOS,True,E6,u56,0.15,DEEP
2025-02-19,2025-04-08,2025-06-26,18.75524175200879,34,88,FAST,SHALLOW,OOS,True,E7,u56,0.15,SHALLOW
2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1,broad,0.08,DEEP
2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2,broad,0.08,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3,broad,0.08,SHALLOW
2012-04-02,2012-06-04,2012-08-16,9.685580050596299,43,95,FAST,SHALLOW,IS,True,E4,broad,0.08,SHALLOW
2015-07-20,2016-02-11,2016-04-18,13.021891220943305,143,188,SLOW,SHALLOW,IS,True,E5,broad,0.08,SHALLOW
2018-01-26,2018-02-08,2018-08-06,10.1037402122501,9,132,FAST,SHALLOW,OOS,True,E6,broad,0.08,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E7,broad,0.08,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E8,broad,0.08,DEEP
2020-09-02,2020-09-23,2020-11-11,9.441122006010726,14,49,FAST,SHALLOW,OOS,True,E9,broad,0.08,SHALLOW
2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E10,broad,0.08,DEEP
2024-07-16,2024-08-05,2024-09-19,8.405219282348686,14,46,FAST,SHALLOW,OOS,True,E11,broad,0.08,SHALLOW
2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E12,broad,0.08,SHALLOW
2026-01-27,2026-03-30,2026-04-14,8.88394212283714,43,53,FAST,SHALLOW,OOS,True,E13,broad,0.08,SHALLOW
2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1,broad,0.1,DEEP
2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2,broad,0.1,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3,broad,0.1,SHALLOW
2015-07-20,2016-02-11,2016-04-18,13.021891220943305,143,188,SLOW,SHALLOW,IS,True,E4,broad,0.1,SHALLOW
