point,panel,kind,n,names,CAGR,Vol,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turn,gross,elig,p4a,f4b,p4b
U56/v1,U56,v1,,56,0.06478305297139286,0.10201929170574103,0.6664694744160106,-0.13827804821227863,0.6409045653228889,0.6920626625762498,0.5534265921534492,-0.13101807065198634,0.07777518253801574,0.7510632499063633,-0.1382780482122784,23.59063621957033,0.7495206975788611,37.4995493465525,False,"H1,H2,OOS,CAGR",False
U56/EWall,U56,EWall,,56,0.10419225399116971,0.09907450407375559,1.0502449533938494,-0.1587469210684226,1.0684700041784772,1.0368079185677916,0.9696248694958355,-0.11203541488811963,0.11355844421518202,1.1140654405512067,-0.15874692106842236,8.210608911022444,0.7502083884909142,37.4995493465525,False,CAGR,False
U56/CAND-n5,U56,CAND,5.0,56,0.16547784756550676,0.17753704166399567,0.9515698108696748,-0.2157979157871267,0.8991127827463379,1.0019385698157284,0.8949568146894503,-0.18250404815381482,0.18501828664569198,0.9959729349757686,-0.21579791578712604,17.626443416664245,0.7411349544523773,37.4995493465525,False,"H1,DD",False
U56/CAND-n10,U56,CAND,10.0,56,0.12870217155903663,0.14101042540742337,0.929411710027175,-0.1753816316402228,0.9175672405452285,0.9451159500140361,0.8694950769881696,-0.1410886196207678,0.14387553152413513,0.9760402744346048,-0.1753816316402228,13.860173008674133,0.7371528162660693,37.4995493465525,False,H1,False
U56/CAND-n20,U56,CAND,20.0,56,0.1267328078382215,0.11528163443139272,1.0930789903925349,-0.18308321629461444,1.0882783023843388,1.1033179868221341,0.9928957406191273,-0.11653191428501597,0.14386392023085048,1.169657001611733,-0.1830832162946141,9.632867058472202,0.7168040100062943,37.4995493465525,False,-,True
ETF36/v1,ETF36,v1,,36,0.03778400796085002,0.08861123299726613,0.4629882492473102,-0.17873310055280578,0.6193925055401814,0.33511769204190567,0.49861585589117163,-0.1410678005908791,0.03741461077455055,0.43890477495564373,-0.1787331005528061,18.017694738933386,0.7454440810257515,24.335286164939163,False,"H1,H2,OOS,CAGR",False
ETF36/EWall,ETF36,EWall,,36,0.05125659156024076,0.08500232234242548,0.63072986464543,-0.2177436324101163,0.6646707439444672,0.6032807452201835,0.5842438161154208,-0.14996905028165175,0.0559645616667499,0.6672038193578552,-0.21774363241011674,8.450218066704728,0.7500909268548261,24.335286164939163,False,"H1,H2,OOS,DD,CAGR",False
ETF36/CAND-n5,ETF36,CAND,5.0,36,0.06268172927046178,0.12904947481477602,0.5358878887190195,-0.2336277045893249,0.5361811119097253,0.5392259824653934,0.465175171414086,-0.2336277045893249,0.07328835497364561,0.5892267382753992,-0.225422759926297,14.97972196146683,0.7382723347988689,24.335286164939163,False,"H1,H2,OOS,DD,CAGR",False
ETF36/CAND-n10,ETF36,CAND,10.0,36,0.06869461941685207,0.10471452076772712,0.6870736134428738,-0.18527466146231208,0.6727923516373714,0.7023515340393958,0.5799901207306304,-0.13857044561859932,0.08069569781478614,0.7693053437235353,-0.18527466146231186,11.621815364212804,0.7190285582347752,24.335286164939163,False,"H1,H2,OOS,CAGR",False
ETF36/CAND-n20,ETF36,CAND,20.0,36,0.06844687809501715,0.08548384327498557,0.8174270805565069,-0.15168273918374908,0.7535023656605778,0.8775663892845077,0.662096665465871,-0.11566503646519366,0.08081389774779191,0.9425406495572857,-0.15168273918374864,6.683448436676012,0.6761834920013121,24.335286164939163,False,"H1,CAGR",False
