comparand,subcorpus,bps,n,lose_aware,lose_blind,lose_both,saved_by_costing,broken_by_costing,mean_L_aware_when_losing,mean_L_blind_when_losing,share_of_aware_losses_fixable
MEDIAN,ALL,0.0,783,323,323,323,0,0,-0.058275812410847984,-0.058275812410847984,0.0
MEDIAN,ALL,1.0,18,8,8,8,0,0,-0.08189909547635843,-0.08189909547635843,0.0
MEDIAN,ALL,2.0,18,7,8,7,1,0,-0.0815764751081073,-0.08075469629809745,0.0
MEDIAN,ALL,5.0,350,157,177,153,24,4,-0.0684459845736144,-0.07838206725464357,0.025477707006369428
MEDIAN,ALL,10.0,5214,2204,2229,2181,48,23,-0.08319921980001656,-0.0855158174552157,0.007259528130671506
MEDIAN,ALL,15.0,348,129,165,122,43,7,-0.06734676351882726,-0.09493433634659947,0.10077519379844961
MEDIAN,ALL,20.0,268,95,120,84,36,11,-0.08057322760969102,-0.12759549109035592,0.06315789473684211
MEDIAN,ALL,25.0,5206,1881,2212,1731,481,150,-0.08136572388629243,-0.09814742323473943,0.023923444976076555
MEDIAN,ALL,30.0,224,71,113,65,48,6,-0.0770429285836651,-0.14321963440953572,0.07042253521126761
MEDIAN,ALL,50.0,110,23,52,23,29,0,-0.00441608960914961,-0.28287991613236285,0.0
MEDIAN,ZERO_ANCHORED,0.0,783,323,323,323,0,0,-0.058275812410847984,-0.058275812410847984,0.0
MEDIAN,ZERO_ANCHORED,1.0,18,8,8,8,0,0,-0.08189909547635843,-0.08189909547635843,0.0
MEDIAN,ZERO_ANCHORED,2.0,18,7,8,7,1,0,-0.0815764751081073,-0.08075469629809745,0.0
MEDIAN,ZERO_ANCHORED,5.0,322,154,174,150,24,4,-0.06908339298187903,-0.07911752209898751,0.025974025974025976
MEDIAN,ZERO_ANCHORED,10.0,783,274,299,251,48,23,-0.05512758482482161,-0.07474459836267718,0.058394160583941604
MEDIAN,ZERO_ANCHORED,15.0,322,126,163,120,43,6,-0.0675395932669185,-0.09549561933940946,0.10317460317460317
MEDIAN,ZERO_ANCHORED,20.0,242,89,118,82,36,7,-0.08251785865574175,-0.12888385663368598,0.06741573033707865
MEDIAN,ZERO_ANCHORED,25.0,775,217,274,189,85,28,-0.0538050119469729,-0.10601161855697946,0.07834101382488479
MEDIAN,ZERO_ANCHORED,30.0,224,71,113,65,48,6,-0.0770429285836651,-0.14321963440953572,0.07042253521126761
MEDIAN,ZERO_ANCHORED,50.0,108,22,51,22,29,0,-0.00381983229082902,-0.2880827821229543,0.0
RANDOM,ALL,0.0,783,326,326,326,0,0,-0.04438145561630905,-0.04438145561630905,0.0
RANDOM,ALL,1.0,18,9,9,9,0,0,-0.06799420489728605,-0.06799420489728605,0.0
RANDOM,ALL,2.0,18,8,9,8,1,0,-0.07209207606016516,-0.06851578752446295,0.0
RANDOM,ALL,5.0,350,124,148,121,27,3,-0.06304768629935369,-0.0679662580280794,0.008064516129032258
RANDOM,ALL,10.0,5214,2273,2310,2256,54,17,-0.06531130487563783,-0.06688420312191054,0.004839419269687638
RANDOM,ALL,15.0,348,107,152,103,49,4,-0.05801112435689454,-0.07889130126137547,0.06542056074766354
RANDOM,ALL,20.0,268,72,110,68,42,4,-0.07385425589246304,-0.10727509234638298,0.013888888888888888
RANDOM,ALL,25.0,5206,1878,2254,1766,488,112,-0.07103570691283223,-0.08140545344167047,0.019169329073482427
RANDOM,ALL,30.0,224,49,96,46,50,3,-0.0778149327524155,-0.1324027561377242,0.02040816326530612
RANDOM,ALL,50.0,110,19,48,19,29,0,-0.006948603773807524,-0.24169178116951617,0.0
RANDOM,ZERO_ANCHORED,0.0,783,326,326,326,0,0,-0.04438145561630905,-0.04438145561630905,0.0
RANDOM,ZERO_ANCHORED,1.0,18,9,9,9,0,0,-0.06799420489728605,-0.06799420489728605,0.0
RANDOM,ZERO_ANCHORED,2.0,18,8,9,8,1,0,-0.07209207606016516,-0.06851578752446295,0.0
RANDOM,ZERO_ANCHORED,5.0,322,123,147,120,27,3,-0.06330292163507933,-0.06821328196020852,0.008130081300813009
RANDOM,ZERO_ANCHORED,10.0,783,277,314,260,54,17,-0.04181036839941564,-0.05615090852205957,0.039711191335740074
RANDOM,ZERO_ANCHORED,15.0,322,107,152,103,49,4,-0.05801112435689454,-0.07889130126137547,0.06542056074766354
RANDOM,ZERO_ANCHORED,20.0,242,72,110,68,42,4,-0.07385425589246304,-0.10727509234638298,0.013888888888888888
RANDOM,ZERO_ANCHORED,25.0,775,255,321,234,87,21,-0.03656840806399453,-0.07390598893096577,0.07058823529411765
RANDOM,ZERO_ANCHORED,30.0,224,49,96,46,50,3,-0.0778149327524155,-0.1324027561377242,0.02040816326530612
RANDOM,ZERO_ANCHORED,50.0,108,18,47,18,29,0,-0.005759185092560879,-0.2462307948106495,0.0
