claim_set,n,A_FULL,A_PARTIAL,A_NONE,share_FULL,share_PARTIAL,share_NONE,n_checkable
C_STRICT,140,1,48,91,0.007142857142857143,0.34285714285714286,0.65,33
C_LOOSE,1980,2,281,1697,0.00101010101010101,0.14191919191919192,0.8570707070707071,140
C_ALL,5013,2,424,4587,0.00039896269698783165,0.08458009176142031,0.9150209455415919,202
