panel,family,form,decile,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,mean_names,keep4a,keep4b,fail4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
SMALL663,advQ,MA-RS,1,0.17150122493908326,1.2742657765783356,-0.37478025289812533,1.0389052343282639,1.5124218253737278,0.828161479785439,0.0639749547923556,0.2431483993341328,1.4860123710171593,-0.37478025289812533,15.547111689544687,52.71457592686643,False,False,DD,True,True,True,False,True
SMALL663,advQ,MA-RS,2,0.09177643107112576,0.7412186959904368,-0.46655610942487946,0.9305892421870569,0.7283987365774953,0.989713354673413,0.07409363681601677,0.10282414993371947,0.7118516794796262,-0.466556109424878,22.007410752172326,53.14855256475368,False,False,"H2,OOS,DD,CAGR",True,False,False,False,False
SMALL663,advQ,MA-RS,3,0.11468373427856204,0.8038313503092521,-0.32988610668479723,0.8761796397209797,0.8092357376590964,1.024956696418581,0.10789338953418892,0.11889128163983043,0.7451762697119868,-0.32988610668479657,24.131642812171886,53.12290502793296,False,False,"H1,H2,OOS,DD",False,False,False,False,True
SMALL663,advQ,MA-RS,4,0.09793608545613597,0.6754724874822647,-0.38996651084896505,0.7630077666308664,0.6214522513646233,0.773389153183213,0.10380821965793707,0.09433099770230635,0.6273204542959562,-0.3899665108489645,24.9748354640422,53.167597765363126,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,5,0.03165926852128864,0.2743053919957397,-0.4160683280588009,0.403854288555144,0.17516490867672407,0.4131021068077498,0.052359035569908174,0.019099546792072708,0.1973312484264953,-0.4160683280588007,25.50526267557384,53.25977653631285,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,6,0.057505755877647724,0.4263900354647647,-0.33282863524608997,0.458229358963532,0.40434878698249666,0.44712784246696163,0.058685843502243706,0.0567787877317254,0.4149739823639203,-0.33282863524608863,25.99934548805355,53.00253936008126,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,7,0.014300688710697562,0.168865605470821,-0.47989366486830143,0.48535670808133496,-0.08990104611717595,0.6215533848859327,0.08918969523064146,-0.029285392854506154,-0.09266592643975402,-0.47989366486830076,26.081108133025243,53.08100558659218,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,8,0.01970180848864911,0.2002592696933252,-0.45437650753441705,0.4314902077623974,0.03212557513946355,0.3715204026694028,0.04567487158003947,0.004009770269333579,0.11350122423172383,-0.45437650753441794,24.057670336899868,53.20949720670391,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,9,-0.007114013878983028,0.04793846203200556,-0.5362523310553058,0.13370149037132523,-0.010275485735592178,-0.023821414090059577,-0.014658723813698371,-0.00243329910519674,0.08308883309179069,-0.5362523310553061,21.361956545974685,53.06196038598273,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-RS,10,-0.05501933264121939,-0.21849723141720187,-0.7539961622086648,0.10607235010187635,-0.45761885812215336,0.09002553437822727,0.0017667103714813504,-0.08841660262477258,-0.37227483226816394,-0.7539961622086645,15.065995133879957,53.589893346876586,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-DG,1,0.10112549796022341,1.8078666985677618,-0.09935269370221467,1.4082150931185853,2.1423688741060505,1.2500435923724351,0.06102904949198029,0.12659992026101374,2.108099767012986,-0.06646282421640315,6.779135099640733,52.71457592686643,True,True,-,True,True,True,True,True
SMALL663,advQ,MA-DG,2,0.06209953629999965,0.9321255250573715,-0.14881841072786361,1.078007946195062,0.8922398526313247,1.228181726358089,0.05892339091605381,0.064062644554578,0.848427182752234,-0.14881841072786262,10.34086419563178,53.14855256475368,False,False,"OOS,CAGR",True,True,False,True,False
SMALL663,advQ,MA-DG,3,0.06056931361781359,0.8181855863881111,-0.10174649686382387,0.8662188713366824,0.7996949211585636,1.0810831401758365,0.06763679347416351,0.056234951077731576,0.7054660507311281,-0.10174649686382431,11.278857574898133,53.12290502793296,True,False,"H1,H2,OOS,CAGR",False,False,False,True,False
SMALL663,advQ,MA-DG,4,0.04880421490596665,0.63501378365693,-0.13585377225382633,0.6558311021964714,0.6175941290882062,0.7138491024823308,0.05385807239815321,0.04570017063060372,0.5888254271175097,-0.13585377225382744,12.02010597590482,53.167597765363126,False,False,"H1,H2,OOS,CAGR",False,False,False,True,False
SMALL663,advQ,MA-DG,5,0.028621351208839352,0.3969340576284536,-0.19890770796466273,0.4414374548559137,0.35806371372286405,0.5021988444541107,0.036562876493499985,0.02375508214467592,0.33393932277704313,-0.19890770796466228,12.04762656610578,53.25977653631285,False,False,"H1,H2,OOS,CAGR",False,False,False,True,False
