claim_set,required,n_files,n_claims,n_ladder_claims,ladder_checkable,ladder_share_checkable,ladder_count_only,checkable,share_checkable,count_only,share_count_only,nothing,share_nothing,would_become_checkable,share_would
CORE,R_LIST,2,1810,564,61,0.10815602836879433,117,91,0.05027624309392265,274,0.15138121546961325,1445,0.7983425414364641,1719,0.9497237569060774
CORE,R_LIST_PLUS,2,1810,564,2,0.0035460992907801418,117,2,0.0011049723756906078,274,0.15138121546961325,1445,0.7983425414364641,1808,0.9988950276243094
WIDE,R_LIST,1216,5006,1241,96,0.07735697018533441,235,160,0.03196164602477027,557,0.11126648022373152,4289,0.8567718737514982,4846,0.9680383539752297
WIDE,R_LIST_PLUS,1216,5006,1241,3,0.0024174053182917004,235,4,0.0007990411506192569,557,0.11126648022373152,4289,0.8567718737514982,5002,0.9992009588493808
