panel,book,cost,sel,mine,theirs,same,argmax_margin,col_perturb
broad,EWall,10.0,K_Sharpe,vol60-dg,vol60-dg,True,0.010689676470777787,2.220446049250313e-16
broad,EWall,10.0,K_Calmar,band3-rw,band3-rw,True,0.025987353162275628,8.881784197001252e-16
broad,EWall,10.0,K_MaxDD,band3-dg,band3-dg,True,0.00045543051019436565,8.326672684688674e-17
broad,EWall,10.0,K_CAGR,control,control,True,0.0,8.326672684688674e-17
broad,EWall,25.0,K_Sharpe,vol60-dg,vol60-dg,True,0.003292468817699401,2.220446049250313e-16
broad,EWall,25.0,K_Calmar,vol60-dg,vol60-dg,True,0.04074506409194867,6.661338147750939e-16
broad,EWall,25.0,K_MaxDD,band3-dg,band3-dg,True,0.0026757098356247067,8.326672684688674e-17
broad,EWall,25.0,K_CAGR,control,control,True,0.0,9.71445146547012e-17
broad,R10,10.0,K_Sharpe,band3-dg,band3-dg,True,0.00010639762672348674,2.220446049250313e-16
broad,R10,10.0,K_Calmar,ebud-0.20,ebud-0.20,True,8.589290385940807e-05,4.440892098500626e-16
broad,R10,10.0,K_MaxDD,ddctl-8/.5/high,ddctl-8/.5/high,True,4.440892098500626e-16,8.326672684688674e-17
broad,R10,10.0,K_CAGR,band3-dg,band3-dg,True,0.00045492011457914927,8.326672684688674e-17
broad,R10,25.0,K_Sharpe,ebud-0.10,ebud-0.10,True,0.0030938375185132205,2.220446049250313e-16
broad,R10,25.0,K_Calmar,ebud-0.20,ebud-0.20,True,0.007507542656553845,4.440892098500626e-16
broad,R10,25.0,K_MaxDD,ddctl-8/.5/recover,ddctl-8/.5/recover,True,3.3306690738754696e-16,8.326672684688674e-17
broad,R10,25.0,K_CAGR,band3-dg,band3-dg,True,0.0005392217402437893,8.326672684688674e-17
broad,R20,10.0,K_Sharpe,ebud-0.10,ebud-0.10,True,0.03834877176646945,2.220446049250313e-16
broad,R20,10.0,K_Calmar,ebud-0.10,ebud-0.10,True,0.11048051995135988,6.661338147750939e-16
broad,R20,10.0,K_MaxDD,ebud-0.10,ebud-0.10,True,0.0051163711368784615,8.326672684688674e-17
broad,R20,10.0,K_CAGR,g200-rw,g200-rw,True,0.00069242459329244,8.326672684688674e-17
broad,R20,25.0,K_Sharpe,ebud-0.10,ebud-0.10,True,0.05727534098865217,1.1102230246251565e-16
broad,R20,25.0,K_Calmar,ebud-0.10,ebud-0.10,True,0.11761318971829215,8.881784197001252e-16
broad,R20,25.0,K_MaxDD,ebud-0.10,ebud-0.10,True,0.006452109022058061,8.326672684688674e-17
broad,R20,25.0,K_CAGR,g200-rw,g200-rw,True,0.00047619111260921443,8.326672684688674e-17
broad,R40,10.0,K_Sharpe,ebud-0.10,ebud-0.10,True,0.0180060714988155,2.220446049250313e-16
broad,R40,10.0,K_Calmar,ebud-0.10,ebud-0.10,True,0.03647967888466752,8.881784197001252e-16
broad,R40,10.0,K_MaxDD,ddctl-8/.5/recover,ddctl-8/.5/recover,True,0.0,8.326672684688674e-17
