panel,N,cap,full_CAGR,full_Sharpe,full_MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,PASS_4b,PASS_4b_OOS,PASS_4a
U56,5,INF,0.09630947175654181,0.942656335427784,-0.17259282023730738,1.1396921679108578,0.7797154552456335,0.9863292834608284,0.09796340121942748,0.9137922288931685,-0.17259282023730727,True,False,True,True,False,False,False,False
U56,10,INF,0.09840836255926888,0.9465060675725547,-0.1762264675624554,1.0668721908921408,0.8541254238247599,0.9064347394144522,0.10786944063058712,0.9787157137977835,-0.1762264675624554,True,True,True,True,False,False,True,False
U56,20,INF,0.10411580470189596,0.9946173822477027,-0.1674461454383711,1.084464581094717,0.9243198875301173,0.9709364616457186,0.11155016916928373,1.0145042012817609,-0.16744614543837089,True,True,True,True,False,False,True,False
U56,5,2.00,0.09630947175654181,0.942656335427784,-0.17259282023730738,1.1396921679108578,0.7797154552456335,0.9863292834608284,0.09796340121942748,0.9137922288931685,-0.17259282023730727,True,False,True,True,False,False,False,False
U56,10,2.00,0.09803544392474306,0.9436924242357576,-0.1762264675624554,1.0668721908921408,0.8488080083411085,0.9064347394144522,0.10718376896049886,0.9738410601085957,-0.1762264675624554,True,True,True,True,False,False,True,False
U56,20,2.00,0.1011301694873723,0.9784775990884038,-0.16744614543837133,1.09567762892857,0.8837263671503505,0.9819988128339328,0.10567565743878471,0.9780058368418442,-0.16744614543837089,True,True,True,True,False,False,False,False
U56,5,1.50,0.09630947175654181,0.942656335427784,-0.17259282023730738,1.1396921679108578,0.7797154552456335,0.9863292834608284,0.09796340121942748,0.9137922288931685,-0.17259282023730727,True,False,True,True,False,False,False,False
U56,10,1.50,0.09686104432051534,0.9350917090852701,-0.1762264675624553,1.068389344995376,0.8313187850183649,0.9079630072581261,0.10493144376766472,0.9578243514177387,-0.1762264675624554,True,True,True,True,False,False,False,False
U56,20,1.50,0.10187660335864868,0.9945265128439326,-0.1674461454383711,1.117651111611263,0.8933958133285675,1.004847115847108,0.10552209201918217,0.9886881718234871,-0.16744614543837122,True,True,True,True,False,False,False,False
U56,5,1.00,0.09593592400319095,0.9397925899359044,-0.17259282023730738,1.1396921679108578,0.774178898910207,0.9863292834608284,0.09728141126766365,0.9087673169780571,-0.17259282023730727,True,False,True,True,False,False,False,False
U56,10,1.00,0.09542819326846841,0.9297483019923002,-0.1762264675624553,1.0782239703749679,0.8126911261385983,0.9172235167510672,0.1019995664285056,0.9417874525175444,-0.17622646756245552,True,False,True,True,False,False,False,False
U56,20,1.00,0.10162065457772629,1.0144773526095994,-0.1674461454383711,1.1246143744400616,0.9232294350491371,1.009469592598266,0.10630780128364314,1.0198818791542128,-0.16744614543837089,True,True,True,True,False,False,False,False
B136,5,INF,0.08950122543431882,0.7900978659055125,-0.1757061815206069,0.8538784238443703,0.749180650618248,0.6232353582895094,0.11288112019632379,0.909859168987091,-0.1757061815206069,False,False,True,True,False,False,True,False
B136,10,INF,0.09316269379805386,0.857913545376184,-0.18835493574146311,1.0802957412337906,0.6635909708878621,0.8858371099270735,0.09363424816719523,0.8374992803379993,-0.188354935741463,True,False,False,True,False,False,False,False
B136,20,INF,0.09622727146381482,0.9056625206607244,-0.17957447288607187,1.1266433575882,0.716890017642464,0.9151909550492365,0.09902740627459505,0.8997000703471931,-0.17957447288607198,True,False,True,True,False,False,False,False
B136,5,2.00,0.08950122543431882,0.7900978659055125,-0.1757061815206069,0.8538784238443703,0.749180650618248,0.6232353582895094,0.11288112019632379,0.909859168987091,-0.1757061815206069,False,False,True,True,False,False,True,False
B136,10,2.00,0.09316269379805386,0.857913545376184,-0.18835493574146311,1.0802957412337906,0.6635909708878621,0.8858371099270735,0.09363424816719523,0.8374992803379993,-0.188354935741463,True,False,False,True,False,False,False,False
B136,20,2.00,0.0953429419000642,0.8994445061341889,-0.18195863811473012,1.1275518440807446,0.7046550129988819,0.9156476101368402,0.09753397478861459,0.8884682081249385,-0.1819586381147309,True,False,True,True,False,False,False,False
B136,5,1.50,0.08950122543431882,0.7900978659055125,-0.1757061815206069,0.8538784238443703,0.749180650618248,0.6232353582895094,0.11288112019632379,0.909859168987091,-0.1757061815206069,False,False,True,True,False,False,True,False
B136,10,1.50,0.09273092658385873,0.8547357258199617,-0.1883549357414629,1.079814290108182,0.6579460074543605,0.8852337908033665,0.09293254062908596,0.8323406339222345,-0.188354935741463,True,False,False,True,False,False,False,False
B136,20,1.50,0.09587717284599795,0.9059399590469096,-0.1853421985393897,1.147657810908493,0.7007117213389743,0.9359824135440626,0.09706348899832196,0.8848206541224697,-0.1853421985393897,True,False,True,True,False,False,False,False
B136,5,1.00,0.08950122543431882,0.7900978659055125,-0.1757061815206069,0.8538784238443703,0.749180650618248,0.6232353582895094,0.11288112019632379,0.909859168987091,-0.1757061815206069,False,False,True,True,False,False,True,False
B136,10,1.00,0.09227811047161283,0.8517399354506905,-0.18835493574146278,1.0809726339483212,0.6515105485502154,0.8861300127183679,0.09214458024296612,0.8264299237073682,-0.188354935741463,True,False,False,True,False,False,False,False
B136,20,1.00,0.09624023950525662,0.9124157517930482,-0.18873790023102166,1.174086022169096,0.690740821887147,0.9630467038616487,0.0957172593847666,0.8760663330806028,-0.18873790023102188,True,False,False,True,False,False,False,False
