block,statistic,cells,n_sig,sig_share,same_sign_as_marginal,survives_on_marginal,survive_share,own_sign_replicates_other_block,replicate_share
A,marginal,108,40,0.37037037037037035,40,40,1.0,33,0.825
A,partial,108,14,0.12962962962962962,14,14,1.0,9,0.6428571428571429
A,joint_t,108,19,0.17592592592592593,19,17,0.8947368421052632,14,0.7368421052631579
B,marginal,108,18,0.16666666666666666,18,18,1.0,14,0.7777777777777778
B,partial,108,9,0.08333333333333333,9,5,0.5555555555555556,5,0.5555555555555556
B,joint_t,108,9,0.08333333333333333,9,5,0.5555555555555556,4,0.4444444444444444
