panel,cost,cadence,n_pass,n_pass_W,inter_W,union_W,jaccard_vs_W,only_here,lost_vs_W
U56,10,D,4,5,4,5,0.8,0,1
U56,10,W,5,5,5,5,1.0,0,0
U56,10,2W,5,5,5,5,1.0,0,0
U56,10,M,3,5,3,5,0.6,0,2
U56,25,D,2,4,2,4,0.5,0,2
U56,25,W,4,4,4,4,1.0,0,0
U56,25,2W,5,4,4,5,0.8,1,0
U56,25,M,3,4,2,5,0.4,1,2
B136,10,D,1,4,1,4,0.25,0,3
B136,10,W,4,4,4,4,1.0,0,0
B136,10,2W,4,4,3,5,0.6,1,1
B136,10,M,2,4,1,5,0.2,1,3
B136,25,D,1,1,1,1,1.0,0,0
B136,25,W,1,1,1,1,1.0,0,0
B136,25,2W,0,1,0,1,0.0,0,1
B136,25,M,2,1,0,3,0.0,2,1
