panel,floor,conv,comp,arm,b,bps,CAGR,Sharpe,MaxDD,H1,H2,turnover,realised_gross,names_sel,names_held,flips,dCAGR_pp,dSharpe,dMaxDD_pp
SMALL439,DV0,dg,TREND,NOGATE,,0,0.10373800712651082,0.6888680761027063,-0.35992703250466873,0.8088978581728745,0.6242233105521522,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,dg,TREND,NOGATE,,5,0.10277748334141146,0.6835017479793578,-0.3607959660009904,0.8029588850463496,0.6191018709341869,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,dg,TREND,NOGATE,,10,0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,dg,TREND,NOGATE,,25,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0.779203812346195,0.5986138224529461,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,rw,TREND,NOGATE,,0,0.10373800712651082,0.6888680761027063,-0.35992703250466873,0.8088978581728745,0.6242233105521522,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,rw,TREND,NOGATE,,5,0.10277748334141146,0.6835017479793578,-0.3607959660009904,0.8029588850463496,0.6191018709341869,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,rw,TREND,NOGATE,,10,0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,rw,TREND,NOGATE,,25,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0.779203812346195,0.5986138224529461,1.7409003477225007,0.7501008892339182,439.0,347.9115404168785,0.0,0.0,0.0,0.0
SMALL439,DV0,dg,TREND,200d,0.0,0,0.03943569136016034,0.5931669812007965,-0.13779087867563056,0.5816321652221941,0.6058730343575167,3.7117495532923597,0.37789601225880287,439.0,172.37061514997458,8.90894026670875,-6.430231576635048,-0.09570109490190981,22.213615382903818
SMALL439,DV0,dg,TREND,200d,0.0,5,0.037508471170547786,0.5663453468787158,-0.14025248487696906,0.5528118206576049,0.5806534205315332,3.7117495532923597,0.37789601225880287,439.0,172.37061514997458,8.90894026670875,-6.526901217086367,-0.11715640110064196,22.054348112402135
SMALL439,DV0,dg,TREND,200d,0.0,10,0.035584750244263,0.5395195187479797,-0.14270715775313225,0.5239945844696813,0.5554248655384679,3.7117495532923597,0.37789601225880287,439.0,172.37061514997458,8.90894026670875,-6.6233028073188205,-0.13861575091069833,21.895657806770906
SMALL439,DV0,dg,TREND,200d,0.0,25,0.029834520901837358,0.459026583767762,-0.15002976879390395,0.43757341642483527,0.47969367475645,3.7117495532923597,0.37789601225880287,439.0,172.37061514997458,8.90894026670875,-6.910904807957352,-0.20300842626608678,21.42303097888474
SMALL439,DV0,rw,TREND,200d,0.0,0,0.0758566133052272,0.5743596429801755,-0.3707440213768838,0.5738996804923017,0.5863811799539824,10.338000682036554,0.7500917304181896,439.0,172.37061514997458,8.90894026670875,-2.788139382128363,-0.11450843312253078,-1.081698887221505
SMALL439,DV0,rw,TREND,200d,0.0,5,0.07030777794048992,0.5388759129874676,-0.37659849774234966,0.5357868658296658,0.5520830620724412,10.338000682036554,0.7500917304181896,439.0,172.37061514997458,8.90894026670875,-3.2469705400921534,-0.1446258349918902,-1.580253174135926
SMALL439,DV0,rw,TREND,200d,0.0,10,0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.49768164644656343,0.5177740654303229,10.338000682036554,0.7500917304181896,439.0,172.37061514997458,8.90894026670875,-3.7030957849193857,-0.17474797526400543,-2.073570185298401
